Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Jumlah Kejadian,Meninggal,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam
2015,71,Sulawesi Utara,71.01,Bolaang Mongondow,Banjir,1.0,0,0,0,0,0,0,12
2015,71,Sulawesi Utara,71.01,Bolaang Mongondow,Longsor,1.0,0,0,125,0,8,0,0
2015,71,Sulawesi Utara,71.03,Kepulauan Sangihe,Longsor,1.0,0,0,0,0,0,0,0
2015,71,Sulawesi Utara,71.05,Minahasa Selatan,Banjir,1.0,0,0,0,3,0,7,245
2015,71,Sulawesi Utara,71.05,Minahasa Selatan,Longsor,1.0,0,0,27,8,0,4,0
2015,71,Sulawesi Utara,71.06,Minahasa Utara,Banjir,1.0,0,0,1960,0,0,0,1000
2015,71,Sulawesi Utara,71.07,Minahasa Tenggara,Banjir,1.0,0,0,1000,0,0,0,0
2015,71,Sulawesi Utara,71.09,Kep. Siau Tagulandang Biaro,Banjir,1.0,0,0,338,3,0,30,0
2015,71,Sulawesi Utara,71.71,Kota Manado,Banjir,1.0,0,0,4031,0,0,0,2000
2015,71,Sulawesi Utara,71.71,Kota Manado,Longsor,1.0,0,0,0,0,0,0,0
2015,71,Sulawesi Utara,71.72,Kota Bitung,Banjir,1.0,0,0,560,0,0,0,1000
2015,72,Sulawesi Tengah,72.02,Poso,Banjir,1.0,0,0,375,0,0,0,200
2015,72,Sulawesi Tengah,72.03,Donggala,Banjir,3.0,0,0,4320,5,0,73,183
2015,72,Sulawesi Tengah,72.04,Toli Toli,Banjir,1.0,0,0,0,0,0,0,0
2015,72,Sulawesi Tengah,72.05,Buol,Banjir,1.0,0,0,0,0,0,0,270
2015,72,Sulawesi Tengah,72.06,Morowali,Banjir,2.0,0,0,3351,57,0,0,650
2015,72,Sulawesi Tengah,72.08,Parigi Moutong,Banjir,1.0,0,0,1080,0,0,0,270
2015,72,Sulawesi Tengah,72.08,Parigi Moutong,Longsor,1.0,0,0,0,0,0,0,0
2015,72,Sulawesi Tengah,72.09,Tojo Una Una,Banjir,1.0,0,0,0,0,0,0,128
2015,72,Sulawesi Tengah,72.12,Morowali Utara,Banjir,1.0,0,0,4335,0,0,0,0
2015,73,Sulawesi Selatan,73.04,Jeneponto,Banjir,1.0,0,0,350,0,0,0,60
2015,73,Sulawesi Selatan,73.05,Takalar,Banjir,1.0,0,0,770,0,0,0,150
2015,73,Sulawesi Selatan,73.06,Gowa,Banjir,1.0,0,0,0,0,0,0,158
2015,73,Sulawesi Selatan,73.11,Barru,Banjir,3.0,0,0,9613,2,0,1,899
