tahun,provinsi,jenis,jumlah
2014,Sulawesi Utara,Rumah Sakit,87.0
2014,Sulawesi Tengah,Rumah Sakit,90.0
2014,Sulawesi Selatan,Rumah Sakit,153.0
2014,Sulawesi Tenggara,Rumah Sakit,73.0
2014,Gorontalo,Rumah Sakit,24.0
2014,Sulawesi Barat,Rumah Sakit,39.0
2014,Sulawesi Utara,Rumah Sakit,2.0
2014,Sulawesi Tengah,Rumah Sakit,0.0
2014,Sulawesi Selatan,Rumah Sakit,1.0
2014,Sulawesi Tenggara,Rumah Sakit,0.0
2014,Gorontalo,Rumah Sakit,0.0
2014,Sulawesi Barat,Rumah Sakit,0.0
2014,Sulawesi Utara,Rumah Sakit,1.0
2014,Sulawesi Tengah,Rumah Sakit,0.0
2014,Sulawesi Selatan,Rumah Sakit,3.0
2014,Sulawesi Tenggara,Rumah Sakit,0.0
2014,Gorontalo,Rumah Sakit,0.0
2014,Sulawesi Barat,Rumah Sakit,0.0
2014,Sulawesi Utara,Rumah Sakit,5.008
2014,Sulawesi Tengah,Rumah Sakit,3.433
2014,Sulawesi Selatan,Rumah Sakit,11.557
2014,Sulawesi Tenggara,Rumah Sakit,1.905
2014,Gorontalo,Rumah Sakit,1.292
2014,Sulawesi Barat,Rumah Sakit,938.0
2014,Sulawesi Utara,Rumah Sakit,6.0
2014,Sulawesi Tengah,Rumah Sakit,9.0
2014,Sulawesi Selatan,Rumah Sakit,17.0
2014,Sulawesi Tenggara,Rumah Sakit,5.0
2014,Gorontalo,Rumah Sakit,4.0
2014,Sulawesi Barat,Rumah Sakit,4.0
2014,Sulawesi Utara,Rumah Sakit,0.0
2014,Sulawesi Barat,Rumah Sakit,0.0
2014,Sulawesi Tenggara,Rumah Sakit,0.0
2014,Sulawesi Selatan,Rumah Sakit,0.0
2014,Sulawesi Tengah,Rumah Sakit,0.0
2014,Gorontalo,Rumah Sakit,0.0
2014,Sulawesi Utara,Rumah Sakit,42.0
2014,Sulawesi Tengah,Rumah Sakit,31.0
2014,Sulawesi Selatan,Rumah Sakit,88.0
2014,Sulawesi Tenggara,Rumah Sakit,25.0
2014,Gorontalo,Rumah Sakit,12.0
2014,Sulawesi Barat,Rumah Sakit,10.0
2014,Sulawesi Utara,Rumah Sakit,15.0
2014,Sulawesi Tengah,Rumah Sakit,13.0
2014,Sulawesi Selatan,Rumah Sakit,24.0
2014,Sulawesi Tenggara,Rumah Sakit,14.0
2014,Gorontalo,Rumah Sakit,6.0
2014,Sulawesi Barat,Rumah Sakit,6.0
2015,Sulawesi Utara,Rumah Sakit,52.0
2015,Sulawesi Tengah,Rumah Sakit,8.0
2015,Sulawesi Selatan,Rumah Sakit,105.0
2015,Sulawesi Tenggara,Rumah Sakit,49.0
2015,Gorontalo,Rumah Sakit,24.0
2015,Sulawesi Barat,Rumah Sakit,15.0
2015,Sulawesi Utara,Rumah Sakit,2.0
2015,Sulawesi Tengah,Rumah Sakit,0.0
2015,Sulawesi Selatan,Rumah Sakit,1.0
2015,Sulawesi Tenggara,Rumah Sakit,0.0
2015,Gorontalo,Rumah Sakit,0.0
2015,Sulawesi Barat,Rumah Sakit,0.0
2015,Sulawesi Utara,Rumah Sakit,0.0
2015,Sulawesi Tengah,Rumah Sakit,0.0
2015,Sulawesi Selatan,Rumah Sakit,0.0
2015,Sulawesi Tenggara,Rumah Sakit,0.0
2015,Gorontalo,Rumah Sakit,0.0
2015,Sulawesi Barat,Rumah Sakit,0.0
2015,Sulawesi Utara,Rumah Sakit,5.503
2015,Sulawesi Tengah,Rumah Sakit,4.021
2015,Sulawesi Selatan,Rumah Sakit,12.87
2015,Sulawesi Tenggara,Rumah Sakit,2.498
2015,Gorontalo,Rumah Sakit,1.575
2015,Sulawesi Barat,Rumah Sakit,1.002
2015,Sulawesi Utara,Rumah Sakit,5.0
2015,Sulawesi Tengah,Rumah Sakit,10.0
2015,Sulawesi Selatan,Rumah Sakit,25.0
2015,Sulawesi Tenggara,Rumah Sakit,2.0
2015,Gorontalo,Rumah Sakit,1.0
2015,Sulawesi Barat,Rumah Sakit,1.0
2015,Sulawesi Utara,Rumah Sakit,634.0
2015,Sulawesi Tengah,Rumah Sakit,393.0
2015,Sulawesi Selatan,Rumah Sakit,2.077
2015,Sulawesi Tenggara,Rumah Sakit,174.0
2015,Gorontalo,Rumah Sakit,144.0
2015,Sulawesi Barat,Rumah Sakit,75.0
2015,Sulawesi Utara,Rumah Sakit,81.0
2015,Sulawesi Tengah,Rumah Sakit,50.0
2015,Sulawesi Selatan,Rumah Sakit,236.0
2015,Sulawesi Tenggara,Rumah Sakit,19.0
2015,Gorontalo,Rumah Sakit,21.0
2015,Sulawesi Barat,Rumah Sakit,7.0
2015,Sulawesi Utara,Rumah Sakit,6.0
2015,Sulawesi Tengah,Rumah Sakit,8.0
2015,Sulawesi Selatan,Rumah Sakit,18.0
2015,Sulawesi Tenggara,Rumah Sakit,8.0
2015,Gorontalo,Rumah Sakit,3.0
2015,Sulawesi Barat,Rumah Sakit,2.0
2015,Sulawesi Utara,Rumah Sakit,42.0
2015,Sulawesi Tengah,Rumah Sakit,31.0
2015,Sulawesi Selatan,Rumah Sakit,85.0
2015,Sulawesi Tenggara,Rumah Sakit,29.0
2015,Gorontalo,Rumah Sakit,12.0
2015,Sulawesi Barat,Rumah Sakit,10.0
2016,Sulawesi Utara,Rumah Sakit,2.0
2016,Sulawesi Tengah,Rumah Sakit,0.0
2016,Sulawesi Selatan,Rumah Sakit,1.0
2016,Sulawesi Tenggara,Rumah Sakit,0.0
2016,Gorontalo,Rumah Sakit,0.0
2016,Sulawesi Barat,Rumah Sakit,0.0
2016,Sulawesi Utara,Rumah Sakit,0.0
2016,Sulawesi Tengah,Rumah Sakit,0.0
2016,Sulawesi Selatan,Rumah Sakit,0.0
2016,Sulawesi Tenggara,Rumah Sakit,0.0
2016,Gorontalo,Rumah Sakit,0.0
2016,Sulawesi Barat,Rumah Sakit,0.0
