Tahun,Bulan,Tanggal,Rata_Rata_NO2
2018,7,2018-07-01,4.684797852944971e-06
2018,8,2018-08-01,4.59640111862566e-06
2018,9,2018-09-01,4.250150608747409e-06
2018,10,2018-10-01,5.687296518686932e-06
2018,11,2018-11-01,7.0907317289699e-06
2018,12,2018-12-01,7.1724843951277645e-06
2019,1,2019-01-01,5.63182096862671e-06
2019,2,2019-02-01,5.656422605870749e-06
2019,3,2019-03-01,5.441539558623742e-06
2019,4,2019-04-01,5.351840520261269e-06
2019,5,2019-05-01,5.583539956253283e-06
2019,6,2019-06-01,5.0916556475074045e-06
2019,7,2019-07-01,4.03416447909427e-06
2019,8,2019-08-01,3.6761338028255254e-06
2019,9,2019-09-01,3.3205118577627887e-06
2019,10,2019-10-01,4.780818916214189e-06
2019,11,2019-11-01,5.586949263143503e-06
2019,12,2019-12-01,6.753107604628076e-06
2020,1,2020-01-01,5.807129597865574e-06
2020,2,2020-02-01,5.370583214575099e-06
2020,3,2020-03-01,5.647315680104402e-06
2020,4,2020-04-01,6.101520216006366e-06
2020,5,2020-05-01,5.244315784543195e-06
2020,6,2020-06-01,5.174738484379725e-06
2020,7,2020-07-01,4.087599257878417e-06
2020,8,2020-08-01,3.6408096930211807e-06
2020,9,2020-09-01,4.413391068297827e-06
2020,10,2020-10-01,4.942806497995024e-06
2020,11,2020-11-01,6.076166536028173e-06
2020,12,2020-12-01,6.20333279169509e-06
2021,1,2021-01-01,5.1372430356984516e-06
2021,2,2021-02-01,5.479457402037865e-06
2021,3,2021-03-01,5.746077065614978e-06
2021,4,2021-04-01,5.997286482253318e-06
2021,5,2021-05-01,5.917137203063661e-06
2021,6,2021-06-01,5.404118895287834e-06
2021,7,2021-07-01,5.121225413518793e-06
2021,8,2021-08-01,5.857169511765656e-06
2021,9,2021-09-01,6.144906974297871e-06
2021,10,2021-10-01,6.275317981002606e-06
2021,11,2021-11-01,6.620008926881783e-06
2021,12,2021-12-01,7.455634365715163e-06
2022,1,2022-01-01,6.9809660743805525e-06
2022,2,2022-02-01,5.138044018495461e-06
2022,3,2022-03-01,6.238923239067833e-06
2022,4,2022-04-01,6.601251104019088e-06
2022,5,2022-05-01,6.366703351682547e-06
2022,6,2022-06-01,6.247962076460832e-06
2022,7,2022-07-01,5.943111452833434e-06
2022,8,2022-08-01,5.18304511579435e-06
2022,9,2022-09-01,5.905286224224296e-06
2022,10,2022-10-01,6.801546156120552e-06
2022,11,2022-11-01,6.744530703859803e-06
2022,12,2022-12-01,6.114937009809286e-06
2023,1,2023-01-01,5.823369494809991e-06
2023,2,2023-02-01,5.9544716560547785e-06
2023,3,2023-03-01,6.077863541746307e-06
2023,4,2023-04-01,7.066178347097332e-06
2023,5,2023-05-01,6.242412023417637e-06
2023,6,2023-06-01,5.670899507193565e-06
2023,7,2023-07-01,5.342093557470314e-06
2023,8,2023-08-01,4.608274360227925e-06
2023,9,2023-09-01,5.053338181148671e-06
2023,10,2023-10-01,6.614689279174263e-06
2023,11,2023-11-01,7.63918124103121e-06
2023,12,2023-12-01,7.385215564269633e-06
2024,1,2024-01-01,6.001231098352225e-06
2024,2,2024-02-01,5.806134035326611e-06
2024,3,2024-03-01,5.387773778235788e-06
2024,4,2024-04-01,5.667428686897088e-06
2024,5,2024-05-01,6.32740361998661e-06
2024,6,2024-06-01,5.5418022018256215e-06
2024,7,2024-07-01,5.571369194275458e-06
2024,8,2024-08-01,4.607401962523355e-06
2024,9,2024-09-01,4.567198527096904e-06
2024,10,2024-10-01,5.830664022819872e-06
2024,11,2024-11-01,6.549049932544056e-06
2024,12,2024-12-01,7.316697706316162e-06
