Provinsi,Tahun,Rata_Rata_NO2
Gorontalo,2018,3.5499633106689786e-06
Sulawesi Utara,2018,4.6697264417413334e-06
Sulawesi Barat,2018,6.207918605197031e-06
Sulawesi Selatan,2018,6.7486253959129795e-06
Sulawesi Tengah,2018,5.000463253636561e-06
Sulawesi Tenggara,2018,6.353519334591115e-06
Gorontalo,2019,3.175405695916683e-06
Sulawesi Utara,2019,4.002190329150236e-06
Sulawesi Barat,2019,5.1986089866741974e-06
Sulawesi Selatan,2019,6.169693592828317e-06
Sulawesi Tengah,2019,4.453781495835008e-06
Sulawesi Tenggara,2019,5.8660906529987035e-06
Gorontalo,2020,3.500091282259448e-06
Sulawesi Utara,2020,4.3036060891722206e-06
Sulawesi Barat,2020,5.395468940546383e-06
Sulawesi Selatan,2020,5.648940299609499e-06
Sulawesi Tengah,2020,5.041780369795783e-06
Sulawesi Tenggara,2020,5.725540299298802e-06
Gorontalo,2021,3.6369015887152902e-06
Sulawesi Utara,2021,4.320164180343485e-06
Sulawesi Barat,2021,5.800930262620129e-06
Sulawesi Selatan,2021,6.22664238697322e-06
Sulawesi Tengah,2021,5.525758253025789e-06
Sulawesi Tenggara,2021,6.669653397628168e-06
Gorontalo,2022,3.81912640845749e-06
Sulawesi Utara,2022,4.304269849831782e-06
Sulawesi Barat,2022,6.382544648167248e-06
Sulawesi Selatan,2022,6.610235752746341e-06
Sulawesi Tengah,2022,6.245693666190081e-06
Sulawesi Tenggara,2022,7.301371245416911e-06
Gorontalo,2023,4.25829290300126e-06
Sulawesi Utara,2023,4.948030808080285e-06
Sulawesi Barat,2023,6.4536244998620605e-06
Sulawesi Selatan,2023,7.174614476968001e-06
Sulawesi Tengah,2023,6.80213549547402e-06
Sulawesi Tenggara,2023,7.405063468888721e-06
Gorontalo,2024,3.762742118723121e-06
Sulawesi Utara,2024,4.094962801160021e-06
Sulawesi Barat,2024,6.00305912569734e-06
Sulawesi Selatan,2024,6.403827410187461e-06
Sulawesi Tengah,2024,6.4989259643795626e-06
Sulawesi Tenggara,2024,6.615453947781459e-06
