Titik Sampling,Konsentrasi Cr6+ (mg/L),Baku Mutu Biota Laut (mg/L),Lokasi,Sumber
Titik 1 (IMIP),0.004,0.005,Kawasan IMIP,AEER (2022)
Titik 2 (IMIP),0.028,0.005,Kawasan IMIP,AEER (2022)
Titik 3 (IMIP),0.070,0.005,Kawasan IMIP,AEER (2022)
Titik 4 (IMIP),0.010,0.005,Kawasan IMIP,AEER (2022)
Titik 5 (IMIP),0.005,0.005,Kawasan IMIP,AEER (2022)
Titik 6 (IMIP),0.004,0.005,Kawasan IMIP,AEER (2022)
Titik 7 (IMIP),0.021,0.005,Kawasan IMIP,AEER (2022)
Titik 8 (IMIP),0.023,0.005,Kawasan IMIP,AEER (2022)
Saluran Smelter Morosi,0.100,0.050,Kecamatan Morosi,WALHI (2023)
Desa One Pute (Hulu),0.100,0.050,Desa One Pute,WALHI (2023)
Desa Dampala,0.100,0.050,Desa Dampala,WALHI (2023)
Desa Asuli (PT Vale),0.050,0.050,Desa Asuli,FoE Japan & WALHI (2022)
