provinsi,tahun,indikator,nilai
Aceh,2022,Kasus Diare Dilayani,46362
Bali,2022,Kasus Diare Dilayani,15936
Banten,2022,Kasus Diare Dilayani,217495
Bengkulu,2022,Kasus Diare Dilayani,11843
DI Yogyakarta,2022,Kasus Diare Dilayani,23858
DKI Jakarta,2022,Kasus Diare Dilayani,165527
Gorontalo,2022,Kasus Diare Dilayani,9611
Jambi,2022,Kasus Diare Dilayani,31636
Jawa Barat,2022,Kasus Diare Dilayani,404051
Jawa Tengah,2022,Kasus Diare Dilayani,322481
Jawa Timur,2022,Kasus Diare Dilayani,423492
Kalimantan Barat,2022,Kasus Diare Dilayani,40282
Kalimantan Selatan,2022,Kasus Diare Dilayani,33482
Kalimantan Tengah,2022,Kasus Diare Dilayani,16649
Kalimantan Timur,2022,Kasus Diare Dilayani,37843
Kalimantan Utara,2022,Kasus Diare Dilayani,12193
Kep. Bangka Belitung,2022,Kasus Diare Dilayani,11361
Kepulauan Riau,2022,Kasus Diare Dilayani,15834
Lampung,2022,Kasus Diare Dilayani,65969
Maluku,2022,Kasus Diare Dilayani,21746
Maluku Utara,2022,Kasus Diare Dilayani,15796
Nusa Tenggara Barat,2022,Kasus Diare Dilayani,76733
Nusa Tenggara Timur,2022,Kasus Diare Dilayani,41796
Papua,2022,Kasus Diare Dilayani,42596
Papua Barat,2022,Kasus Diare Dilayani,10122
Riau,2022,Kasus Diare Dilayani,20058
Sulawesi Barat,2022,Kasus Diare Dilayani,19758
Sulawesi Selatan,2022,Kasus Diare Dilayani,87402
Sulawesi Tengah,2022,Kasus Diare Dilayani,27582
Sulawesi Tenggara,2022,Kasus Diare Dilayani,17004
Sulawesi Utara,2022,Kasus Diare Dilayani,9374
Sumatera Barat,2022,Kasus Diare Dilayani,48394
Sumatera Selatan,2022,Kasus Diare Dilayani,86487
Sumatera Utara,2022,Kasus Diare Dilayani,174199
Aceh,2022,Kasus ISPA/Pneumonia,2080
Bali,2022,Kasus ISPA/Pneumonia,5269
Banten,2022,Kasus ISPA/Pneumonia,29540
Bengkulu,2022,Kasus ISPA/Pneumonia,425
DI Yogyakarta,2022,Kasus ISPA/Pneumonia,1690
