provinsi,tahun,indikator,nilai
Aceh,2014,Kasus Diare Dilayani,106791
Aceh,2014,Kasus ISPA/Pneumonia,1369
Aceh,2014,Kasus Kusta Baru,583
Aceh,2014,Kasus Malaria Positif,778
Aceh,2015,Kasus Diare Dilayani,64589
Aceh,2015,Kasus ISPA/Pneumonia,1129
Aceh,2015,Kasus Kusta Baru,524
Aceh,2015,Kasus Malaria Positif,422
Aceh,2016,Kasus Diare Dilayani,25341
Aceh,2016,Kasus ISPA/Pneumonia,1854
Aceh,2016,Kasus Kusta Baru,422
Aceh,2016,Kasus Malaria Positif,243
Aceh,2017,Kasus ISPA/Pneumonia,2157
Aceh,2017,Kasus Kusta Baru,324
Aceh,2017,Kasus Malaria Positif,299
Aceh,2018,Kasus Diare Dilayani,72805
Aceh,2018,Kasus ISPA/Pneumonia,2741
Aceh,2018,Kasus Kusta Baru,366
Aceh,2018,Kasus Malaria Positif,128
Aceh,2019,Kasus Diare Dilayani,74415
Aceh,2019,Kasus ISPA/Pneumonia,3265
Aceh,2019,Kasus Kusta Baru,354
Aceh,2019,Kasus Malaria Positif,92
Aceh,2020,Kasus Diare Dilayani,56698
Aceh,2020,Kasus ISPA/Pneumonia,1956
Aceh,2020,Kasus Kusta Baru,227
Aceh,2020,Kasus Malaria Positif,239
Aceh,2021,Kasus Diare Dilayani,29866
Aceh,2021,Kasus ISPA/Pneumonia,1318
Aceh,2021,Kasus Kusta Baru,254
Aceh,2021,Kasus Malaria Positif,324
Aceh,2022,Kasus Diare Dilayani,46362
Aceh,2022,Kasus ISPA/Pneumonia,2080
Aceh,2022,Kasus Kusta Baru,87
Aceh,2022,Kasus Malaria Positif,137
Aceh,2023,Kasus Diare Dilayani,51810
Aceh,2023,Kasus ISPA/Pneumonia,3053
Aceh,2023,Kasus Kusta Baru,284
Aceh,2023,Kasus Malaria Positif,166
Aceh,2024,Kasus Diare Dilayani,45444
Aceh,2024,Kasus ISPA/Pneumonia,3296
Aceh,2024,Kasus Kusta Baru,265
Aceh,2024,Kasus Malaria Positif,372
Bali,2014,Kasus Diare Dilayani,51447
Bali,2014,Kasus ISPA/Pneumonia,4712
Bali,2014,Kasus Kusta Baru,81
Bali,2014,Kasus Malaria Positif,10
Bali,2015,Kasus Diare Dilayani,93333
Bali,2015,Kasus ISPA/Pneumonia,5731
Bali,2015,Kasus Kusta Baru,61
Bali,2015,Kasus Malaria Positif,5
Bali,2016,Kasus Diare Dilayani,32651
Bali,2016,Kasus ISPA/Pneumonia,6688
Bali,2016,Kasus Kusta Baru,99
Bali,2016,Kasus Malaria Positif,6
Bali,2017,Kasus ISPA/Pneumonia,5370
Bali,2017,Kasus Kusta Baru,70
