paragraph_index,text,has_izin_ilegal,has_sulawesi,has_pertambangan,Sumber
54,"CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA     |   15 B.  Trend Keterlibatan Militer dalam Konflik Agraria  
 
 
ajah loreng tentara banyak menghias sejumlah konflik agraria pada 2025. 
Terdapat sejumlah trigger bagaimana TNI menjadi terlibat menjadi aktor 
dalam konflik agraria tahun 2025. Bahkan secara kasat mata, aparat TNI 
terlibat secara aktif sebagai pelaku.  
 
Sejumlah pemicu tersebut adalah: Pertama,  lahirnya Perpres No.5/2025 tentang 
Penertiban Kawasan Hutan (PKH) yang menjadikan Menteri Pertahanan sebagai motor 
utama penertiban. Kedua,  Ekspansi teritorial TNI berupa pembentukan Komando 
Daerah Militer (Kodam) dan Batalyon baru yang membutuhkan penambahan sarana 
militer.  
 
Persoalan Satgas PKH yang melibatkan militer secara langsung telah mengubah 
masalah agraria dari persoalan paradigma (struktural), tata kelola dan sejarah klaim 
(historitas tanah dan hutan) menjadi persoalan “ketertiban” dan “keamanan”. 
Sementara ketika lo gika penertiban dipakai, maka memandang aktor TNI adalah 
insititusi yang paling siap bekerja cepat.  
 
Ketika Satgas PKH menyasar perusahaan yang membangun perkebunan di wilayah 
hutan dan diakuisi oleh Agrinas masyarakat tidak banyak mempersoalkan. Namun 
ketika Satgas PKH mulai menyasar kebun masyarakat dan memaksa diserahkan ke 
Agrinas dampaknya menjadi be rlapis. Pertama,  berbeda dengan perusahaan yang 
disita akibat putusan hukum, masyarakat disita karena klaim sepihak oleh negara di 
masa lalu.  
 
Perpres terkait PKH ini bekerja dengan asumsi bahwa kawasan hutan sudah jelas batas 
dan sah statusnya. Padahal kita tahu ada masalah tumpang tindih klaim akibat 
kesewenang -wenangan negara dalam menunjuk atau menetapkan kawasan hutan di 
atas tanah masyaraka t, desa, pemukiman lama, wilayah adat, dan izin bermasalah, 
yang kesemuanya itu justru memrupakan inti konflik agraria Indonesia. Konflik agraria 
kehutanan belum tuntas, diperparah dengan kehadiran satgas. Operasi Satgas PKH, 
ibarat menyiram bensin ke dala m bara api konflik agraria.  
 
Pemicu kedua,  militerisasi konflik agraria. Kehadiran tentara secara psikologis dan 
politis telah mengubah relasi kuasa di lapangan. Warga berhadapan dengan negara 
bersenjata, bukan dengan meja dialog, bukan dengan kementerian dan pemda.  
 
  W",True,False,False,data/raw/konflik_kpa_ylbhi_tanahkita/
70,"CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA     |   23 Contoh konflik agraria akibat perkebunan sawit di tahun 2025 terjadi di Sulawesi 
Tengah. Konflik ini terjadi antara petani di 5 (lima) desa Kecamatan Petasia Timur 
dengan PT. Agro Nusa Abadi (ANA), salah satu anak perusahaan PT Astra Agro Lestari 
(AAL). Pa da Bulan Maret tahun ini, delapan warga kembali menerima panggilan dari 
Polres Morowali Utara terkait dugaan tindak pidana perampasan atau pencurian buah 
sawit di lahan yang diklaim milik PT ANA. Masyarakat menilai langkah ini sebagai 
upaya kriminalisasi t erhadap petani yang mempertahankan tanah mereka dari 
ekspansi perusahaan. Selain beroperasi di atas tanah masyarakat, pihak perusahaan 
juga tidak memiliki dokumen HGU. Terlebih pihak perusahaan juga melakukan politik 
adu domba sehingga menyebabkan konflik horizontal diantara masyarakat.  
 
Selanjutnya konflik agraria antara warga Pino Raya Bengkulu Selatan dengan 
perusahaan sawit PT Agro Bengkulu Selatan (ABS) yang berujung penembakan 5 
petani akhir November lalu. Konflik ini telah berlangsung sejak lama – bermula 
terbitnya SK Bupati Bengkul u No 503/425 tahun 2012. Surat tersebut menyangkut 
pemberian izin lokasi perkebunan kepada PT ABS seluas 2.950 hektar yang tumpang 
tindih dengan lahan warga. Namun perusahaan tidak mengusahakan lahan tersebut 
sehingga masyarakat terus menggunakan lahan ter sebut untuk kebutuhan hidup 
sehari -hari. Bahkan menurut dugaan banyak pihak, perusahaan tidak memegang HGU. 
Selama 2023 -2025 konflik semakin memanas karena pihak perusahaan terus 
mengintimidasi warga.  
 
Di Labuhan Batu, Sumatera Utara, konflik agraria antara PT Sinar Mas 
Agro Resources Technology (PT SMART) dengan warga di enam desa di 
Padang Halaban kembali memanas. Hal ini dipicu oleh upaya 
penggusuran masyarakat yang dilakukan pihak perusahaan. Konflik  ini 
sebenarnya telah berlangsung sejak periode 1967. Kala itu tanah 
masyarakat di enam desa di atas digusur oleh pemerintahan Orde Baru. 
Tahun 1970, warga melakukan berbagai upaya untuk mendapatkan 
keadilan, namun tanah mereka tidak kunjung dikembalikan. Akibat 
kebuntuan proses, pada 2009 warga di enam desa tersebut melakukan 
reklaiming secara kolektif di atas lahan bekas desa mereka seluas 83,5 
hektar dari total 3000 hektar, yang telah menjadi HGU PT SMART.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
72,"24   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Sementara, konflik agraria di perkebunan tebu salah satunya terjadi antara Masyarakat 
Adat Suku Yei di Merauke, Papua Selatan dengan PT Murni Nusantara Mandiri (MNM). 
Perkebunan tebu ini salah satu bagian dari Proyek Strategis Nasional (PSN) untuk 
ketahana n pangan dan energi. Sebagian besar Masyarakat Suku Yei, terutama dari 
Marga Kwipalo dan Noya menolak keras proyek tersebut. Mereka menilai proyek itu 
telah merampas tanah dan hutan adat masyarakat. PT MNM mengantongi izin konsesi 
seluas 52.700 hektar (set ara luas Provinsi Jakarta). Per Agustus 2025, pihak 
perusahaan telah membongkar 4.912 hektar tanah dan hutan adat masyarakat. 
Perampasan itu disertai tindakan kekerasan dan kriminalisasi terhadap masyarakat. 
Salah satunya adalah Vincent Kwipalo yang mengal ami kriminalisasi oleh pihak 
perusahaan. Ia dikriminalisasi akibat menghentikan ekskavator dan buldoser PT MNM 
pada tanggal 15 September 2025 untuk pembangunan akses jalan di wilayah adat 
masyarakat.  
 
  
Seorang Petani 
Polongbangkeng 
Kabupaten  Takalar, 
Sulawesi Selatan 
dianiaya, karena 
mempertahankan 
tanahnya dari 
perampasan oleh 
PTPN XIV.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
74,"CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA     |   25 Proyek tebu untuk ketahanan energi tidak hanya melibatkan perusahaan swasta, 
namun juga perkebunan negara. Di Kabupaten Takalar, Provinsi Sulawesi Selatan, 
PTPN XIV secara brutal melakukan penggusuran terhadap masyarakat. Bahkan konflik 
memanas hampir sepa njang tahun. Pihak PTPN terus melakukan penggusuran 
terhadap kebun dan tanaman warga – serta melakukan intimidasi dan kekerasan. 
Konflik ini sebenarnya sudah berlangsung sejak 1978 dimana saat itu PTPN merampas 
tanah warga untuk membangun perkebunan tebu s eluas 6.650 hektar yang tersebar di 
11 desa di Kecamatan Polobangkeng dan Polobangkeng Utara. Sejatinya HGU PTPN 
ini telah berakhir pada tahun 2024, namun tahun ini mereka mencoba mengambil alih 
kembali lahan yang sudah digarap oleh warga tersebut. Konflik  ini erat kaitannya 
dengan upaya mendukung swasembada gula yang menjadi program prioritas 
pemerintah.  
 
Konflik agraria akibat operasi perkebunan tebu juga terjadi di Kabupaten Pati, Jawa 
Tengah. Konflik agraria terjadi antara warga Pundenrejo dengan perusahaan 
perkebunan tebu, PT Laju Perdana Indah (LPI) di atas tanah seluas 7,3 hektar. Bahkan 
periode Maret  hingga April 2025, para petani terus menghadapi intimidasi dan tindakan 
premanisme dari pihak perusahaan. Puncaknya, salah satu rumah warga dihancurkan 
oleh sekelompok orang tidak dikenal yang diduga kuat suruhan pihak perusahaan. 
Pada awalnya, lahan masy arakat tersebut dalam penguasaan Belanda. Setelah 
Belanda kalah perang, pada 1973, PT Bapipundip di bawah naungan Kodam IV 
Diponegoro mengklaim lahan itu dan mengubah status menjadi hak guna bangunan 
(HGB) sampai 2024. Pada 1999, Bapipundip bangkrut. Lahan  terlantar. Warga kembali 
memanfaatkan lahan sampai terakhir berpindah ke LPI berizin HGB dengan peruntukan 
mendirikan perumahan karyawan. Nyatanya, izin HGB itu tak pernah digunakan 
sebagaimana hak peruntukan, baik oleh Bapipundip maupun LPI. Alih -alih me mbangun 
perumahan karyawan, lahan itu  justru menjadi tanaman tebu.  
 
 
  
Konflik agraria Pundenrejo, 2 rumah petani dirobohkan 
rombongan preman bertopeng di Pati, Jawa Tengah, 7 Mei 2025.  
Sumber foto: Dokumentasi Warga Pundenrejo Pati.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
108,"42   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Provinsi Jawa Barat (Jabar) tercatat sebagai provinsi dengan letusan konflik tertinggi 
di Indonesia dengan 39 kasus dengan luas 2.894,90 hektar dan korban terdampak 
sebanyak 6.891 keluarga. Selanjutnya Sumatera Utara (Sumut) dengan 36 kasus 
dengan luas 52. 065,09 hektar dan korban terdampak sebanyak 2.613 keluarga. 
Berikutnya Papua Selatan dengan 23  kasus konflik agraria seluas 239.262,90 hektar. 
Jakarta dengan 21 letusan konflik agraria seluas 1.021,78 hektar dan korban 
terdampak sebanyak 4.746 keluarga se rta Sulawesi Selatan (Sulsel) sebanyak 20 
kasus dengan luas 33.289,93 hektar.  
 
Konflik agraria di Jabar didominasi oleh sektor properti dan real estate dengan 17 
kasus konflik, pembangunan infrastruktur (10), perkebunan (6), pertambangan (4) 
konflik agraria kehutanan dan fasilitas militer masing -masing sebanyak satu kasus.  
 
Salah satu kasus yang terjadi adalah konflik antara warga Sukahaji, Kecamatan 
Babakan Ciparay, Kota Bandung dengan PT Xressi Jaga Nusantara (PT XJN). PT XJN 
mengklaim kepemilikan lahan seluas 7 hektar yang memicu perlawanan warga. 
Perlawanan warga tersebut  juga melahirkan intimidasi secara masif dari pihak 
perusahaan dengan melibatkan Ormas. Di Kabupaten Cianjur, ratusan warga menolak 
rencana pembangunan  Pembangkit Listrik Panas Bumi (PLTP) oleh PT Dayamas 
Geopatra Pangrango. Penolakan warga bukan tanpa se bab. Mereka khawatir 
pembangunan Geothermal tersebut akan membuat hilangnya lahan pertanian dan 
wilayah kelola masyarakat, termasuk ancaman bencana seperti mikro -gempa 
penurunan tanah, dan gangguan ekologis. Lebih lanjut potensi kerusakan ekosistem 
hutan l indung Gunung Gede.  
 
Sementara itu, konflik agraria yang terjadi di Sumut didominasi oleh sektor perkebunan 
sebanyak 13 letusan konflik, kehutanan sebanyak 11 konflik, pembangunan 
infrastruktur (4), serta fasilitas militer dan properti masing -masing sebanyak dua 
kasus.  
 
Salah satu kasus yang meletus diantaranya konflik agraria antara warga Desa 
Parbuluan VI, Kecamatan Parbuluan dengan PT Gunung Raya Timber (PT Gruti) di 
Kabupaten Dairi. Warga menolak operasi PT Gruti karena telah merusak kawasan hutan 
yang telah menjadi k awasan penyangga bagi masyarakat. Puncaknya pada 12 
November 2025, Pangihutan Sijabat, Ketua Pejuang Tani Bersama Alam (Petabal) 
ditangkap secara sepihak oleh pihak kepolisian. Hal ini memicu kemarahan warga dan 
melakukan aksi di depan Polres Dairi. Aksi t ersebut berujung ricuh dimana sebanyak 
35 orang warga ditahan aparat kepolisian.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
112,"44   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Di Jakarta, dari 21 letusan konflik agraria yang terjadi sepanjang tahun ini disebabkan 
oleh pembangunan infrastruktur sebanyak 8 kasus, klaim fasilitas militer sebanyak 7 
kasus serta properti dan real estate sebanyak 6 kasus. Beberapa kasus yang terjadi 
diantaranya penggusuran pedagang Pasar Kembang Cikini, penggusuran warga Kebon 
Sayur, penggusuran pedagang Pasar Burung Barito, konflik antara warga Sunter Jaya 
dengan Kodam Jaya, penggusuran warga Menteng Pulo dan konflik antara warga 
Manggarai Utara denga n PT KAI akibat klaim sepihak perusahaan BUMN tersebut.  
 
Berikutnya di Sulsel, sepanjang tahun ini terjadi sedikitnya 20 letusan konflik agraria 
dengan luas mencapai 33.289,93 hektar. Konflik tersebut didominasi oleh operasi 
perusahaan perkebunan negara dan swasta dengan 11 kasus, pertambangan sebanyak 
sebanyak 4 kasus, infrastruktur (3) serta properti dan fasilitas militer masing -masing 
sebanyak kasus. Beberapa kasus konflik agraria tersebut diantaranya konflik antara 
warga Takalar dengan PTPN XIV, konflik antara petani Mantadulu, Luwu Timur dengan 
PTPN XIV, kon flik antara warga Luwu dengan perusahaan tambang PT Masmindo Dwi 
Area, konflik antara Masyarakat Adat Rampi dengan perusahaan tambang PT Kalla 
Arebama, konflik antara Komunitas Masyarakat Adat To Cerekan dengan perusahaan 
tambang nikel PT. Prima Utama Lest ari dan konflik antara warga Banteng dengan 
perusahaan tambang nikel PT Hangseng di Kawasan Industri Bant aeng (KIBA).  
 
  
Petani  peserta 
aksi hari tani 
nasional 2025 
membawa 
poster menolak 
perampasan 
tanah rakyat 
oleh stagas PKH",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
118,"CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA     |   47 Salah satu konflik agraria yang disebabkan klaim sepihak dan operasi korporasi swasta 
adalah konflik antara Masyarakat Adat Dayak di Nunukan, Kalimantan Utara dengan 
PT Adindo Hutani Lestari (AHL), anak perusahaan APRIL Group yang merupakan 
bagian dari Roy al Golden Eagle punya Sukanto Tanoto. PT Adindo Hutani Lestari 
mencaplok lahan dan wilayah adat masyarakat sekaligus mengkriminalisasi 5 orang 
warga, termasuk kepala desa dengan tuduhan penyerobotan lahan perusahaan.  
. 
Sementara itu, konflik agraria yang melibatkan BUMN salah satunya terjadi antara 
warga Desa Peleru di Kabupaten Morowali Utara dengan PT Sinergi Perkebunan 
Nusantara (SPN). Konflik antara anak perusahaan PTPN tersebut dengan warga dipicu 
klaim kepemilikan lahan pihak perusahaan di atas tanah masyarakat. Kasus terbaru, 
pihak PT SPN mengkriminalisasi seorang warga bernama Adhar Ompo dengan tuduhan 
memanen sawit perusahaan. Padahal Adhar Ompo telah menggarap tanah tersebut 
sejak 1990 -an dengan bukti surat kete rangan usaha (SKUK).  
 
Berikutnya konflik antara warga dengan pemerintah melibatkan Pemko Padang, 
Sumatera Barat dengan pada pedagang kaki lima (PKL). Konflik ini terjadi akibat upaya 
penertiban para PKL di kawasan Permindo dekat Pasar Raya Padang. Penertiban ini 
buntut dari pen cabutan peraturan yang sebelumnya memperbolehkan PKL berjualan di 
sana. Akibat bentrokan tersebut, dua orang pedagang mengalami luka -luka saat 
berhadapan dengan Satpol PP.  
 
 
Konflik agraria antara TNI dengan warga salah satunya terjadi antara Zeni Kostrad 
dengan warga Srengseng Sawah, Jagakarsa, Jakarta Selatan. Konflik ini dipicu 
pembongkaran rumah warga yang sebagian besarnya merupakan veteran oleh pihak 
Zeni. Warga tidak me nerima pembongkaran tersebut karena menganggap keputusan 
sepihak tanpa adanya mediasi antara kedua belah pihak. Warga menilai pembongkaran 
itu tanpa dasar hukum yang jelas.  
 
Konflik antara badan otorita dengan warga salah satunya terjadi antara ribuan 
pedagang kaki lima (PKL) di Kawasan Wisata Candi Borobudur dengan PT. Taman 
Wisata Candi (TWC). PT, TWC merupakan perusahaan pengelolah kawasan wisata 
Candi Borobudur yang berada  di bawah naungan In Journey, badan otorita yang 
dibangun khusus untuk membangun Kawasan Pariwisata Strategis Nasional (KSPN).  
PT TWC memindahkan hampir 2000 pedagang di zona 2 Borobudur ke Kampung Seni 
Borobudur. Lokasi baru terletak di Dusun Kujon, bera da di zona 3 sisi barat candi. 
Peristiwa pengosongan lapak dan “relokasi” para PKL Borobudur ini telah dilaporkan 
ke Ombudsman Jawa Tengah pada November 2024. Ombudsman mencatat ada 324 
pedagang yang belum mendapatkan hak lapak di Kampung Seni Borobudur.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
120,"48   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Terakhir, konflik antara Bank Tanah dengan warga Desa Watutau, Kabupaten Poso, 
Sulawesi Tengah. Konflik ini sebenarnya sudah berlangsung selama beberapa tahun 
terakhir, dipicu klaim sepihak Bank Tanah di tanah warga. Penolakan warga atas klaim 
sepihak dan pemasangan plang yang dilakukan Bank Tanah berujung kriminalisasi 
terhadap 12 orang warga. Terbaru, salah seorang dari mereka, yakni Christian Toibo 
telah ditetapkan sebagai tersangka.   
 
  
Patok Badan Bank Tanah di Desa Watutau, 
Kabupaten Poso, Sulawesi Tengah.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
136,"56   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Di Kabupaten Luwu Utara, 17 orang Masyarakat Adat Rampi mengalami kriminalisasi 
akibat menolak pertambangan PT Kalla Arebama. Penolakan warga ini lahir akibat 
operasi pihak perusahaan telah menyebabkan hilangnya sawah, kebun, situs sakral 
dan pemakaman yan g selama ini menjadi sumber penghidupan dan identitas 
masyarakat adat Rampi.  
 
  
Masyarakat Adat Rampi di Sulawesi Selatan pertahankan wilayah adatnya dari 
perampasan yang dilakukan PT Kalla Arebama untuk pertambangan emas. 17 
masyarakat adat telah dikriminalisasi karena memperjuangkan hak -haknya.",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
176,"76   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  5. Konflik agraria antara masyarakat Desa Punti Kalo, Kecamatan Sumay, 
Kabupaten Tebo, Jambi dengan TNI AD terkait pembangunan Batalyon TP 844 BT. 
Konflik dipicu aksi sepihak TNI memasang patok di atas tanah masyarakat.  
6. Konflik agraria antara warga Desa Rancapinang, Kecamatan Cimanggu, 
Kabupaten Pandeglang, Banten dengan TNI AD terkait rencana pembangunan 
Batalyon TP (Yonif TP) 842/Badak Sakti. Konflik dipicu klaim sepihak TNI atas 
tanah masyarakat seluas 376 hektar yang telah digarap warga selama puluhan 
tahun  
7. Konflik agraria antara warga Desa Kaibobo, Kecamatan Seram Bagian Barat, 
Kabupaten Seram Bagian Barat, Maluku dengan Kodam XVI/Pattimura terkait 
pembangunan Batalyon TP (Yonif TP) SBB. Konflik dipicu pembebasan lahan 
secara sepihak.  
8. Konflik agraria antara warga Desa Rampoang, Kecamatan Tana Lili, Kabupaten 
Luwu Utara, Sulsel dengan Kodam XIV/Hasanuddin terkait pembangunan 
Batalyon Infanteri Tempur (Yon TP) 872. Konflik dipicu klaim sepihak TNI di atas 
tanah masyarakat. Pemprov Sulsel mengklaim menghibahkan lahan seluas 75 
hektar tersebut untuk pembangunan Yon TP 872, namun ditolak warga karena 60 
hektarnya merupakan tanah ulayat masyarakat.  
 
  
Patok KODA M XVII Cendrawasih 
men caplok 100 Ha Wilayah Adat. 
Perampasan ini ditujukan untuk 
pembangunan Fasilitas & Infrastruktur 
Yonif Teritorial Pembangunan YTP 817 
di Jagebob, Merauke yang mengawal 
PSN Food Estate",False,True,True,data/raw/konflik_kpa_ylbhi_tanahkita/
