tahun_laporan,nama_perusahaan,lokasi,jenis_masalah_izin,excerpt,luas_ha,dampak_jiwa,Sumber
2019,T oba Pulp Lestari; Inti Palm Sumatra; Agro Jawa Barat,"Sulawesi 
Selatan",HGU Kadaluarsa/Habis; AMDAL Bermasalah; Tumpang Tindih,"16
Catatan Akhir T ahun 2019 Konsorsium Pembaruan Agrariaantar warga yang bertikai. Jika kita 
menarik ke belakang, guratan konflik 
di Mesuji telah terbentang sejak lama. 
T ercatat puluhan korban tewas dalam 
putaran konflik agraria di Mesuji sejak 
1999. Jika ditarik lebih jauh, akar 
konflik Mesuji terjadi akibat kebijakan 
serampangan pemerintah Orde Baru 
kepada perusahaan-perusahaan  
indus",80.0,100.0,Laporan CATAHU KPA
2019,Kruwuk Rotorejo; Wira Karya,Sulawesi Tengah,HGU Kadaluarsa/Habis; Tumpang Tindih,"40
Catatan Akhir T ahun 2019 Konsorsium Pembaruan AgrariaSementara, selama periode SBY 
memimpin periode kedua (2010-2014), 
konflik agraria di seluruh sektor telah 
memakan korban kekerasan sebanyak 
1130 orang ditangkap, 590 dianiaya, 78 
tertembak dan 72 orang tewas. Dengan 
begitu jika dibandingkan antara masa 
pemerintahan SBY dengan Jokowi, 
berdasarkan data jumlah korban 
kekerasan menunjuk",48.631,,Laporan CATAHU KPA
2025,Mayawana Persada,,Tumpang Tindih,"4   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Setahun terakhir, pemerintahan Prabowo –Gibran bergerak melalui tiga pendekatan 
utama. Pertama,  kekuasaan dipusatkan melalui kebijakan terkomando; kedua,  sistem 
ekonomi dikelola dengan logika kapitalisme negara; dan ketiga,  stabilitas politik dijaga 
dan dikelola secara militeristik dengan aktor utama TNI/Polri.  
 
Ketiga pendekat",2025.0,,Laporan CATAHU KPA
2025,Toba Pulp Lestari (dulu PT; Toba; Tusam Hutani Lestari,,Tumpang Tindih,"CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA     |   15 B.  Trend Keterlibatan Militer dalam Konflik Agraria  
 
 
ajah loreng tentara banyak menghias sejumlah konflik agraria pada 2025. 
Terdapat sejumlah trigger bagaimana TNI menjadi terlibat menjadi aktor 
dalam konflik agraria tahun 2025. Bahkan secara kasat mata, aparat TNI 
terlibat secara aktif sebagai pelaku.  
 
Sejumlah pemicu t",222.669,7.477,Laporan CATAHU KPA
2025,International Timber Corporation in Indonesia Kartika; Murni Nusantara Mandiri (MNM); Laju Perdana Indah (LPI),Sulawesi Selatan,HGU Kadaluarsa/Habis; Tumpang Tindih,"24   |  CATATAN AKHIR TAHUN 2025 KONSORSIUM PEMBARUAN AGRARIA  Sementara, konflik agraria di perkebunan tebu salah satunya terjadi antara Masyarakat 
Adat Suku Yei di Merauke, Papua Selatan dengan PT Murni Nusantara Mandiri (MNM). 
Perkebunan tebu ini salah satu bagian dari Proyek Strategis Nasional (PSN) untuk 
ketahana n pangan dan energi. Sebagian besar Masyarakat Suku Yei, terutama dari 
Marga",90468.0,11.02,Laporan CATAHU KPA
2016,Pertiwi,Sulawesi hingga,Tanpa HGU; Operasi Ilegal,"diberikan karpet merah untuk beroperasi tanpa HGU, hanya bermodalkan ijin lokasi, serta 
alokasi 20 persen  untuk kebun plasma yang diinterpretasikan berada diluar areal HGU .  
Moratorium sawit yang juga diberlakukan di era Jokowi -JK tak mampu membendung 
ekspansi. Tercatat, menurut data dari Direktorat Jenderal Perkebunan, Kementerian Pertanian, 
setiap tahun, an gka penguasaan tanah bagi perke",5.0,,Laporan CATAHU KPA
2016,Restorasi Ekosistem Indonesia (PT; Gemala,Sulawesi Tengah,Tumpang Tindih,"Sebagai sektor konflik terluas, secara tak langsung menunjukan bahwa ekspansi 
perkebunan di banyak daerah selalu diikuti perampasan tanah -tanah ma syarakat. Tak hanya 
itu, tumpang tindih klaim dengan PTPN terutama di Jawa atau perusahaan swasta pemegang 
HGU menjadi sebab lain tingginya angka konflik di sektor perkebunan. Minimnya pengawasan 
dan penegakan hukum terhadap usaha perkebunan dari P",2019.0,,Laporan CATAHU KPA
2017,Arongo; Yasmin dan Ciputra; Dago Inti Graha,Sulawesi Selatan,HGU Kadaluarsa/Habis; Tumpang Tindih,"Kata Pengantar
Akhir tahun 2017 menggenapi 3 (tiga) tahun masa pemerintahan Presiden Joko Widodo 
(Jokowi). Mengingat kembali kepada janji ke-5 prioritas Nawa Cita: “Kami akan meningkatkan 
kualitas hidup manusia Indonesia, diantaranya akan dicapai melalui ….“peningkatan 
kesejahteraan masyarakat dengan program ‘Indonesia Kerja’ dan ‘Indonesia Sejahtera’ dengan 
mendorong landreform dan kepemilika",5.0,9000.0,Laporan CATAHU KPA
2018,RUM); Rayon Utama,Sulawesi Selatan,Operasi Ilegal; Tumpang Tindih,"26
""Masa Depan Reforma Agraria Melampaui T ahun Politik""Dari 223 Proyek Strategis Nasional (PSN), 
164 diantaranya sudah masuk tahap 
kontruksi dengan target rampung pada 
tahun 2018 dan 2019. Sisanya, sebanyak 
6 proyek masuk dalam tahap transaksi, 53 
proyek dan 1 program industri pesawat 
masuk dalam tahap penyiapan.8
Dari situasi di atas dapat dipahami 
mengapa letusan konflik di sektor 
infra",9481.0,23.428,Laporan CATAHU KPA
2018,Musim Mas; Wilmar; PCB Tulang Bawang,Sulawesi UtaraGorontaloSulawesi,HGU Kadaluarsa/Habis,"34
""Masa Depan Reforma Agraria Melampaui T ahun Politik""Perkebunaan sawit dan Hutan T anaman 
Industri (HTI) masih menjadi faktor 
utama penyebab konflik di Provinsi Riau. 
Banyak keputusan pejabat publik yang 
memberikan izin-izin konsesi kepada 
perusahaan besar di atas tanah-tanah garapan dan pemukiman masyarakat. 
Tumpang-tindih tersebut membuat 
tingginya potensi konflik agraria di 
provinsi ",309.256,,Laporan CATAHU KPA
