province,year,driver,area_ha,co2_emissions_mg,is_primary
Gorontalo,2001,Commodity driven deforestation,2602.29481,1825368.35832,
Gorontalo,2001,Forestry,890.97135,578148.18726,
Gorontalo,2001,Unknown,5.76954,3936.01321,
Gorontalo,2002,Commodity driven deforestation,6006.940790000001,4251267.135290001,
Gorontalo,2002,Forestry,2004.03164,1337370.48667,
Gorontalo,2002,Unknown,2.23089,1617.1699099999998,
Gorontalo,2003,Commodity driven deforestation,2133.73097,1582868.66308,
Gorontalo,2003,Forestry,669.11317,492877.78447,
Gorontalo,2003,Unknown,2.53859,1894.78988,
Gorontalo,2004,Commodity driven deforestation,4972.50014,3423431.4584,
Gorontalo,2004,Forestry,1973.33767,1332682.23789,
Gorontalo,2004,Unknown,4.231,3101.2612400000003,
Gorontalo,2005,Commodity driven deforestation,3380.79853,2441779.02178,
Gorontalo,2005,Forestry,858.35419,622980.71361,
Gorontalo,2005,Unknown,2.00012,1466.06304,
Gorontalo,2006,Commodity driven deforestation,3697.12336,2656819.18074,
Gorontalo,2006,Forestry,1548.85313,1015608.9283,
Gorontalo,2006,Unknown,3.76943,3014.46678,
Gorontalo,2007,Commodity driven deforestation,3368.41325,2313627.31392,
Gorontalo,2007,Forestry,958.74425,644326.69635,
Gorontalo,2007,Unknown,1.53855,970.49724,
Gorontalo,2008,Commodity driven deforestation,1247.29834,832482.3714599999,
Gorontalo,2008,Forestry,545.5680100000001,361099.3645,
Gorontalo,2008,Unknown,1.84625,1375.96983,
Gorontalo,2009,Commodity driven deforestation,8471.61277,5509926.09404,
Gorontalo,2009,Forestry,2787.4587,1807636.4784,
Gorontalo,2009,Unknown,3.69251,2458.58545,
Gorontalo,2010,Commodity driven deforestation,1021.20916,690430.65965,
Gorontalo,2010,Forestry,545.64494,350766.56697,
Gorontalo,2010,Unknown,2.69245,1848.12909,
Gorontalo,2011,Commodity driven deforestation,2170.57913,1494377.37614,
Gorontalo,2011,Forestry,802.1203800000001,510119.67387,
Gorontalo,2011,Unknown,6.3080300000000005,4657.295570000001,
Gorontalo,2012,Commodity driven deforestation,3269.33095,2462777.545,
Gorontalo,2012,Forestry,645.41958,402956.04024,
Gorontalo,2012,Unknown,13.30841,9670.69593,
Gorontalo,2013,Commodity driven deforestation,5422.06295,4552601.04476,
Gorontalo,2013,Forestry,508.48908,315460.26595000003,
Gorontalo,2013,Unknown,7.76965,6206.76857,
Gorontalo,2014,Commodity driven deforestation,8915.79068,7035834.43255,
Gorontalo,2014,Forestry,1419.23073,930657.58166,
Gorontalo,2014,Unknown,18.23176,14195.83322,
Gorontalo,2015,Commodity driven deforestation,10431.18046,7486073.87859,
Gorontalo,2015,Forestry,2800.53632,1881953.22772,
Gorontalo,2015,Unknown,55.38761,38748.65543,
Gorontalo,2016,Commodity driven deforestation,8725.54961,5949458.15102,
Gorontalo,2016,Forestry,2164.42494,1366829.4376599998,
Gorontalo,2016,Unknown,21.07806,14878.42033,
Gorontalo,2017,Commodity driven deforestation,6598.20359,4416423.55003,
Gorontalo,2017,Forestry,1257.3758,784984.8526,
Gorontalo,2017,Unknown,13.69305,10720.34515,
Gorontalo,2018,Commodity driven deforestation,6627.97444,4528502.48838,
Gorontalo,2018,Forestry,1362.99692,875582.03052,
Gorontalo,2018,Unknown,15.69316,11743.79268,
Gorontalo,2019,Commodity driven deforestation,8603.23528,5718231.07454,
Gorontalo,2019,Forestry,2348.2810600000003,1493964.82907,
Gorontalo,2019,Unknown,7.61579,4946.4772,
Gorontalo,2020,Commodity driven deforestation,2420.1311,1751949.27305,
Gorontalo,2020,Forestry,602.03262,390652.65347,
Gorontalo,2020,Unknown,7.76966,6221.69103,
Gorontalo,2021,Commodity driven deforestation,1791.09703,1225382.84284,
Gorontalo,2021,Forestry,396.02145,259204.57005,
Gorontalo,2021,Unknown,11.69294,7832.99142,
Gorontalo,2022,Commodity driven deforestation,2267.6613,1571544.25533,
Gorontalo,2022,Forestry,543.79869,354036.60818,
Gorontalo,2022,Unknown,7.077299999999999,5282.21289,
Gorontalo,2023,Commodity driven deforestation,6660.13003,4540433.93137,
Gorontalo,2023,Forestry,1576.0084499999998,976133.11832,
Gorontalo,2023,Unknown,5.69261,4059.8279,
Sulawesi Barat,2001,Commodity driven deforestation,14418.22214,10409850.96206,
Sulawesi Barat,2001,Forestry,1495.35486,1134927.84522,
Sulawesi Barat,2001,Shifting agriculture,481.2796,390781.00366,
Sulawesi Barat,2001,Unknown,4.76635,2935.32044,
Sulawesi Barat,2002,Commodity driven deforestation,9534.17564,6882272.452020001,
Sulawesi Barat,2002,Forestry,2409.42735,1744280.39997,
Sulawesi Barat,2002,Shifting agriculture,156.25263,126972.95573,
Sulawesi Barat,2002,Unknown,7.22539,6853.79776,
Sulawesi Barat,2003,Commodity driven deforestation,5858.00373,4301617.29687,
Sulawesi Barat,2003,Forestry,831.4986,653260.2740699999,
Sulawesi Barat,2003,Shifting agriculture,193.20322,159458.93148,
Sulawesi Barat,2003,Unknown,2.15133,1562.69957,
Sulawesi Barat,2004,Commodity driven deforestation,13713.50038,9965020.81033,
Sulawesi Barat,2004,Forestry,1709.2505600000002,1265412.8673,
Sulawesi Barat,2004,Shifting agriculture,310.8152,255420.37618,
Sulawesi Barat,2004,Unknown,3.07453,2048.35906,
Sulawesi Barat,2005,Commodity driven deforestation,8012.34767,5954278.764389999,
Sulawesi Barat,2005,Forestry,1158.38967,893776.76316,
Sulawesi Barat,2005,Shifting agriculture,223.31681,181924.95611,
Sulawesi Barat,2005,Unknown,1.76836,1225.42957,
Sulawesi Barat,2006,Commodity driven deforestation,9063.37905,6678443.25268,
Sulawesi Barat,2006,Forestry,2030.02549,1518659.87049,
Sulawesi Barat,2006,Shifting agriculture,387.09783,313031.13001,
Sulawesi Barat,2006,Unknown,0.99887,524.97747,
