file,date,product,variable_path,pixel_count,mean,median,min,max
S5P_OFFL_L2__NO2____20220901T050310_20220901T064440_25308_03_020400_20220903T035331.nc,2022-09-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,23587,1.6628677383764075e-06,1.9956910364271607e-06,-8.58008352224715e-05,6.536643923027441e-05
S5P_OFFL_L2__NO2____20221201T044837_20221201T063007_26599_03_020400_20221208T123339.nc,2022-12-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,28432,6.491383314177701e-06,6.445892267947784e-06,-0.00025423080660402775,0.00018766296852845699
S5P_OFFL_L2__NO2____20221215T052630_20221215T070800_26798_03_020400_20221221T051534.nc,2022-12-15,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,3867,6.017736508177438e-06,6.453657988458872e-06,-0.00030527435592375696,0.0001671946229180321
S5P_OFFL_L2__NO2____20230301T050611_20230301T064741_27876_03_020400_20230302T212429.nc,2023-03-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,19681,5.3578069255747205e-06,4.229364094499033e-06,-4.8254671128233895e-05,0.00016280956333503127
S5P_OFFL_L2__NO2____20230601T045051_20230601T063221_29181_03_020500_20230603T021021.nc,2023-06-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,37297,4.856555532485647e-06,4.832934337173356e-06,-7.325105980271474e-05,0.00010826886864379048
S5P_OFFL_L2__NO2____20230901T041919_20230901T060049_30486_03_020500_20230902T202356.nc,2023-09-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,30274,5.162218150390814e-06,4.797278052137699e-06,-2.1815327272634022e-05,0.0002227600198239088
S5P_OFFL_L2__NO2____20231201T040346_20231201T054516_31777_03_020600_20231202T201947.nc,2023-12-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,25330,4.8616694812123614e-06,4.622246024155174e-06,-0.0003048500220756978,0.00022370296937879175
S5P_OFFL_L2__NO2____20231214T050005_20231214T064135_31962_03_020600_20231215T212153.nc,2023-12-14,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,19666,9.320474665640032e-06,8.579181667300873e-06,-5.447110379463993e-05,0.00012476183474063873
S5P_OFFL_L2__NO2____20240301T054237_20240301T072407_33069_03_020600_20240302T220659.nc,2024-03-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,0,,,,
S5P_OFFL_L2__NO2____20240601T052547_20240601T070717_34374_03_020600_20240607T083951.nc,2024-06-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,10475,5.181693001630221e-06,5.416772637545364e-06,-8.114105003187433e-05,6.349329487420619e-05
S5P_OFFL_L2__NO2____20240901T045614_20240901T063743_35679_03_020600_20240902T210000.nc,2024-09-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,28678,3.824510455658558e-06,3.667035912258143e-06,-0.00012867386976722628,0.00018771231407299638
S5P_OFFL_L2__NO2____20241201T044107_20241201T062237_36970_03_020800_20241202T205742.nc,2024-12-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,33617,1.287340008007399e-05,9.511670214124024e-06,-3.235700205550529e-05,0.00011705489305313677
S5P_OFFL_L2__NO2____20241231T033759_20241231T051929_37395_03_020800_20250103T053713.nc,2024-12-31,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,8564,-3.912531411907077e-06,1.7835606058724807e-06,-0.00030608760425820947,6.549921818077564e-05
S5P_RPRO_L2__NO2____20220301T040805_20220301T054936_22697_03_020400_20221106T104610.nc,2022-03-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,25549,4.92301965767881e-06,4.962708317179931e-06,-5.9556521591730416e-05,0.00010057934559881687
S5P_RPRO_L2__NO2____20220601T053212_20220601T071342_24003_03_020400_20230202T212407.nc,2022-06-01,NO2,/PRODUCT/nitrogendioxide_tropospheric_column,7054,4.878359037463028e-06,5.1662741498148534e-06,-6.496458809124306e-05,5.704596696887165e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2018m0501t050523-o02835_v01-01-2022m0506t132132.nc,2018-05-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,18012,3.4280332245192704e-06,3.85654257397411e-06,-0.00012974636378044622,8.332434056497557e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2018m0601t052551-o03275_v01-01-2022m0506t141041.nc,2018-06-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,8151,4.704402373423473e-06,5.152203837084672e-06,-0.0001485042770122112,7.836659354449921e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2018m0901t045657-o04580_v01-01-2022m0506t165016.nc,2018-09-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,22329,4.305153990444453e-06,4.276952033420089e-06,-6.598736358050375e-05,9.612197593523883e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2018m1201t044151-o05871_v01-01-2022m0506t192123.nc,2018-12-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,25558,4.114311445734294e-06,4.0766585703796145e-06,-0.0001251856441131784,0.00016286473007865755
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2018m1215t051927-o06070_v01-01-2022m0506t194142.nc,2018-12-15,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,5111,3.0720660348576344e-06,3.7303315199119324e-06,-0.00015236669746426692,6.329003364775074e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2019m0301t045834-o07148_v01-01-2022m0506t215040.nc,2019-03-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,17747,4.3530931453003815e-06,4.267452038511302e-06,-0.00010131579086439288,7.156136551998523e-05
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2019m0601t044130-o08453_v01-01-2022m0507t004954.nc,2019-06-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,30619,3.849099492799024e-06,3.599023203185573e-06,-0.00013309908972559744,0.000174833355218715
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2019m0901t041206-o09758_v01-01-2022m0507t050225.nc,2019-09-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,24762,3.6068681627928322e-06,3.3246743546127276e-06,-5.2594494746245286e-05,0.00010249859093432203
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2019m1201t053833-o11050_v01-01-2022m0507t075313.nc,2019-12-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,0,,,,
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2019m1214t045344-o11234_v01-01-2022m0507t081502.nc,2019-12-14,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,22927,4.098596283955357e-06,4.562254989025664e-06,-0.00015125555577235708,0.00017175593188262255
TROPOMI-S5P_L2-TROPOMI_MINDS_NO2_2020m0301t053638-o12341_v01-01-2022m0507t103027.nc,2020-03-01,NO2,/SCIENCE_DATA/ColumnAmountNO2Trop,656,2.2143136142936263e-06,2.3939693255345298e-06,-1.822690530519768e-05,2.9559553425382506e-05
