    provinsi,tahun,kategori,satuan,nilai,Sumber
Aceh,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Aceh,2022,Ekspor Non-Migas,Juta USD,1491603.7000000002,data/raw/eksporimpor/
Aceh,2023,Ekspor Migas,Juta USD,84786.70000000001,data/raw/eksporimpor/
Aceh,2023,Ekspor Non-Migas,Juta USD,1134261.0,data/raw/eksporimpor/
Aceh,2024,Ekspor Migas,Juta USD,101197.0,data/raw/eksporimpor/
Aceh,2024,Ekspor Non-Migas,Juta USD,1293433.7,data/raw/eksporimpor/
Aceh,2025,Ekspor Migas,Juta USD,1091605.9,data/raw/eksporimpor/
Aceh,2025,Ekspor Non-Migas,Juta USD,1263699.8,data/raw/eksporimpor/
Aceh,2026,Ekspor Non-Migas,Juta USD,343088.4,data/raw/eksporimpor/
Bali,2022,Ekspor Migas,Juta USD,1.5,data/raw/eksporimpor/
Bali,2022,Ekspor Non-Migas,Juta USD,1233950.0,data/raw/eksporimpor/
Bali,2023,Ekspor Migas,Juta USD,106.8,data/raw/eksporimpor/
Bali,2023,Ekspor Non-Migas,Juta USD,1150110.5,data/raw/eksporimpor/
Bali,2024,Ekspor Migas,Juta USD,528.4,data/raw/eksporimpor/
Bali,2024,Ekspor Non-Migas,Juta USD,1265295.5,data/raw/eksporimpor/
Bali,2025,Ekspor Migas,Juta USD,2104.6,data/raw/eksporimpor/
Bali,2025,Ekspor Non-Migas,Juta USD,1130707.0,data/raw/eksporimpor/
Bali,2026,Ekspor Migas,Juta USD,20.6,data/raw/eksporimpor/
Bali,2026,Ekspor Non-Migas,Juta USD,281355.8,data/raw/eksporimpor/
Banten,2022,Ekspor Migas,Juta USD,315807.69999999995,data/raw/eksporimpor/
Banten,2022,Ekspor Non-Migas,Juta USD,27852498.8,data/raw/eksporimpor/
Banten,2023,Ekspor Migas,Juta USD,403346.8,data/raw/eksporimpor/
Banten,2023,Ekspor Non-Migas,Juta USD,23874536.1,data/raw/eksporimpor/
Banten,2024,Ekspor Migas,Juta USD,122529.7,data/raw/eksporimpor/
Banten,2024,Ekspor Non-Migas,Juta USD,24336244.4,data/raw/eksporimpor/
Banten,2025,Ekspor Migas,Juta USD,309201.1,data/raw/eksporimpor/
Banten,2025,Ekspor Non-Migas,Juta USD,25715519.4,data/raw/eksporimpor/
Banten,2026,Ekspor Migas,Juta USD,142071.4,data/raw/eksporimpor/
Banten,2026,Ekspor Non-Migas,Juta USD,5842470.0,data/raw/eksporimpor/
Bengkulu,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Bengkulu,2022,Ekspor Non-Migas,Juta USD,622397.8,data/raw/eksporimpor/
Bengkulu,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Bengkulu,2023,Ekspor Non-Migas,Juta USD,492722.6,data/raw/eksporimpor/
Bengkulu,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Bengkulu,2024,Ekspor Non-Migas,Juta USD,388847.2,data/raw/eksporimpor/
Bengkulu,2025,Ekspor Migas,Juta USD,86584.8,data/raw/eksporimpor/
Bengkulu,2025,Ekspor Non-Migas,Juta USD,209346.4,data/raw/eksporimpor/
Bengkulu,2026,Ekspor Non-Migas,Juta USD,15052.8,data/raw/eksporimpor/
Di Yogyakarta,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Di Yogyakarta,2022,Ekspor Non-Migas,Juta USD,1163258.9,data/raw/eksporimpor/
Di Yogyakarta,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Di Yogyakarta,2023,Ekspor Non-Migas,Juta USD,944157.9,data/raw/eksporimpor/
Di Yogyakarta,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Di Yogyakarta,2024,Ekspor Non-Migas,Juta USD,1093776.5,data/raw/eksporimpor/
Di Yogyakarta,2025,Ekspor Migas,Juta USD,31954.6,data/raw/eksporimpor/
Di Yogyakarta,2025,Ekspor Non-Migas,Juta USD,1117448.0,data/raw/eksporimpor/
Di Yogyakarta,2026,Ekspor Non-Migas,Juta USD,275934.2,data/raw/eksporimpor/
Dki Jakarta,2022,Ekspor Migas,Juta USD,57636.8,data/raw/eksporimpor/
Dki Jakarta,2022,Ekspor Non-Migas,Juta USD,22947703.2,data/raw/eksporimpor/
Dki Jakarta,2023,Ekspor Migas,Juta USD,41439.8,data/raw/eksporimpor/
Dki Jakarta,2023,Ekspor Non-Migas,Juta USD,22100973.3,data/raw/eksporimpor/
Dki Jakarta,2024,Ekspor Migas,Juta USD,85562.2,data/raw/eksporimpor/
Dki Jakarta,2024,Ekspor Non-Migas,Juta USD,27455660.0,data/raw/eksporimpor/
Dki Jakarta,2025,Ekspor Migas,Juta USD,75524.3,data/raw/eksporimpor/
Dki Jakarta,2025,Ekspor Non-Migas,Juta USD,34945105.8,data/raw/eksporimpor/
Dki Jakarta,2026,Ekspor Migas,Juta USD,50508.4,data/raw/eksporimpor/
Dki Jakarta,2026,Ekspor Non-Migas,Juta USD,9007499.1,data/raw/eksporimpor/
Gorontalo,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Gorontalo,2022,Ekspor Non-Migas,Juta USD,103989.6,data/raw/eksporimpor/
Gorontalo,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Gorontalo,2023,Ekspor Non-Migas,Juta USD,110353.6,data/raw/eksporimpor/
Gorontalo,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Gorontalo,2024,Ekspor Non-Migas,Juta USD,120147.2,data/raw/eksporimpor/
Gorontalo,2025,Ekspor Non-Migas,Juta USD,179563.0,data/raw/eksporimpor/
