country_name,country_ISO3,year,flag,pop_1000_persons,efp_total_percapita,efi_total_percapita,efe_total_percapita,efc_total_percapita,biocap_total_percapita,efp_crop_gha,efp_grazing_gha,efp_forest_gha,efp_fishing_gha,efp_built_gha,efp_carbon_gha,efp_total_gha,efi_crop_gha,efi_grazing_gha,efi_forest_gha,efi_fishing_gha,efi_carbon_gha,efi_total_gha,efe_crop_gha,efe_grazing_gha,efe_forest_gha,efe_fishing_gha,efe_carbon_gha,efe_total_gha,efc_crop_gha,efc_grazing_gha,efc_forest_gha,efc_fishing_gha,efc_built_gha,efc_carbon_gha,efc_total_gha,biocap_crop_gha,biocap_grazing_gha,biocap_forest_gha,biocap_fishing_gha,biocap_built_gha,biocap_total_gha,area_crop_ha,area_grazing_ha,area_forest_ha,area_fishing_ha,area_built_ha,area_total_ha,UN_region,UN_subregion,comment
Indonesia,IDN,2023,+++,281190,1.85,0.42,0.6,1.67,1.17,120513016,4373842,65361094,75962965,32090945,222559291,520861154,29892539,7681728,6799226,2638484,71727023,118739000,31464184,24310,41910995,11517235,84148218,169064944,118941371,12031260,30249325,67084213,32090945,210138096,470535210,120513016,13783117,71037079,90180477,32090945,327604635,44006539,11115664,90316596,184948977,12127300,342515076,Asia,South-Eastern Asia,
Indonesia,IDN,2022,+++,278831,1.84,0.41,0.59,1.66,1.17,120033171,4340182,61893288,69200700,32210177,224413391,512090910,25676230,7437411,7159732,2367459,71466043,114106874,30520809,25604,37446568,11043466,84796411,163832858,115188592,11751988,31606452,60524693,32210177,211083023,462364926,120033171,13748716,71610907,89887717,32210177,327490688,43774048,11124033,90922131,184948977,12027600,342796790,Asia,South-Eastern Asia,
Indonesia,IDN,2021,+++,276758,1.77,0.39,0.58,1.59,1.19,120463207,4286745,63339236,66872463,31827422,204261223,491050295,26817127,7246062,6503968,1734872,66776633,109078661,29141348,24921,39420538,11080630,81528176,161195612,118138986,11507885,30422665,57526704,31827422,189509681,438933344,120463207,13775635,72151872,89996002,31827422,328214139,43668148,11132403,91527663,184948977,11927900,343205091,Asia,South-Eastern Asia,
Indonesia,IDN,2020,+++,274815,1.72,0.35,0.55,1.52,1.17,114973890,4486968,76160800,63103753,30741198,183898258,473364867,24682980,6379815,6444580,1793788,57483434,96784597,31313446,23734,39061901,11167403,70926170,152492654,108343424,10843050,43543479,53730139,30741198,170455521,417656810,114973890,13763344,72691608,89848153,30741198,322018192,43241548,11140772,92133200,184948977,11828200,343292697,Asia,South-Eastern Asia,
Indonesia,IDN,2019,+++,272489,1.76,0.42,0.59,1.59,1.18,112763728,4495904,74671232,61850716,30660313,194520566,478962459,26881124,7656974,8616227,1758196,69492738,114405259,31921744,39360,35887969,9753723,83651801,161254598,107723108,12113517,47399490,53855190,30660313,180361502,432113121,112763728,13769402,73334889,89820227,30660313,320348560,42830148,11149142,92738730,184948977,11692490,343359487,Asia,South-Eastern Asia,
Indonesia,IDN,2018,+++,269952,1.73,0.43,0.55,1.61,1.17,108484392,4451114,73651370,59421822,29718932,191652230,467379861,29422766,6659048,7734258,1851186,71419705,117086962,30541284,33819,31730506,8621233,77992620,148919462,107365873,11076343,49655122,52651776,29718932,185079315,435547361,108484392,13786374,73893037,89863477,29718932,315746212,42186248,11157511,93344270,184948977,11556780,343193786,Asia,South-Eastern Asia,
Indonesia,IDN,2017,+++,267347,1.67,0.4,0.52,1.54,1.17,105667581,4387466,69764834,60677805,29468216,175367121,445333024,26037457,6348287,7955145,2073441,64480560,106894890,29637478,36126,32131640,8836773,69301259,139943276,102067560,10699627,45588340,53914472,29468216,170546422,412284638,105667581,13817712,74535270,90000240,29468216,313489020,40953848,11165880,93949800,184948977,11421070,342439575,Asia,South-Eastern Asia,
Indonesia,IDN,2016,+++,264627,1.59,0.37,0.47,1.5,1.18,103953540,4169263,70508892,56389233,28503683,157814147,421338758,25797589,5435443,7135988,1497336,59247279,99113635,27687535,41842,27597003,8602992,59420158,123349530,102063593,9562863,50047877,49283577,28503683,157641268,397102862,103953540,13839813,75553423,90076670,28503683,311927129,41157948,11174250,95271800,184948977,11285360,343838335,Asia,South-Eastern Asia,
Indonesia,IDN,2015,+++,261799,1.62,0.35,0.49,1.48,1.19,103135213,4469389,71446487,55487077,28253712,161358688,424150567,22069755,3978394,6165875,1511815,58404253,92130092,30847703,35655,27599195,8357085,61465538,128305175,94357265,8412129,50013167,48641807,28253712,158297403,387975484,103135213,13828086,75506410,89932990,28253712,310656411,40657948,11182619,95027900,184948977,11149650,342967094,Asia,South-Eastern Asia,
Indonesia,IDN,2014,+++,258877,1.64,0.38,0.5,1.53,1.19,100406697,4316749,72496101,58506889,27269328,160759844,423755608,22619256,5065562,7071603,1749243,63085569,99591232,27052942,34652,28947303,10695626,61627057,128357579,95973011,9347660,50620400,49560507,27269328,162218356,394989261,100406697,13868492,76476427,90128323,27269328,308149267,40457948,11190989,95954160,184948977,11013940,343566014,Asia,South-Eastern Asia,
