Tahun,Wilayah,Indeks Kualitas Air,Sumber Data,Sumber
2015,Indonesia (Nasional),53.1,BPS SLHI 2021,data/raw/klhk_ika/
2016,Indonesia (Nasional),50.2,BPS SLHI 2021,data/raw/klhk_ika/
2017,Indonesia (Nasional),53.2,BPS SLHI 2021,data/raw/klhk_ika/
2018,Indonesia (Nasional),51.01,BPS SLHI 2021,data/raw/klhk_ika/
2019,Indonesia (Nasional),52.62,BPS SLHI 2024,data/raw/klhk_ika/
2020,Indonesia (Nasional),53.53,BPS SLHI 2024,data/raw/klhk_ika/
2021,Indonesia (Nasional),52.82,BPS SLHI 2024,data/raw/klhk_ika/
2022,Indonesia (Nasional),53.88,BPS SLHI 2024,data/raw/klhk_ika/
2023,Indonesia (Nasional),54.59,BPS SLHI 2024,data/raw/klhk_ika/
2024,Indonesia (Nasional),54.78,BPS SLHI 2025,data/raw/klhk_ika/
