provinsi,tahun,indikator,nilai,satuan,Sumber
Aceh,2016,Investasi PMDN - Nilai (Juta Rp),2456.1,Juta Rp,data/raw/bps_pmdn/
Aceh,2017,Investasi PMDN - Nilai (Juta Rp),782.8,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2016,Investasi PMDN - Nilai (Juta Rp),4864.2,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2017,Investasi PMDN - Nilai (Juta Rp),11683.6,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2016,Investasi PMDN - Nilai (Juta Rp),3795.6,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2017,Investasi PMDN - Nilai (Juta Rp),1517.0,Juta Rp,data/raw/bps_pmdn/
Riau,2016,Investasi PMDN - Nilai (Juta Rp),6613.7,Juta Rp,data/raw/bps_pmdn/
Riau,2017,Investasi PMDN - Nilai (Juta Rp),10829.8,Juta Rp,data/raw/bps_pmdn/
Jambi,2016,Investasi PMDN - Nilai (Juta Rp),3884.4,Juta Rp,data/raw/bps_pmdn/
Jambi,2017,Investasi PMDN - Nilai (Juta Rp),3006.6,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2016,Investasi PMDN - Nilai (Juta Rp),8534.1,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2017,Investasi PMDN - Nilai (Juta Rp),8200.2,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2016,Investasi PMDN - Nilai (Juta Rp),949.1,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2017,Investasi PMDN - Nilai (Juta Rp),296.5,Juta Rp,data/raw/bps_pmdn/
Lampung,2016,Investasi PMDN - Nilai (Juta Rp),6031.8,Juta Rp,data/raw/bps_pmdn/
Lampung,2017,Investasi PMDN - Nilai (Juta Rp),7014.8,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2016,Investasi PMDN - Nilai (Juta Rp),2202.0,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2017,Investasi PMDN - Nilai (Juta Rp),1734.7,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2016,Investasi PMDN - Nilai (Juta Rp),492.5,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2017,Investasi PMDN - Nilai (Juta Rp),1398.0,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2016,Investasi PMDN - Nilai (Juta Rp),12216.9,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2017,Investasi PMDN - Nilai (Juta Rp),47262.3,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2016,Investasi PMDN - Nilai (Juta Rp),30360.2,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2017,Investasi PMDN - Nilai (Juta Rp),38390.6,Juta Rp,data/raw/bps_pmdn/
