provinsi,tahun,indikator,nilai,Sumber
Aceh,2014,Kasus Diare Dilayani,106791,data/raw/profil_kesehatan_kemenkes/
Aceh,2014,Kasus ISPA/Pneumonia,1369,data/raw/profil_kesehatan_kemenkes/
Aceh,2014,Kasus Kusta Baru,583,data/raw/profil_kesehatan_kemenkes/
Aceh,2014,Kasus Malaria Positif,778,data/raw/profil_kesehatan_kemenkes/
Aceh,2015,Kasus Diare Dilayani,64589,data/raw/profil_kesehatan_kemenkes/
Aceh,2015,Kasus ISPA/Pneumonia,1129,data/raw/profil_kesehatan_kemenkes/
Aceh,2015,Kasus Kusta Baru,524,data/raw/profil_kesehatan_kemenkes/
Aceh,2015,Kasus Malaria Positif,422,data/raw/profil_kesehatan_kemenkes/
Aceh,2016,Kasus Diare Dilayani,25341,data/raw/profil_kesehatan_kemenkes/
Aceh,2016,Kasus ISPA/Pneumonia,1854,data/raw/profil_kesehatan_kemenkes/
Aceh,2016,Kasus Kusta Baru,422,data/raw/profil_kesehatan_kemenkes/
Aceh,2016,Kasus Malaria Positif,243,data/raw/profil_kesehatan_kemenkes/
Aceh,2017,Kasus ISPA/Pneumonia,2157,data/raw/profil_kesehatan_kemenkes/
Aceh,2017,Kasus Kusta Baru,324,data/raw/profil_kesehatan_kemenkes/
Aceh,2017,Kasus Malaria Positif,299,data/raw/profil_kesehatan_kemenkes/
Aceh,2018,Kasus Diare Dilayani,72805,data/raw/profil_kesehatan_kemenkes/
Aceh,2018,Kasus ISPA/Pneumonia,2741,data/raw/profil_kesehatan_kemenkes/
Aceh,2018,Kasus Kusta Baru,366,data/raw/profil_kesehatan_kemenkes/
Aceh,2018,Kasus Malaria Positif,128,data/raw/profil_kesehatan_kemenkes/
Aceh,2019,Kasus Diare Dilayani,74415,data/raw/profil_kesehatan_kemenkes/
Aceh,2019,Kasus ISPA/Pneumonia,3265,data/raw/profil_kesehatan_kemenkes/
Aceh,2019,Kasus Kusta Baru,354,data/raw/profil_kesehatan_kemenkes/
Aceh,2019,Kasus Malaria Positif,92,data/raw/profil_kesehatan_kemenkes/
Aceh,2020,Kasus Diare Dilayani,56698,data/raw/profil_kesehatan_kemenkes/
Aceh,2020,Kasus ISPA/Pneumonia,1956,data/raw/profil_kesehatan_kemenkes/
Aceh,2020,Kasus Kusta Baru,227,data/raw/profil_kesehatan_kemenkes/
Aceh,2020,Kasus Malaria Positif,239,data/raw/profil_kesehatan_kemenkes/
Aceh,2021,Kasus Diare Dilayani,29866,data/raw/profil_kesehatan_kemenkes/
Aceh,2021,Kasus ISPA/Pneumonia,1318,data/raw/profil_kesehatan_kemenkes/
Aceh,2021,Kasus Kusta Baru,254,data/raw/profil_kesehatan_kemenkes/
Aceh,2021,Kasus Malaria Positif,324,data/raw/profil_kesehatan_kemenkes/
Aceh,2022,Kasus Diare Dilayani,46362,data/raw/profil_kesehatan_kemenkes/
Aceh,2022,Kasus ISPA/Pneumonia,2080,data/raw/profil_kesehatan_kemenkes/
Aceh,2022,Kasus Kusta Baru,87,data/raw/profil_kesehatan_kemenkes/
Aceh,2022,Kasus Malaria Positif,137,data/raw/profil_kesehatan_kemenkes/
Aceh,2023,Kasus Diare Dilayani,51810,data/raw/profil_kesehatan_kemenkes/
Aceh,2023,Kasus ISPA/Pneumonia,3053,data/raw/profil_kesehatan_kemenkes/
Aceh,2023,Kasus Kusta Baru,284,data/raw/profil_kesehatan_kemenkes/
Aceh,2023,Kasus Malaria Positif,166,data/raw/profil_kesehatan_kemenkes/
Aceh,2024,Kasus Diare Dilayani,45444,data/raw/profil_kesehatan_kemenkes/
Aceh,2024,Kasus ISPA/Pneumonia,3296,data/raw/profil_kesehatan_kemenkes/
Aceh,2024,Kasus Kusta Baru,265,data/raw/profil_kesehatan_kemenkes/
Aceh,2024,Kasus Malaria Positif,372,data/raw/profil_kesehatan_kemenkes/
Bali,2014,Kasus Diare Dilayani,51447,data/raw/profil_kesehatan_kemenkes/
Bali,2014,Kasus ISPA/Pneumonia,4712,data/raw/profil_kesehatan_kemenkes/
Bali,2014,Kasus Kusta Baru,81,data/raw/profil_kesehatan_kemenkes/
Bali,2014,Kasus Malaria Positif,10,data/raw/profil_kesehatan_kemenkes/
Bali,2015,Kasus Diare Dilayani,93333,data/raw/profil_kesehatan_kemenkes/
Bali,2015,Kasus ISPA/Pneumonia,5731,data/raw/profil_kesehatan_kemenkes/
Bali,2015,Kasus Kusta Baru,61,data/raw/profil_kesehatan_kemenkes/
Bali,2015,Kasus Malaria Positif,5,data/raw/profil_kesehatan_kemenkes/
Bali,2016,Kasus Diare Dilayani,32651,data/raw/profil_kesehatan_kemenkes/
Bali,2016,Kasus ISPA/Pneumonia,6688,data/raw/profil_kesehatan_kemenkes/
Bali,2016,Kasus Kusta Baru,99,data/raw/profil_kesehatan_kemenkes/
Bali,2016,Kasus Malaria Positif,6,data/raw/profil_kesehatan_kemenkes/
Bali,2017,Kasus ISPA/Pneumonia,5370,data/raw/profil_kesehatan_kemenkes/
Bali,2017,Kasus Kusta Baru,70,data/raw/profil_kesehatan_kemenkes/
Bali,2017,Kasus Malaria Positif,33,data/raw/profil_kesehatan_kemenkes/
Bali,2018,Kasus Diare Dilayani,58064,data/raw/profil_kesehatan_kemenkes/
Bali,2018,Kasus ISPA/Pneumonia,4777,data/raw/profil_kesehatan_kemenkes/
Bali,2018,Kasus Kusta Baru,112,data/raw/profil_kesehatan_kemenkes/
Bali,2018,Kasus Malaria Positif,70,data/raw/profil_kesehatan_kemenkes/
Bali,2019,Kasus Diare Dilayani,62505,data/raw/profil_kesehatan_kemenkes/
Bali,2019,Kasus ISPA/Pneumonia,5096,data/raw/profil_kesehatan_kemenkes/
Bali,2019,Kasus Kusta Baru,120,data/raw/profil_kesehatan_kemenkes/
Bali,2019,Kasus Malaria Positif,32,data/raw/profil_kesehatan_kemenkes/
Bali,2020,Kasus Diare Dilayani,22022,data/raw/profil_kesehatan_kemenkes/
Bali,2020,Kasus ISPA/Pneumonia,2944,data/raw/profil_kesehatan_kemenkes/
Bali,2020,Kasus Kusta Baru,64,data/raw/profil_kesehatan_kemenkes/
Bali,2020,Kasus Malaria Positif,17,data/raw/profil_kesehatan_kemenkes/
Bali,2021,Kasus Diare Dilayani,25691,data/raw/profil_kesehatan_kemenkes/
Bali,2021,Kasus ISPA/Pneumonia,2584,data/raw/profil_kesehatan_kemenkes/
Bali,2021,Kasus Kusta Baru,101,data/raw/profil_kesehatan_kemenkes/
Bali,2021,Kasus Malaria Positif,33,data/raw/profil_kesehatan_kemenkes/
Bali,2022,Kasus Diare Dilayani,15936,data/raw/profil_kesehatan_kemenkes/
Bali,2022,Kasus ISPA/Pneumonia,5269,data/raw/profil_kesehatan_kemenkes/
Bali,2022,Kasus Kusta Baru,41,data/raw/profil_kesehatan_kemenkes/
Bali,2022,Kasus Malaria Positif,28,data/raw/profil_kesehatan_kemenkes/
Bali,2023,Kasus Diare Dilayani,33716,data/raw/profil_kesehatan_kemenkes/
Bali,2023,Kasus ISPA/Pneumonia,6155,data/raw/profil_kesehatan_kemenkes/
Bali,2023,Kasus Kusta Baru,131,data/raw/profil_kesehatan_kemenkes/
Bali,2023,Kasus Malaria Positif,59,data/raw/profil_kesehatan_kemenkes/
Bali,2024,Kasus Diare Dilayani,41739,data/raw/profil_kesehatan_kemenkes/
Bali,2024,Kasus ISPA/Pneumonia,6055,data/raw/profil_kesehatan_kemenkes/
Bali,2024,Kasus Kusta Baru,119,data/raw/profil_kesehatan_kemenkes/
Bali,2024,Kasus Malaria Positif,75,data/raw/profil_kesehatan_kemenkes/
Banten,2014,Kasus Diare Dilayani,246077,data/raw/profil_kesehatan_kemenkes/
Banten,2014,Kasus ISPA/Pneumonia,34853,data/raw/profil_kesehatan_kemenkes/
Banten,2014,Kasus Kusta Baru,823,data/raw/profil_kesehatan_kemenkes/
Banten,2014,Kasus Malaria Positif,46,data/raw/profil_kesehatan_kemenkes/
Banten,2015,Kasus Diare Dilayani,59694,data/raw/profil_kesehatan_kemenkes/
Banten,2015,Kasus ISPA/Pneumonia,32978,data/raw/profil_kesehatan_kemenkes/
Banten,2015,Kasus Kusta Baru,1026,data/raw/profil_kesehatan_kemenkes/
Banten,2015,Kasus Malaria Positif,28,data/raw/profil_kesehatan_kemenkes/
Banten,2016,Kasus Diare Dilayani,164079,data/raw/profil_kesehatan_kemenkes/
Banten,2016,Kasus ISPA/Pneumonia,30649,data/raw/profil_kesehatan_kemenkes/
Banten,2016,Kasus Kusta Baru,926,data/raw/profil_kesehatan_kemenkes/
Banten,2016,Kasus Malaria Positif,28,data/raw/profil_kesehatan_kemenkes/
Banten,2017,Kasus ISPA/Pneumonia,31651,data/raw/profil_kesehatan_kemenkes/
Banten,2017,Kasus Kusta Baru,942,data/raw/profil_kesehatan_kemenkes/
Banten,2017,Kasus Malaria Positif,42,data/raw/profil_kesehatan_kemenkes/
Banten,2018,Kasus Diare Dilayani,236699,data/raw/profil_kesehatan_kemenkes/
Banten,2018,Kasus ISPA/Pneumonia,33775,data/raw/profil_kesehatan_kemenkes/
Banten,2018,Kasus Kusta Baru,846,data/raw/profil_kesehatan_kemenkes/
Banten,2018,Kasus Malaria Positif,55,data/raw/profil_kesehatan_kemenkes/
Banten,2019,Kasus Diare Dilayani,250516,data/raw/profil_kesehatan_kemenkes/
Banten,2019,Kasus ISPA/Pneumonia,35151,data/raw/profil_kesehatan_kemenkes/
Banten,2019,Kasus Kusta Baru,927,data/raw/profil_kesehatan_kemenkes/
Banten,2019,Kasus Malaria Positif,33,data/raw/profil_kesehatan_kemenkes/
Banten,2020,Kasus Diare Dilayani,221426,data/raw/profil_kesehatan_kemenkes/
Banten,2020,Kasus ISPA/Pneumonia,23174,data/raw/profil_kesehatan_kemenkes/
Banten,2020,Kasus Kusta Baru,580,data/raw/profil_kesehatan_kemenkes/
Banten,2020,Kasus Malaria Positif,6,data/raw/profil_kesehatan_kemenkes/
Banten,2021,Kasus Diare Dilayani,242094,data/raw/profil_kesehatan_kemenkes/
Banten,2021,Kasus ISPA/Pneumonia,23530,data/raw/profil_kesehatan_kemenkes/
Banten,2021,Kasus Kusta Baru,616,data/raw/profil_kesehatan_kemenkes/
Banten,2021,Kasus Malaria Positif,23,data/raw/profil_kesehatan_kemenkes/
Banten,2022,Kasus Diare Dilayani,217495,data/raw/profil_kesehatan_kemenkes/
Banten,2022,Kasus ISPA/Pneumonia,29540,data/raw/profil_kesehatan_kemenkes/
Banten,2022,Kasus Kusta Baru,212,data/raw/profil_kesehatan_kemenkes/
Banten,2022,Kasus Malaria Positif,83,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus Diare Dilayani,245029,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus ISPA/Pneumonia,33647,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus Kusta Baru,782,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus Malaria Positif,133,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Diare Dilayani,172447,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus ISPA/Pneumonia,35808,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Kusta Baru,791,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Malaria Positif,130,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Diare Dilayani,10653,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus ISPA/Pneumonia,1207,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Kusta Baru,21,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Malaria Positif,3971,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Diare Dilayani,26115,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus ISPA/Pneumonia,1039,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Kusta Baru,17,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Malaria Positif,3814,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Diare Dilayani,12017,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus ISPA/Pneumonia,530,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Kusta Baru,20,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Malaria Positif,2770,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus ISPA/Pneumonia,493,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus Kusta Baru,26,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus Malaria Positif,1031,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Diare Dilayani,21093,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus ISPA/Pneumonia,958,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Kusta Baru,25,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Malaria Positif,317,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Diare Dilayani,26966,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus ISPA/Pneumonia,550,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Kusta Baru,20,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Malaria Positif,82,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Diare Dilayani,19039,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus ISPA/Pneumonia,291,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Kusta Baru,14,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Malaria Positif,105,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Diare Dilayani,15832,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus ISPA/Pneumonia,330,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Kusta Baru,15,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Malaria Positif,2,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus Diare Dilayani,11843,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus ISPA/Pneumonia,425,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus Kusta Baru,8,data/raw/profil_kesehatan_kemenkes/
