nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
1,2003,Tumpang Tindih Taman Nasional Gunung Halimun Salak dengan Wilayah Adat Kasepuhan,"Melalui SK Menhut No. 282/Kpts-II/1992, kawasan yang sebelumnya merupakan cagar alam kemudian ditetapkan statusnya sebagai Taman Nasional yang pengelolaannya dilakukan oleh UPT Balai Taman Nasional dengan luas areal mencapai 40.000 ha yang tersebar di Kabupaten Lebak, Bogor dan Sukabumi. Perubahan status sebagai taman nasional tersebut ditengarai karena penjagaan fungsi lain seperti penelitian, ilmu pengetahuan, pendidikan, menunjang kegiatan budidaya, dan pariwisata. Lalu berdasarkan Surat Keputusan Menteri Kehutanan No. 175/Kpts-II/2003, kawasan TNGH diperluas menjadi 113.357 ha dengan nama Taman Nasional Gunung Halimun Salak (TNGHS) dengan konsekuensi wilayah kerja Perum Perhutani berkurang.",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/S2QwbDdDLWttVEk,2026-06-09T06:45:14.744781+07:00
2,2012,Masyarakat Semende Dikriminalisasi di Kawasan Taman Nasional,"TNBBS memiliki sejarah panjang konservasi Kolonial. Awalnya, sebelum TNBBS terbentuk di masa kolonial Belanda dengan nama Suaka Margasatwa Sumatera Selatan  yang ditetapkan oleh Gubernur Jenderal Hindia Belanda pada 1935 seluas 356.800 ha. Baru pada 1982, setelah Kongres taman nasional se-dunia ke III di Bali, Suaka Margasatwa Sumatera Selatan menjadi satu dari 11 lokasi yang ditetapkan sebagai Taman Nasional melalui Surat Pernyataan Menteri Pertanian No. 736/Mentan/X/1982 pada 14 Oktober 1982 seluas 365.000 ha (meluas 8.200 ha). 

Pasca-Orde Baru, TNBBS mengalami perluasan kawasan sebanyak dua kali, pada Juni 1999, wilayah Taman Nasional meluas ke arah wilayah Kabupaten Kaur (Bengkulu) seluas 64.711 ha melalui SK Menhut No. 489/Kpts-II/1999 dan pada Oktober 2015 ditetapkan kembali perluasan wilayah Taman Nasional mencakup tiga kabupaten (Tanggamus, Lampung Barat dan Pesisir Barat) di Lampung seluas 248.861 ha melalui SK Menhut No. SK.4703/Menlhk-PKTL/KUH/2015.",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/RzJuX0hXU2VlaDg,2026-06-09T06:45:14.744781+07:00
3,2016,Masyarakat Adat Rejang Kehilangan Hak atas Hutannya,"Hubungan MHA Rejang dengan hutan mengalami gejolak ketika pemerintah orde baru menetapkan hampir seluruh kawasan hutan masyarakat Rejang di Kabupaten Lebong sebagai kawasan TNKS. Surat Menteri Pertanian No.736/ Mentan/X/1982, tertanggal 14 Oktober 1982 menetapkan TNKS seluas 1.484.660 hektar yang di dalamnya merupakan gabungan dari 17 kelompok Hutan Lindung Register tahun 1921-1926 yang sebelumnya ditetapkan oleh pemerintah Hindia Belanda. Dalam perjalanannya, terdapat perubahan luas TNKS sehingga dilakukan pula pengukuran tata batas ulang melalui pemancangan pal batas dan rekonstruksi.",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/bzRwajlibEZmOFU,2026-06-09T06:45:14.744781+07:00
4,2025,Rezim konservasi laut mengepuh area tangkap nelayan kecil di Pemuteran,Perda No. 2 Tahun 2023 tentang Rencana Tata Ruang Wilayah Provinsi  Bali Tahun 2023-2024 menunjuk wilayah tangkap ikan nelayan Pemuteran menjadi areal konservasi,Taman Nasional,Kawasan Konservasi Laut,https://tanahkita.id/data/data/konflik/detil/ejY2ak5XTEUyQXM,2026-06-09T06:45:14.744781+07:00
5,2021,Konflik Tenurial di Kawasan Suaka Margasatwa Karang Gading,"Terjadi konflik tenurial antara dua Kelompok Tani Hutan di Suaka Margasatwa (SM) Karang Gading dan Langkat Timur Laut di Desa Paluh Kurau, Kecamatan Hamparan Perak, Kabupaten Deli Serdang",Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/cDd2RGZDcnoycTA,2026-06-09T06:45:14.744781+07:00
6,2025,Perambahan Hutan Lindung Siabu untuk Perkebunan Sawit,Polda Riau membongkar kasus perkebunan sawit ilegal di Hutan Lindung Siabu dan menetapkan tersangka kasus yang berkaitan.,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/V2xtYUNMbHVmQVU,2026-06-09T06:45:14.744781+07:00
7,2024,Penolakan Masyarakat Adat Dayak terhadap Penetapan Gunung Meratus menjadi Taman Nasional,Perubahan status kawasan Gunung Meratus menjadi Taman Nasional Meratus atau kawasan konservasi milik negara mendapat penolakan dari Masyarakat Adat Dayak Pegunungan Meratus.,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/REIzVzdVakl3Y0U,2026-06-09T06:45:14.744781+07:00
8,2025,Perkebunan Sawit Ilegal di Taman Nasional Tesso Nilo,Kawasan yang ditetapkan sebagai hutan lindung ditemukan oleh Satgas PKH sebagai kebun sawit ilegal,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/TnZWTk9qYmFObEE,2026-06-09T06:45:14.744781+07:00
9,2024,Tumpang Tindih Taman Nasional Manusela dan Hutan Adat Manusela,Penetapan Taman Nasional Manusela masuk ke wilayah adat Negeri Manusela yang telah mendiami wilayah tersebut jauh sebelum ini.,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/UW5Yb0swVXV5RVE,2026-06-09T06:45:14.744781+07:00
10,2025,Perambahan Kawasan Konservasi Hutan Taman Nasional Bukit Barisan,Kawasan yang ditetapkan sebagai wilayah konservasi ditemukan adanya penggunaan lahan pemukiman dan perkebunan,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/U2FJM09vM1AtTGM,2026-06-09T06:45:14.744781+07:00
11,2024,Penolakan Suku Awyu dan Suku Moi terhadap Izin Perkebunan Sawit di Hutan Adat Papua,"Suku Awyu dan Moi menolak ekspansi sawit yang mengancam hutan adat mereka sebagai sumber kehidupan, budaya, dan ekologi, sambil menggugat perusahaan dan menggalang dukungan publik.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/SUNLZV9OMkRVT1k,2026-06-09T06:45:16.025196+07:00
12,2024,Penolakan Masyarakat Tambrauw terhadap Penetapan Hutan Desa,"Masyarakat adat di Tambrauw, Papua Barat Daya, menolak penetapan hutan desa karena dinilai mengancam hak ulayat dan bertentangan dengan Perda Nomor 5 dan 6 Tahun 2018.",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/T0RZWDlYWjNiRG8,2026-06-09T06:45:16.025196+07:00
13,2024,Perubahan Status Cagar Alam Mutis menjadi Taman Nasional Mutis Timau,Perubahan Status Cagar Alam Mutis menjadi Taman Nasional Mutis tanpa dialog terhadap masyarakat adat setempat mengakibatkan penolakan penetapan ini,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/blpGMkU5YjM2aFE,2026-06-09T06:45:16.025196+07:00
