Tahun,Wilayah,Sektor,Timbulan Limbah B3 (Ton),Sumber Data
2020,Indonesia (Nasional),Manufaktur,15868574,BPS SLHI 2025
2020,Indonesia (Nasional),Agroindustri,2901881,BPS SLHI 2025
2020,Indonesia (Nasional),"Pertambangan, Energi, dan Migas",310657793,BPS SLHI 2025
2020,Indonesia (Nasional),Prasarana,203520,BPS SLHI 2025
2020,Indonesia (Nasional),Jasa,8072500,BPS SLHI 2025
2020,Indonesia (Nasional),Fasilitas Pelayanan Kesehatan,396979,BPS SLHI 2025
2021,Indonesia (Nasional),Manufaktur,21266539,BPS SLHI 2025
2021,Indonesia (Nasional),Agroindustri,3654645,BPS SLHI 2025
2021,Indonesia (Nasional),"Pertambangan, Energi, dan Migas",54093048,BPS SLHI 2025
2021,Indonesia (Nasional),Prasarana,245259,BPS SLHI 2025
2021,Indonesia (Nasional),Jasa,5851762,BPS SLHI 2025
2021,Indonesia (Nasional),Fasilitas Pelayanan Kesehatan,107826,BPS SLHI 2025
2022,Indonesia (Nasional),Manufaktur,38663883,BPS SLHI 2025
2022,Indonesia (Nasional),Agroindustri,3498959,BPS SLHI 2025
2022,Indonesia (Nasional),"Pertambangan, Energi, dan Migas",60133158,BPS SLHI 2025
2022,Indonesia (Nasional),Prasarana,260430,BPS SLHI 2025
2022,Indonesia (Nasional),Jasa,5732465,BPS SLHI 2025
2022,Indonesia (Nasional),Fasilitas Pelayanan Kesehatan,726817,BPS SLHI 2025
2023,Indonesia (Nasional),Manufaktur,14751640,BPS SLHI 2025
2023,Indonesia (Nasional),Agroindustri,3008362,BPS SLHI 2025
2023,Indonesia (Nasional),"Pertambangan, Energi, dan Migas",58525950,BPS SLHI 2025
2023,Indonesia (Nasional),Prasarana,376416,BPS SLHI 2025
2023,Indonesia (Nasional),Jasa,4738330,BPS SLHI 2025
2023,Indonesia (Nasional),Fasilitas Pelayanan Kesehatan,573896,BPS SLHI 2025
2024,Indonesia (Nasional),Manufaktur,17576073,BPS SLHI 2025
2024,Indonesia (Nasional),Agroindustri,3757321,BPS SLHI 2025
2024,Indonesia (Nasional),"Pertambangan, Energi, dan Migas",81894584,BPS SLHI 2025
2024,Indonesia (Nasional),Prasarana,152740,BPS SLHI 2025
2024,Indonesia (Nasional),Jasa,583200,BPS SLHI 2025
2024,Indonesia (Nasional),Fasilitas Pelayanan Kesehatan,456579,BPS SLHI 2025
