umd_tree_cover_loss__year,is__umd_regional_primary_forest_2001,area__ha,province,year
2001,false,3385.48053,Sulawesi Utara,2001.0
2001,true,755.09888,Sulawesi Utara,2001.0
2002,false,3984.4257900000002,Sulawesi Utara,2002.0
2002,true,3126.51062,Sulawesi Utara,2002.0
2003,false,833.0904,Sulawesi Utara,2003.0
2003,true,1784.54511,Sulawesi Utara,2003.0
2004,false,3153.2857400000003,Sulawesi Utara,2004.0
2004,true,3355.93876,Sulawesi Utara,2004.0
2005,false,1495.82871,Sulawesi Utara,2005.0
2005,true,1721.29139,Sulawesi Utara,2005.0
2006,false,2570.68178,Sulawesi Utara,2006.0
2006,true,2017.7499500000001,Sulawesi Utara,2006.0
2007,false,2280.19812,Sulawesi Utara,2007.0
2007,true,1776.9032699999998,Sulawesi Utara,2007.0
2008,false,929.7723,Sulawesi Utara,2008.0
2008,true,601.16796,Sulawesi Utara,2008.0
2009,false,4607.80789,Sulawesi Utara,2009.0
2009,true,2017.23084,Sulawesi Utara,2009.0
2010,false,1298.67408,Sulawesi Utara,2010.0
2010,true,705.51293,Sulawesi Utara,2010.0
2011,false,2015.43237,Sulawesi Utara,2011.0
2011,true,934.36501,Sulawesi Utara,2011.0
2012,false,1818.5034899999998,Sulawesi Utara,2012.0
2012,true,664.98568,Sulawesi Utara,2012.0
2013,false,1079.0408499999999,Sulawesi Utara,2013.0
2013,true,653.91098,Sulawesi Utara,2013.0
2014,false,4789.60392,Sulawesi Utara,2014.0
2014,true,2178.71734,Sulawesi Utara,2014.0
2015,false,7290.97823,Sulawesi Utara,2015.0
2015,true,7277.21502,Sulawesi Utara,2015.0
2016,false,4451.8632,Sulawesi Utara,2016.0
2016,true,4283.2841499999995,Sulawesi Utara,2016.0
2017,false,3543.81412,Sulawesi Utara,2017.0
2017,true,2114.39701,Sulawesi Utara,2017.0
2018,false,5450.06665,Sulawesi Utara,2018.0
2018,true,1895.05568,Sulawesi Utara,2018.0
2019,false,7397.326440000001,Sulawesi Utara,2019.0
2019,true,1486.4252900000001,Sulawesi Utara,2019.0
2020,false,1936.99265,Sulawesi Utara,2020.0
2020,true,919.62049,Sulawesi Utara,2020.0
2021,false,2175.99169,Sulawesi Utara,2021.0
2021,true,536.44803,Sulawesi Utara,2021.0
2022,false,2145.17519,Sulawesi Utara,2022.0
2022,true,503.49289,Sulawesi Utara,2022.0
2023,false,5800.83335,Sulawesi Utara,2023.0
2023,true,542.43606,Sulawesi Utara,2023.0
2024,false,2971.0254800000002,Sulawesi Utara,2024.0
2024,true,755.3703,Sulawesi Utara,2024.0
2025,false,2376.11053,Sulawesi Utara,2025.0
2025,true,531.47258,Sulawesi Utara,2025.0
null,false,21724068.03354,Sulawesi Utara,
null,true,519312.2835,Sulawesi Utara,
2001,false,22194.12956,Sulawesi Tengah,2001.0
2001,true,6661.10596,Sulawesi Tengah,2001.0
2002,false,28448.67902,Sulawesi Tengah,2002.0
2002,true,27539.39083,Sulawesi Tengah,2002.0
2003,false,11274.90687,Sulawesi Tengah,2003.0
2003,true,18722.99944,Sulawesi Tengah,2003.0
2004,false,33931.555380000005,Sulawesi Tengah,2004.0
2004,true,36681.27129,Sulawesi Tengah,2004.0
2005,false,13504.1468,Sulawesi Tengah,2005.0
2005,true,18165.73735,Sulawesi Tengah,2005.0
2006,false,25426.293700000002,Sulawesi Tengah,2006.0
2006,true,25418.26881,Sulawesi Tengah,2006.0
2007,false,17126.46312,Sulawesi Tengah,2007.0
2007,true,17083.26765,Sulawesi Tengah,2007.0
2008,false,12782.388289999999,Sulawesi Tengah,2008.0
2008,true,12721.57893,Sulawesi Tengah,2008.0
2009,false,51339.75204,Sulawesi Tengah,2009.0
2009,true,36129.7303,Sulawesi Tengah,2009.0
2010,false,17839.94999,Sulawesi Tengah,2010.0
2010,true,15900.00096,Sulawesi Tengah,2010.0
2011,false,24420.14577,Sulawesi Tengah,2011.0
2011,true,18394.23612,Sulawesi Tengah,2011.0
2012,false,28034.08814,Sulawesi Tengah,2012.0
2012,true,31516.778150000002,Sulawesi Tengah,2012.0
2013,false,23637.20543,Sulawesi Tengah,2013.0
2013,true,25280.17651,Sulawesi Tengah,2013.0
2014,false,49565.93261,Sulawesi Tengah,2014.0
2014,true,38133.37111,Sulawesi Tengah,2014.0
2015,false,70096.35722,Sulawesi Tengah,2015.0
2015,true,84072.26109,Sulawesi Tengah,2015.0
2016,false,53293.49989,Sulawesi Tengah,2016.0
2016,true,74706.39368000001,Sulawesi Tengah,2016.0
2017,false,44651.38315,Sulawesi Tengah,2017.0
2017,true,27343.75044,Sulawesi Tengah,2017.0
2018,false,45625.58842,Sulawesi Tengah,2018.0
2018,true,25708.9253,Sulawesi Tengah,2018.0
2019,false,62047.142250000004,Sulawesi Tengah,2019.0
2019,true,30638.14837,Sulawesi Tengah,2019.0
2020,false,29136.327980000002,Sulawesi Tengah,2020.0
2020,true,17787.97793,Sulawesi Tengah,2020.0
2021,false,22561.2715,Sulawesi Tengah,2021.0
2021,true,14246.33614,Sulawesi Tengah,2021.0
