Provinsi,Kabupaten,Tahun,Persentase_Air_Layak,is_smelter
Gorontalo,Boalemo,2018,42.86,False
Gorontalo,Boalemo,2019,90.08,False
Gorontalo,Boalemo,2020,94.85,False
Gorontalo,Boalemo,2021,94.21,False
Gorontalo,Boalemo,2022,95.14,False
Gorontalo,Boalemo,2023,95.41,False
Gorontalo,Bone Bolango,2018,34.66,False
Gorontalo,Bone Bolango,2019,95.24,False
Gorontalo,Bone Bolango,2020,96.73,False
Gorontalo,Bone Bolango,2021,93.72,False
Gorontalo,Bone Bolango,2022,94.87,False
Gorontalo,Bone Bolango,2023,98.5,False
Gorontalo,Gorontalo Utara,2018,33.22,False
Gorontalo,Gorontalo Utara,2019,84.73,False
Gorontalo,Gorontalo Utara,2020,87.55,False
Gorontalo,Gorontalo Utara,2021,86.23,False
Gorontalo,Gorontalo Utara,2022,89.47,False
Gorontalo,Gorontalo Utara,2023,90.14,False
Gorontalo,Kota Gorontalo,2018,24.33,False
Gorontalo,Kota Gorontalo,2019,98.98,False
Gorontalo,Kota Gorontalo,2020,97.43,False
Gorontalo,Kota Gorontalo,2021,99.62,False
Gorontalo,Kota Gorontalo,2022,100.0,False
Gorontalo,Kota Gorontalo,2023,99.86,False
Gorontalo,Pohuwato,2018,23.28,False
Gorontalo,Pohuwato,2019,88.81,False
Gorontalo,Pohuwato,2020,87.21,False
Gorontalo,Pohuwato,2021,93.13,False
Gorontalo,Pohuwato,2022,95.93,False
Gorontalo,Pohuwato,2023,96.05,False
Sulawesi Barat,Majene,2018,38.3,False
Sulawesi Barat,Majene,2019,49.26,False
Sulawesi Barat,Majene,2020,77.78,False
Sulawesi Barat,Majene,2021,94.96,False
Sulawesi Barat,Majene,2022,94.59,False
Sulawesi Barat,Majene,2023,96.5,False
Sulawesi Barat,Mamasa,2018,21.86,False
Sulawesi Barat,Mamasa,2019,18.74,False
Sulawesi Barat,Mamasa,2020,58.74,False
Sulawesi Barat,Mamasa,2021,32.42,False
Sulawesi Barat,Mamasa,2022,35.07,False
Sulawesi Barat,Mamasa,2023,31.47,False
Sulawesi Barat,Mamuju,2018,42.31,False
Sulawesi Barat,Mamuju,2019,41.79,False
Sulawesi Barat,Mamuju,2020,72.66,False
Sulawesi Barat,Mamuju,2021,81.06,False
Sulawesi Barat,Mamuju,2022,82.14,False
Sulawesi Barat,Mamuju,2023,85.87,False
Sulawesi Barat,Mamuju Tengah,2018,29.82,False
Sulawesi Barat,Mamuju Tengah,2019,39.14,False
Sulawesi Barat,Mamuju Tengah,2020,72.64,False
