Scientific Name,Common Name,Status,Population Trend,Mining Threat,Province
Babyrousa celebensis,Sulawesi Babirusa,Vulnerable,Decreasing,Yes,Gorontalo
Babyrousa celebensis,Sulawesi Babirusa,Vulnerable,Decreasing,Yes,Sulawesi Tengah
Babyrousa celebensis,Sulawesi Babirusa,Vulnerable,Decreasing,Yes,Sulawesi Tenggara
Babyrousa celebensis,Sulawesi Babirusa,Vulnerable,Decreasing,Yes,Sulawesi Utara
Babyrousa babyrussa,Hairy Babirusa,Vulnerable,Decreasing,No,Sulawesi Selatan
Babyrousa babyrussa,Hairy Babirusa,Vulnerable,Decreasing,No,Sulawesi Tengah
Babyrousa babyrussa,Hairy Babirusa,Vulnerable,Decreasing,No,Sulawesi Utara
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,Gorontalo
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,Sulawesi Selatan
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,Sulawesi Tengah
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,Sulawesi Tenggara
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,Sulawesi Utara
Bubalus quarlesi,Mountain Anoa,Endangered,Decreasing,Yes,Sulawesi Barat
Bubalus quarlesi,Mountain Anoa,Endangered,Decreasing,Yes,Sulawesi Selatan
Bubalus quarlesi,Mountain Anoa,Endangered,Decreasing,Yes,Sulawesi Tengah
Macaca nigra,Celebes Crested Macaque,Critically Endangered,Decreasing,Yes,Sulawesi Utara
Macrocephalon maleo,Maleo,Critically Endangered,Decreasing,No,Gorontalo
Macrocephalon maleo,Maleo,Critically Endangered,Decreasing,No,Sulawesi Tengah
Macrocephalon maleo,Maleo,Critically Endangered,Decreasing,No,Sulawesi Tenggara
Macrocephalon maleo,Maleo,Critically Endangered,Decreasing,No,Sulawesi Utara
Tarsius tarsier,Spectral Tarsier,Vulnerable,Decreasing,No,Sulawesi Selatan
Tarsius tarsier,Spectral Tarsier,Vulnerable,Decreasing,No,Sulawesi Tengah
Tarsius tarsier,Spectral Tarsier,Vulnerable,Decreasing,No,Sulawesi Utara
