provinsi,kabupaten,tahun,jumlah_penduduk_rb,kepadatan_per_km2,laju_pertumbuhan_sumber_pct,laju_pertumbuhan_yoy_pct,anomali_pertumbuhan_flag,is_smelter,iup_kumulatif,pct_miskin,dbd_kasus,dbd_meninggal,pmdn_nilai_juta_rp
Gorontalo,Boalemo,2018,,94.0,2.83,,False,False,1.0,20.33,0,0,2666.8
Gorontalo,Boalemo,2019,,110.0,2.74,,False,False,1.0,18.87,176,0,844.4
Gorontalo,Boalemo,2020,,96.0,1.18,,False,False,1.0,18.57,163,0,683.6
Gorontalo,Boalemo,2021,,97.0,1.07,,False,False,2.0,19.0,41,0,1004.3
Gorontalo,Boalemo,2022,148.5,81.0,1.04,,False,False,3.0,18.74,120,2,1113.5
Gorontalo,Boalemo,2023,151.3,83.0,1.23,1.89,False,False,4.0,18.38,152,0,3960.1
Gorontalo,Boalemo,2024,153.3,84.0,1.25,1.32,False,False,7.0,17.83,435,0,
Gorontalo,Bone Bolango,2018,159.2,84.0,1.39,12.19,False,False,1.0,17.4,0,0,2666.8
Gorontalo,Bone Bolango,2019,161.236,81.0,1.28,1.28,False,False,1.0,16.12,225,3,844.4
Gorontalo,Bone Bolango,2020,162.8,82.0,1.34,0.97,False,False,1.0,15.81,180,0,683.6
Gorontalo,Bone Bolango,2021,164.3,83.0,1.23,0.92,False,False,2.0,16.3,144,4,1004.3
Gorontalo,Bone Bolango,2022,166.2,88.0,1.2,1.16,False,False,3.0,16.05,89,2,1113.5
Gorontalo,Bone Bolango,2023,168.6,89.0,1.17,1.44,False,False,4.0,15.51,142,0,3960.1
Gorontalo,Bone Bolango,2024,170.7,90.0,1.19,1.25,False,False,7.0,14.8,664,8,
Gorontalo,Gorontalo Utara,2018,114.0,53.0,1.08,9.51,False,False,1.0,18.54,0,0,2666.8
Gorontalo,Gorontalo Utara,2019,115.072,69.0,0.91,0.94,False,False,1.0,16.95,0,0,844.4
Gorontalo,Gorontalo Utara,2020,125.0,75.0,1.78,8.63,False,False,1.0,16.88,0,0,683.6
Gorontalo,Gorontalo Utara,2021,126.5,75.0,1.67,1.2,False,False,2.0,17.23,0,0,1004.3
Gorontalo,Gorontalo Utara,2022,128.6,75.0,1.64,1.66,False,False,3.0,17.24,0,0,1113.5
Gorontalo,Gorontalo Utara,2023,130.7,77.0,1.51,1.63,False,False,4.0,17.03,0,0,3960.1
Gorontalo,Gorontalo Utara,2024,132.8,78.0,1.53,1.61,False,False,7.0,16.86,0,0,
Gorontalo,Kota Gorontalo,2018,,3261.0,2.18,,False,False,1.0,5.57,0,0,2666.8
Gorontalo,Kota Gorontalo,2019,,2757.0,2.01,,False,False,1.0,5.45,0,0,844.4
Gorontalo,Kota Gorontalo,2020,,2495.0,0.95,,False,False,1.0,5.59,0,0,683.6
Gorontalo,Kota Gorontalo,2021,,2510.0,0.84,,False,False,2.0,5.93,0,0,1004.3
Gorontalo,Kota Gorontalo,2022,201.4,2839.0,0.81,,False,False,3.0,5.73,0,0,1113.5
Gorontalo,Kota Gorontalo,2023,205.4,2896.0,1.14,1.99,False,False,4.0,5.64,0,0,3960.1
Gorontalo,Kota Gorontalo,2024,207.8,2930.0,1.15,1.17,False,False,7.0,5.74,0,0,
Gorontalo,Pohuwato,2018,,35.0,2.48,,False,False,1.0,19.4,0,0,2666.8
Gorontalo,Pohuwato,2019,,38.0,2.43,,False,False,1.0,18.16,309,6,844.4
Gorontalo,Pohuwato,2020,,35.0,1.25,,False,False,1.0,17.62,87,0,683.6
Gorontalo,Pohuwato,2021,,35.0,1.15,,False,False,2.0,18.08,136,0,1004.3
Gorontalo,Pohuwato,2022,149.3,34.0,1.11,,False,False,3.0,17.87,169,15,1113.5
Gorontalo,Pohuwato,2023,151.9,35.0,1.22,1.74,False,False,4.0,17.64,155,0,3960.1
Gorontalo,Pohuwato,2024,153.8,35.0,1.23,1.25,False,False,7.0,17.11,391,0,
Sulawesi Barat,Majene,2017,169.1,178.0,1.6,11.91,False,False,0.0,13.94,0,0,660.2
Sulawesi Barat,Majene,2018,171.3,181.0,1.3,1.3,False,False,0.0,13.79,0,0,3144.2
Sulawesi Barat,Majene,2019,173.9,183.0,1.56,1.52,False,False,0.0,13.72,0,0,1187.2
Sulawesi Barat,Majene,2020,174.4,184.0,1.4,0.29,False,False,0.0,13.73,0,0,252.9
Sulawesi Barat,Majene,2021,175.8,185.0,0.79,0.8,False,False,2.0,14.34,0,0,395.3
Sulawesi Barat,Majene,2022,177.4,197.0,0.97,0.91,False,False,5.0,15.13,0,0,1313.3
Sulawesi Barat,Majene,2023,181.4,201.0,1.42,2.25,False,False,11.0,14.54,0,0,2011.1
Sulawesi Barat,Majene,2024,183.9,204.0,1.41,1.38,False,False,27.0,13.64,0,0,
Sulawesi Barat,Mamasa,2017,157.0,54.0,1.62,12.06,False,False,0.0,13.51,0,0,660.2
Sulawesi Barat,Mamasa,2018,159.2,53.0,1.42,1.4,False,False,0.0,13.38,0,0,3144.2
Sulawesi Barat,Mamasa,2019,162.0,54.0,1.61,1.76,False,False,0.0,13.42,0,0,1187.2
Sulawesi Barat,Mamasa,2020,163.4,56.0,1.5,0.86,False,False,0.0,13.38,0,0,252.9
Sulawesi Barat,Mamasa,2021,164.8,55.0,0.87,0.86,False,False,2.0,13.77,0,0,395.3
Sulawesi Barat,Mamasa,2022,166.5,55.0,1.08,1.03,False,False,5.0,14.51,0,0,1313.3
Sulawesi Barat,Mamasa,2023,170.4,56.0,1.53,2.34,False,False,11.0,14.31,0,0,2011.1
Sulawesi Barat,Mamasa,2024,172.9,57.0,1.52,1.47,False,False,27.0,14.2,0,0,
Sulawesi Barat,Mamuju,2017,,56.0,2.7,,False,False,0.0,6.88,0,0,660.2
Sulawesi Barat,Mamuju,2018,,57.0,2.5,,False,False,0.0,7.18,0,0,3144.2
Sulawesi Barat,Mamuju,2019,,59.0,2.65,,False,False,0.0,7.06,0,0,1187.2
Sulawesi Barat,Mamuju,2020,,56.0,1.82,,False,False,0.0,6.92,0,0,252.9
Sulawesi Barat,Mamuju,2021,,56.0,1.11,,False,False,2.0,7.46,0,0,395.3
Sulawesi Barat,Mamuju,2022,285.6,58.0,1.4,,False,False,5.0,7.63,0,0,1313.3
Sulawesi Barat,Mamuju,2023,292.4,59.0,1.69,2.38,False,False,11.0,7.57,0,0,2011.1
Sulawesi Barat,Mamuju,2024,297.1,60.0,1.67,1.61,False,False,27.0,7.15,0,0,
Sulawesi Barat,Mamuju Tengah,2017,,42.0,2.7,,False,False,0.0,6.95,0,0,660.2
Sulawesi Barat,Mamuju Tengah,2018,,43.0,2.53,,False,False,0.0,7.14,0,0,3144.2
Sulawesi Barat,Mamuju Tengah,2019,,44.0,2.65,,False,False,0.0,6.87,0,0,1187.2
Sulawesi Barat,Mamuju Tengah,2020,,45.0,2.42,,False,False,0.0,6.79,0,0,252.9
Sulawesi Barat,Mamuju Tengah,2021,,46.0,1.55,,False,False,2.0,7.13,0,0,395.3
Sulawesi Barat,Mamuju Tengah,2022,140.0,51.0,1.99,,False,False,5.0,7.17,0,0,1313.3
Sulawesi Barat,Mamuju Tengah,2023,142.5,52.0,1.92,1.79,False,False,11.0,7.32,0,0,2011.1
Sulawesi Barat,Mamuju Tengah,2024,145.1,53.0,1.91,1.82,False,False,27.0,7.72,0,0,
Sulawesi Barat,Pasangkayu,2017,,54.0,2.96,,False,False,0.0,,0,0,660.2
Sulawesi Barat,Pasangkayu,2018,,56.0,3.01,,False,False,0.0,,0,0,3144.2
Sulawesi Barat,Pasangkayu,2019,,57.0,2.92,,False,False,0.0,,0,0,1187.2
Sulawesi Barat,Pasangkayu,2020,,62.0,3.35,,False,False,0.0,,0,0,252.9
Sulawesi Barat,Pasangkayu,2021,,63.0,2.24,,False,False,2.0,,0,0,395.3
Sulawesi Barat,Pasangkayu,2022,198.6,68.0,2.92,,False,False,5.0,,0,0,1313.3
Sulawesi Barat,Pasangkayu,2023,199.1,69.0,1.95,0.25,False,False,11.0,,0,0,2011.1
Sulawesi Barat,Pasangkayu,2024,202.9,70.0,1.93,1.91,False,False,27.0,,0,0,
Sulawesi Barat,Polewali Mandar,2017,432.7,214.0,1.25,9.24,False,False,0.0,16.05,0,0,660.2
Sulawesi Barat,Polewali Mandar,2018,437.7,246.0,1.15,1.16,False,False,0.0,15.97,0,0,3144.2
Sulawesi Barat,Polewali Mandar,2019,442.6,249.0,1.23,1.12,False,False,0.0,15.6,0,0,1187.2
Sulawesi Barat,Polewali Mandar,2020,478.5,237.0,1.85,8.11,True,False,0.0,15.26,0,0,252.9
Sulawesi Barat,Polewali Mandar,2021,483.9,273.0,1.13,1.13,False,False,2.0,15.68,0,0,395.3
Sulawesi Barat,Polewali Mandar,2022,490.5,236.0,1.42,1.36,False,False,5.0,16.39,0,0,1313.3
Sulawesi Barat,Polewali Mandar,2023,495.4,239.0,1.24,1.0,False,False,11.0,16.08,0,0,2011.1
Sulawesi Barat,Polewali Mandar,2024,501.3,242.0,1.23,1.19,False,False,27.0,15.66,0,0,
Sulawesi Selatan,Bantaeng,2016,184.5,2.0,93.15,4.06,False,False,1.0,9.51,787,0,3334.6
Sulawesi Selatan,Bantaeng,2017,185.6,469.0,0.6,0.6,False,False,6.0,9.66,61,64,1969.4
Sulawesi Selatan,Bantaeng,2018,186.612,471.0,0.56,0.55,False,False,11.0,9.23,197,0,3275.9
Sulawesi Selatan,Bantaeng,2019,187.6,474.0,0.63,0.53,False,False,14.0,9.03,0,0,5672.6
Sulawesi Selatan,Bantaeng,2020,196.7,497.0,1.04,4.85,False,False,14.0,8.95,0,0,9142.0
Sulawesi Selatan,Bantaeng,2021,197.9,500.0,0.45,0.61,False,False,22.0,9.41,0,0,12075.4
Sulawesi Selatan,Bantaeng,2023,203.1,520.0,1.18,2.63,False,False,51.0,9.18,0,0,11468.3
Sulawesi Selatan,Bantaeng,2024,205.4,525.0,1.16,1.13,False,False,105.0,8.26,0,0,
Sulawesi Selatan,Barru,2016,171.9,2.0,92.53,3.24,False,False,1.0,9.45,22,0,3334.6
Sulawesi Selatan,Barru,2017,172.8,147.0,0.45,0.52,False,False,6.0,9.71,3,0,1969.4
Sulawesi Selatan,Barru,2018,173.623,148.0,0.5,0.48,False,False,11.0,9.04,18,0,3275.9
Sulawesi Selatan,Barru,2019,174.3,148.0,0.51,0.39,False,False,14.0,8.57,0,0,5672.6
Sulawesi Selatan,Barru,2020,184.5,157.0,1.03,5.85,False,False,14.0,8.26,0,0,9142.0
Sulawesi Selatan,Barru,2021,185.5,158.0,0.44,0.54,False,False,22.0,8.68,0,0,12075.4
Sulawesi Selatan,Barru,2023,188.0,156.0,0.69,1.35,False,False,51.0,8.46,0,0,11468.3
Sulawesi Selatan,Barru,2024,189.2,157.0,0.68,0.64,False,False,105.0,8.31,0,0,
Sulawesi Selatan,Bone,2016,747.0,9.0,91.39,3.75,False,False,1.0,10.07,3,0,3334.6
Sulawesi Selatan,Bone,2017,751.0,165.0,0.54,0.54,False,False,6.0,10.28,2,1,1969.4
Sulawesi Selatan,Bone,2018,754.894,166.0,0.52,0.52,False,False,11.0,10.55,64,2,3275.9
Sulawesi Selatan,Bone,2019,758.6,166.0,0.58,0.49,False,False,14.0,10.06,0,0,5672.6
Sulawesi Selatan,Bone,2020,801.8,176.0,1.08,5.69,False,False,14.0,10.68,0,0,9142.0
Sulawesi Selatan,Bone,2021,806.8,177.0,0.47,0.62,False,False,22.0,10.52,0,0,12075.4
Sulawesi Selatan,Bone,2023,823.1,180.0,0.96,2.02,False,False,51.0,10.53,0,0,11468.3
Sulawesi Selatan,Bone,2024,830.1,182.0,0.93,0.85,False,False,105.0,9.58,0,0,
Sulawesi Selatan,Bulukumba,2016,413.2,5.0,89.55,4.4,False,False,1.0,8.06,20,0,3334.6
Sulawesi Selatan,Bulukumba,2017,415.7,360.0,0.63,0.61,False,False,6.0,7.97,4,0,1969.4
Sulawesi Selatan,Bulukumba,2018,418.326,362.0,0.63,0.63,False,False,11.0,7.48,110,0,3275.9
Sulawesi Selatan,Bulukumba,2019,420.6,364.0,0.68,0.54,False,False,14.0,7.26,0,0,5672.6
Sulawesi Selatan,Bulukumba,2020,437.6,379.0,1.01,4.04,False,False,14.0,7.1,0,0,9142.0
Sulawesi Selatan,Bulukumba,2021,440.1,343.0,0.43,0.57,False,False,22.0,7.43,0,0,12075.4
Sulawesi Selatan,Bulukumba,2023,450.3,383.0,1.05,2.32,False,False,51.0,7.22,0,0,11468.3
Sulawesi Selatan,Bulukumba,2024,454.7,387.0,1.03,0.98,False,False,105.0,6.71,0,0,
Sulawesi Selatan,Enrekang,2016,201.6,2.0,100.78,5.61,False,False,1.0,13.41,35,0,3334.6
Sulawesi Selatan,Enrekang,2017,203.3,114.0,0.83,0.84,False,False,6.0,13.16,32,0,1969.4
Sulawesi Selatan,Enrekang,2018,204.827,115.0,0.74,0.75,False,False,11.0,12.49,81,0,3275.9
Sulawesi Selatan,Enrekang,2019,206.4,116.0,0.87,0.77,False,False,14.0,12.33,0,0,5672.6
Sulawesi Selatan,Enrekang,2020,225.2,126.0,1.64,9.11,True,False,14.0,12.17,0,0,9142.0
Sulawesi Selatan,Enrekang,2021,227.5,127.0,0.78,1.02,False,False,22.0,12.47,0,0,12075.4
Sulawesi Selatan,Enrekang,2023,234.6,130.0,1.5,3.12,False,False,51.0,12.69,0,0,11468.3
Sulawesi Selatan,Enrekang,2024,238.1,132.0,1.5,1.49,False,False,105.0,11.25,0,0,
Sulawesi Selatan,Gowa,2016,735.5,9.0,96.82,12.29,True,False,1.0,8.4,628,0,3334.6
Sulawesi Selatan,Gowa,2017,748.2,397.0,1.75,1.73,True,False,6.0,8.42,5,0,1969.4
Sulawesi Selatan,Gowa,2018,760.607,404.0,1.66,1.66,True,False,11.0,7.83,147,0,3275.9
Sulawesi Selatan,Gowa,2019,772.7,410.0,1.85,1.59,True,False,14.0,7.53,0,0,5672.6
Sulawesi Selatan,Gowa,2020,765.8,407.0,1.56,-0.89,False,False,14.0,7.38,0,0,9142.0
Sulawesi Selatan,Gowa,2021,773.3,411.0,0.73,0.98,False,False,22.0,7.54,0,0,12075.4
Sulawesi Selatan,Gowa,2023,801.1,442.0,1.65,3.59,False,False,51.0,7.42,0,0,11468.3
Sulawesi Selatan,Gowa,2024,814.0,449.0,1.64,1.61,False,False,105.0,6.85,0,0,
Sulawesi Selatan,Jeneponto,2016,357.8,4.0,93.5,4.07,False,False,1.0,15.49,6,0,3334.6
Sulawesi Selatan,Jeneponto,2017,359.8,398.0,0.59,0.56,False,False,6.0,15.4,1,0,1969.4
Sulawesi Selatan,Jeneponto,2018,361.793,401.0,0.56,0.55,False,False,11.0,15.48,84,0,3275.9
Sulawesi Selatan,Jeneponto,2019,363.8,403.0,0.63,0.55,False,False,14.0,14.88,0,0,5672.6
Sulawesi Selatan,Jeneponto,2020,401.6,445.0,1.55,10.39,True,False,14.0,14.58,0,0,9142.0
Sulawesi Selatan,Jeneponto,2021,405.5,574.0,0.73,0.97,False,False,22.0,14.28,0,0,12075.4
Sulawesi Selatan,Jeneponto,2023,414.5,521.0,1.15,2.22,False,False,51.0,13.06,0,0,11468.3
Sulawesi Selatan,Jeneponto,2024,419.0,526.0,1.13,1.09,False,False,105.0,11.82,0,0,
Sulawesi Selatan,Kepulauan Selayar,2016,131.6,2.0,92.65,7.52,False,False,1.0,13.11,0,0,3334.6
Sulawesi Selatan,Kepulauan Selayar,2017,133.0,147.0,1.07,1.06,False,False,6.0,13.28,0,0,1969.4
Sulawesi Selatan,Kepulauan Selayar,2018,134.28,149.0,0.96,0.96,False,False,11.0,13.13,0,0,3275.9
Sulawesi Selatan,Kepulauan Selayar,2019,135.6,150.0,1.15,0.98,False,False,14.0,12.83,0,0,5672.6
Sulawesi Selatan,Kepulauan Selayar,2020,137.1,152.0,1.13,1.11,False,False,14.0,12.48,0,0,9142.0
Sulawesi Selatan,Kepulauan Selayar,2021,138.0,102.0,0.49,0.66,False,False,22.0,12.45,0,0,12075.4
Sulawesi Selatan,Kepulauan Selayar,2023,141.2,122.0,1.08,2.32,False,False,51.0,12.27,0,0,11468.3
Sulawesi Selatan,Kepulauan Selayar,2024,142.7,123.0,1.08,1.06,False,False,105.0,10.79,0,0,
Sulawesi Selatan,Kota Makassar,2016,1469.6,17.0,97.98,9.44,False,False,1.0,4.56,0,0,3334.6
Sulawesi Selatan,Kota Makassar,2017,1489.0,8471.0,1.36,1.32,False,False,6.0,4.59,0,0,1969.4
Sulawesi Selatan,Kota Makassar,2019,1526.7,8686.0,1.44,2.53,True,False,14.0,4.28,0,0,5672.6
Sulawesi Selatan,Kota Makassar,2020,1423.9,8101.0,0.6,-6.73,False,False,14.0,4.54,0,0,9142.0
Sulawesi Selatan,Kota Makassar,2021,1427.6,7161.0,0.2,0.26,False,False,22.0,4.82,0,0,12075.4
Sulawesi Selatan,Kota Makassar,2023,1455.0,8227.0,0.79,1.92,False,False,51.0,5.07,0,0,11468.3
Sulawesi Selatan,Kota Makassar,2024,1464.6,8282.0,0.76,0.66,False,False,105.0,4.97,0,0,
Sulawesi Selatan,Kota Palopo,2016,,2.0,94.89,,False,False,1.0,8.74,0,0,3334.6
Sulawesi Selatan,Kota Palopo,2017,,715.0,2.34,,False,False,6.0,8.78,0,0,1969.4
Sulawesi Selatan,Kota Palopo,2018,,1447.0,1.14,,False,False,11.0,7.94,0,0,3275.9
Sulawesi Selatan,Kota Palopo,2019,,746.0,2.46,,False,False,14.0,7.82,0,0,5672.6
Sulawesi Selatan,Kota Palopo,2020,,746.0,2.17,,False,False,14.0,7.85,0,0,9142.0
Sulawesi Selatan,Kota Palopo,2021,,740.0,1.07,,False,False,22.0,8.14,0,0,12075.4
Sulawesi Selatan,Kota Palopo,2023,192.8,705.0,1.57,,False,False,51.0,7.69,0,0,11468.3
Sulawesi Selatan,Kota Palopo,2024,195.7,716.0,1.55,1.5,False,False,105.0,7.35,0,0,
Sulawesi Selatan,Kota Parepare,2016,140.4,2.0,96.67,8.25,False,False,1.0,5.73,0,0,3334.6
Sulawesi Selatan,Kota Parepare,2017,142.1,1431.0,1.22,1.21,False,False,6.0,5.7,0,0,1969.4
Sulawesi Selatan,Kota Parepare,2018,143.65,8580.0,1.29,1.09,False,False,11.0,5.59,0,0,3275.9
