kode_hs,deskripsi,tahun,negara_tujuan,pelabuhan,nilai_usd,Sumber
3023200,Yellowfin tunas (thunnus albacares) fresh or chilled,2024,TOTAL,SEMUA,51148.0,data/raw/eksporimpor/
3028918,Mangrove red snappers (lutjanus argentimaculatus) fresh or chilled,2024,UNITED STATES,MAKASSAR,53425.0,data/raw/eksporimpor/
3028918,Mangrove red snappers (lutjanus argentimaculatus) fresh or chilled,2024,TOTAL,SEMUA,53425.0,data/raw/eksporimpor/
3034100,Albacore or longfinned tunas (thunnus alalunga) frozen,2023,TOTAL,SEMUA,5175.0,data/raw/eksporimpor/
3034100,Albacore or longfinned tunas (thunnus alalunga) frozen,2024,TOTAL,SEMUA,12471.0,data/raw/eksporimpor/
3034200,Yellowfin tunas (Thunnus albacares) frozen excluding fish fillets,2020,TOTAL,SEMUA,17864.93,data/raw/eksporimpor/
3034200,Yellowfin tunas (Thunnus albacares) frozen excluding fish fillets,2021,TOTAL,SEMUA,1526955.01,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2023,JAPAN,MAKASSAR,149495.6,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2023,UNITED STATES,BITUNG,469594.5,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2023,TOTAL,SEMUA,9893149.71,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2024,JAPAN,MAKASSAR,104775.4,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2024,UNITED STATES,BITUNG,126720.0,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2024,TOTAL,SEMUA,7311144.95,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2026,JAPAN,MAKASSAR,230115.21,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2026,TOTAL,SEMUA,1222604.38,data/raw/eksporimpor/
3034300,Skipjack or stripe-bellied bonito frozen excluding fish fillets,2020,TOTAL,SEMUA,33374.85,data/raw/eksporimpor/
3034300,Skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis) frozen,2024,TOTAL,SEMUA,360932.33,data/raw/eksporimpor/
3035410,Mackerel (scomber scombrus scomber australasicus) frozen,2023,TOTAL,SEMUA,14840.18,data/raw/eksporimpor/
3035410,Mackerel (scomber scombrus scomber australasicus) frozen,2024,TOTAL,SEMUA,10138.0,data/raw/eksporimpor/
3035910,Indian mackerels (rastrelliger kanagurta) island mackerels (rastrelliger faughni) frozen,2024,TOTAL,SEMUA,6896.91,data/raw/eksporimpor/
3035990,Anchovies brisling or sprats scomberomorus spp caranx spp pacific saury decapterus spp capelin euthynnusaffinis sarda spp marlins sailfishes istiophoridae frozen,2023,TOTAL,SEMUA,28696.21,data/raw/eksporimpor/
3035990,Anchovies brisling or sprats scomberomorus spp caranx spp pacific saury decapterus spp capelin euthynnusaffinis sarda spp marlins sailfishes istiophoridae frozen,2024,TOTAL,SEMUA,49945.98,data/raw/eksporimpor/
3035990,Other Mackerels fish frozen excl fillets edible fish offal of subheadings 0303.91 to 0303.99,2020,TOTAL,SEMUA,2623.53,data/raw/eksporimpor/
