kode_hs,deskripsi,tahun,nilai_usd,Sumber
3023200,Yellowfin tunas (thunnus albacares) fresh or chilled,2024,51148.0,data/raw/eksporimpor/
3028918,Mangrove red snappers (lutjanus argentimaculatus) fresh or chilled,2024,106850.0,data/raw/eksporimpor/
3034100,Albacore or longfinned tunas (thunnus alalunga) frozen,2023,5175.0,data/raw/eksporimpor/
3034100,Albacore or longfinned tunas (thunnus alalunga) frozen,2024,12471.0,data/raw/eksporimpor/
3034200,Yellowfin tunas (Thunnus albacares) frozen excluding fish fillets,2020,17864.93,data/raw/eksporimpor/
3034200,Yellowfin tunas (Thunnus albacares) frozen excluding fish fillets,2021,1526955.01,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2023,10512239.81,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2024,7542640.350000001,data/raw/eksporimpor/
3034200,Yellowfin tunas (thunnus albacares) frozen,2026,1452719.59,data/raw/eksporimpor/
3034300,Skipjack or stripe-bellied bonito frozen excluding fish fillets,2020,33374.85,data/raw/eksporimpor/
3034300,Skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis) frozen,2024,360932.33,data/raw/eksporimpor/
3035410,Mackerel (scomber scombrus scomber australasicus) frozen,2023,14840.18,data/raw/eksporimpor/
3035410,Mackerel (scomber scombrus scomber australasicus) frozen,2024,10138.0,data/raw/eksporimpor/
3035910,Indian mackerels (rastrelliger kanagurta) island mackerels (rastrelliger faughni) frozen,2024,6896.91,data/raw/eksporimpor/
3035990,Anchovies brisling or sprats scomberomorus spp caranx spp pacific saury decapterus spp capelin euthynnusaffinis sarda spp marlins sailfishes istiophoridae frozen,2023,28696.21,data/raw/eksporimpor/
3035990,Anchovies brisling or sprats scomberomorus spp caranx spp pacific saury decapterus spp capelin euthynnusaffinis sarda spp marlins sailfishes istiophoridae frozen,2024,49945.98,data/raw/eksporimpor/
3035990,Other Mackerels fish frozen excl fillets edible fish offal of subheadings 0303.91 to 0303.99,2020,2623.53,data/raw/eksporimpor/
3038911,Grouper frozen,2023,1068430.04,data/raw/eksporimpor/
3038911,Grouper frozen,2024,1318738.24,data/raw/eksporimpor/
3038911,Grouper frozen,2026,197007.23,data/raw/eksporimpor/
3038911,Grouper frozen excl. edible fish offal of subheadings 0303.91-99,2020,161535.66,data/raw/eksporimpor/
3038911,Grouper frozen excl. edible fish offal of subheadings 0303.91-99,2021,174077.16,data/raw/eksporimpor/
3038914,Savalai hairtails (lepturacanthus savala) belanger’s croakers (johnius belangerii) reeve’s croakers (chrysochir aureus) and bigeye croakers (pennahia anea) frozen,2023,12594.4,data/raw/eksporimpor/
3038914,Savalai hairtails (lepturacanthus savala) belanger’s croakers (johnius belangerii) reeve’s croakers (chrysochir aureus) and bigeye croakers (pennahia anea) frozen,2024,116718.26,data/raw/eksporimpor/
3038914,"Savalai hairtailsbelanger""sreeve""s&bigeye frozen excl. edible fish offal of subheadings 0303.91-99",2020,938910.95,data/raw/eksporimpor/
3038914,"Savalai hairtailsbelanger""sreeve""s&bigeye frozen excl. edible fish offal of subheadings 0303.91-99",2021,455854.12,data/raw/eksporimpor/
