negara_tujuan,tahun,nilai_usd,Sumber
CHINA,2020,159619715.31,data/raw/eksporimpor/
CHINA,2021,242246631.44,data/raw/eksporimpor/
CHINA,2023,442188426.01,data/raw/eksporimpor/
CHINA,2024,512794245.99,data/raw/eksporimpor/
CHINA,2026,332657229.41,data/raw/eksporimpor/
INDIA,2020,12589147.32,data/raw/eksporimpor/
INDIA,2021,9420837.82,data/raw/eksporimpor/
INDIA,2023,788804.97,data/raw/eksporimpor/
INDIA,2024,23923392.99,data/raw/eksporimpor/
INDIA,2026,1393700.0,data/raw/eksporimpor/
JAPAN,2020,6284143.15,data/raw/eksporimpor/
JAPAN,2021,5920240.600000001,data/raw/eksporimpor/
JAPAN,2023,4604493.63,data/raw/eksporimpor/
JAPAN,2024,6183721.29,data/raw/eksporimpor/
JAPAN,2026,3875447.3,data/raw/eksporimpor/
SINGAPORE,2023,223706.0,data/raw/eksporimpor/
SINGAPORE,2024,87924.44,data/raw/eksporimpor/
SINGAPORE,2026,21975.0,data/raw/eksporimpor/
TOTAL,2020,2824775347.4,data/raw/eksporimpor/
TOTAL,2021,5073850114.200001,data/raw/eksporimpor/
TOTAL,2023,5386978106.47,data/raw/eksporimpor/
TOTAL,2024,4930365100.849999,data/raw/eksporimpor/
TOTAL,2026,1531307627.93,data/raw/eksporimpor/
UNITED STATES,2020,10373229.03,data/raw/eksporimpor/
UNITED STATES,2023,12800919.2,data/raw/eksporimpor/
UNITED STATES,2024,8199691.95,data/raw/eksporimpor/
UNITED STATES,2026,3269808.0,data/raw/eksporimpor/
