nama_perusahaan,jenis_badan_usaha,provinsi,nib,npwp,telepon,email,alamat,jumlah_izin,jumlah_izin_nikel,jumlah_izin_lainnya,status_iup,komoditas,golongan,lokasi_izin,total_luas_ha,nilai_investasi_usd_juta,nilai_investasi_idr_miliar,tahun_investasi,kapasitas_produksi_ton_tahun,jenis_kapasitas,status_operasional,sumber_data_investasi,sumber_data_kapasitas,catatan
ANUGERAH JAYA BUANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1609210022494,002250410*******,02150806573____,,"Sopo Del Office Tower and Lifestyle A Tower Lantai 19, Jl. Mega Kuningan Barat III No.5, RT.3/RW.2, Kuningan Timur, Kota Jakarta Selatan, Daerah Khusus Jakarta – 12950",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,2800.00,,,,,,,,,
CITRA LAMPIA MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0220107550155,002643362*******,02138250537____,,"Gedung Office 8 Lantai 35 Unit H, Jalan Senopati No. 8B, Senayan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta 12190",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,2660.00,,,,,,,,,
DAYA GUNA GEMILANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1404220014158,002508694*******,02158905002,pjkdayaguna@gmail.com,Jalan Galuh II Nomor 5 ,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,4787.00,,,,,,,,,
ERA MARPADOT,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,3012220011264,001817295*******,,,"MTH SQUARE GF A4/A, JL. LETJEN M.T. HARYONO KAV 10,
Desa/Kelurahan Bidara Cina, Kec. Jatinegara, Kota Adm. Jakarta Timur,
Provinsi DKI Jakarta,
Kode Pos: 13330",1,1,0,LEGAL,Nikel,Mineral Logam,"KAB. LUWU TIMUR, KAB. KOLAKA UTARA",4301.50,,,,,,,,,
KAHALA MINERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0234000960699,002435369*******,,,"JL. JUANDA NO 65 KEL. AIR HITAM, KEC. SAMARINDA ULU, KOTA SAMARINDA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,900.00,,,,,,,,,
KOLAKA MINERAL RESOURCES,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1264000521806,002145545*******,,,"LINGK II BATU PUTIH RT 01/04 KAB KOLAKA & JL. MATRAMAN RAYA NO 53, KEL PALMERIAM, KEC. MATRAMAN JAKARTA TIMUR",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BONE,2100.00,,,,,,,,,
LINGKE SULAWESI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,3009240080284,027834284*******,,,"Jalan Sungai Saddang, Kompleks Latanette Plaza, Blok B Nomor 12, Kel. Pisang Selatan, Kec. Ujung Pandang, Kota Makassar, Provinsi Sulawesi Selatan",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,943.00,,,,,,,,,
MADUMA ASIH PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120212151293,001322587*******,,,"Jl. Agung timur 8 Nomor 12 A, Kel. SUnter Jaya, Kec. Tanjung Priok. Kota Adm. Jakarta Utara, Prov. DKI Jakarta",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,7069.00,,,,,,,,,
MITRA BERKARYA SEJATI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2912220028841,001920355*******,081770000940,mitraberkaryasejati002@gmail.com,"APL Tower Central Park Lantai 39, Jl. Letjend. S. Parman Kav. 28",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,3807.00,,,,,,,,,
PARAMOS REZEKI INDAH,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120302790846,001973671*******,,,"AKR Tower Lt. 16 , Jl. Panjang No.5, Kel. Kebon Jeruk, Kec. Kebon Jeruk",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,6639.00,,,,,,,,,
