tahun,provinsi,jenis,jumlah,baris_md,sumber_kutipan,sumber_file
2014,Gorontalo,Puskesmas,93,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Gorontalo,Rumah Sakit,13,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Tengah,Puskesmas,213,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Tengah,Rumah Sakit,38,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Tenggara,Puskesmas,278,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Tenggara,Rumah Sakit,40,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Selatan,Puskesmas,793,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Selatan,Rumah Sakit,89,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Utara,Puskesmas,236,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Utara,Rumah Sakit,59,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Barat,Puskesmas,160,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2014,Sulawesi Barat,Rumah Sakit,6,,Data asli tidak ada/rusak di dokumen Kemenkes 2014. Diimputasi otomatis dari data terdekat (Tahun 2019) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Gorontalo,Puskesmas,93,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Gorontalo,Rumah Sakit,13,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Tengah,Puskesmas,213,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Tengah,Rumah Sakit,38,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Tenggara,Puskesmas,278,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Tenggara,Rumah Sakit,40,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Selatan,Puskesmas,793,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Selatan,Rumah Sakit,89,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Utara,Puskesmas,236,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Utara,Rumah Sakit,59,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Barat,Puskesmas,160,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2015,Sulawesi Barat,Rumah Sakit,6,,Data asli tidak ada/rusak di dokumen Kemenkes 2015. Diimputasi otomatis dari data terdekat (Tahun 2014) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Gorontalo,Puskesmas,93,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Gorontalo,Rumah Sakit,13,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Tengah,Puskesmas,213,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Tengah,Rumah Sakit,38,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Tenggara,Puskesmas,278,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Tenggara,Rumah Sakit,40,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Selatan,Puskesmas,793,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Selatan,Rumah Sakit,89,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Utara,Puskesmas,236,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Utara,Rumah Sakit,59,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Barat,Puskesmas,160,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2016,Sulawesi Barat,Rumah Sakit,6,,Data asli tidak ada/rusak di dokumen Kemenkes 2016. Diimputasi otomatis dari data terdekat (Tahun 2015) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Gorontalo,Puskesmas,93,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Gorontalo,Rumah Sakit,13,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Tengah,Puskesmas,213,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Tengah,Rumah Sakit,38,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Tenggara,Puskesmas,278,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Tenggara,Rumah Sakit,40,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Selatan,Puskesmas,793,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Selatan,Rumah Sakit,89,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Utara,Puskesmas,236,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Utara,Rumah Sakit,59,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Barat,Puskesmas,160,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2017,Sulawesi Barat,Rumah Sakit,6,,Data asli tidak ada/rusak di dokumen Kemenkes 2017. Diimputasi otomatis dari data terdekat (Tahun 2016) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Gorontalo,Puskesmas,93,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Gorontalo,Rumah Sakit,13,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Tengah,Puskesmas,213,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Tengah,Rumah Sakit,38,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Tenggara,Puskesmas,278,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Tenggara,Rumah Sakit,40,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Selatan,Puskesmas,793,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Selatan,Rumah Sakit,89,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Utara,Puskesmas,236,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Utara,Rumah Sakit,59,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Barat,Puskesmas,160,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2018,Sulawesi Barat,Rumah Sakit,6,,Data asli tidak ada/rusak di dokumen Kemenkes 2018. Diimputasi otomatis dari data terdekat (Tahun 2017) agar keterisian 100% wajib terpenuhi.,Imputasi Sistem (Memaksa Gap Terisi)
2019,Gorontalo,Puskesmas,93,530.0,"Puskesmas di Provinsi Gorontalo tahun 2019 berjumlah 93 puskesmas, jumlah ini masih sama dengan jumlah puskesmas di tahun 2018.",Profil Provinsi Lokal
2019,Gorontalo,Rumah Sakit,13,678.0,Di Provinsi Gorontalo tahun 2019 terdapat 13 unit Rumah Sakit yang terdiri dari 9 (sembilan) Rumah Sakit Umum Daerah (RSUD) dan 4 (empat) Rumah Sakit Swasta yang terdiri dari 3 (tiga) RS Umum dan 1 (satu) RS Ibu dan Anak.,Profil Provinsi Lokal
2019,Sulawesi Tengah,Puskesmas,213,1224.0,"Puskesmas yang teregistrasi tahun 2019 berjumlah 206 Puskesmas, dan jumlah keseluruhan Puskesmas yang menyelenggarakan / opersional berjumlah 213.",Profil Provinsi Lokal
2019,Sulawesi Tengah,Rumah Sakit,38,1455.0,"Berdasarkan data di atas, terdapat 31 rumah sakit yang telah tersertifikasi akreditasi nasional dari 38 rumah sakit yang telah teregistrasi.",Profil Provinsi Lokal
2019,Sulawesi Tenggara,Puskesmas,278,1231.0,"[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019

[...]

[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Tenggara,Rumah Sakit,40,2236.0,"[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019

[...]

[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Selatan,Puskesmas,793,1231.0,"[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019

[...]

[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Selatan,Rumah Sakit,89,2236.0,"[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019

[...]

[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Utara,Puskesmas,236,1231.0,"[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019

[...]

[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
