tahun,provinsi,jenis_faskes,jumlah,sumber_kutipan,sumber_file
2014,Gorontalo,Puskesmas,93,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2014,Sulawesi Barat,Puskesmas,94,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2014,Sulawesi Selatan,Puskesmas,446,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2014,Sulawesi Tengah,Puskesmas,184,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2014,Sulawesi Tenggara,Puskesmas,269,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2014,Sulawesi Utara,Puskesmas,187,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Gorontalo,Puskesmas,93,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Sulawesi Barat,Puskesmas,94,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Sulawesi Selatan,Puskesmas,448,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Sulawesi Tengah,Puskesmas,189,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Sulawesi Tenggara,Puskesmas,269,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2015,Sulawesi Utara,Puskesmas,187,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2016,Gorontalo,Puskesmas,93,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2016,Sulawesi Barat,Puskesmas,94,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2016,Sulawesi Selatan,Puskesmas,448,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
