umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,Luas_Hilang_Kawasan_Lindung_Ha,Provinsi,Tahun
2014.0,0,6487.62837,Sulawesi Utara,2014.0
2014.0,1,362.24772,Sulawesi Utara,2014.0
2014.0,2,118.44514,Sulawesi Utara,2014.0
2015.0,0,13433.81953,Sulawesi Utara,2015.0
2015.0,1,902.71694,Sulawesi Utara,2015.0
2015.0,2,231.65677,Sulawesi Utara,2015.0
2016.0,0,7412.3655,Sulawesi Utara,2016.0
2016.0,1,552.70107,Sulawesi Utara,2016.0
2016.0,2,770.08079,Sulawesi Utara,2016.0
2017.0,0,5211.76383,Sulawesi Utara,2017.0
2017.0,1,320.09372,Sulawesi Utara,2017.0
2017.0,2,126.35356,Sulawesi Utara,2017.0
2018.0,0,6776.22267,Sulawesi Utara,2018.0
2018.0,1,449.17783,Sulawesi Utara,2018.0
2018.0,2,119.72184,Sulawesi Utara,2018.0
2019.0,0,8444.28739,Sulawesi Utara,2019.0
2019.0,1,349.85773,Sulawesi Utara,2019.0
2019.0,2,89.60661,Sulawesi Utara,2019.0
2020.0,0,2667.4281,Sulawesi Utara,2020.0
2020.0,1,132.92935,Sulawesi Utara,2020.0
2020.0,2,56.2557,Sulawesi Utara,2020.0
2021.0,0,2564.24388,Sulawesi Utara,2021.0
2021.0,1,87.31093000000001,Sulawesi Utara,2021.0
2021.0,2,60.8849,Sulawesi Utara,2021.0
2022.0,0,2446.57215,Sulawesi Utara,2022.0
2022.0,1,142.23834,Sulawesi Utara,2022.0
2022.0,2,59.85761,Sulawesi Utara,2022.0
2023.0,0,6100.29014,Sulawesi Utara,2023.0
2023.0,1,172.92938,Sulawesi Utara,2023.0
2023.0,2,70.04987,Sulawesi Utara,2023.0
2014.0,0,85363.41341,Sulawesi Tengah,2014.0
2014.0,1,1430.61359,Sulawesi Tengah,2014.0
2014.0,2,905.27673,Sulawesi Tengah,2014.0
2015.0,0,148406.97278,Sulawesi Tengah,2015.0
2015.0,1,3191.69396,Sulawesi Tengah,2015.0
2015.0,2,2569.9515800000004,Sulawesi Tengah,2015.0
2016.0,0,122879.89402,Sulawesi Tengah,2016.0
2016.0,1,2646.00615,Sulawesi Tengah,2016.0
2016.0,2,2473.99337,Sulawesi Tengah,2016.0
2017.0,0,69628.27168,Sulawesi Tengah,2017.0
2017.0,1,1538.82196,Sulawesi Tengah,2017.0
2017.0,2,828.03999,Sulawesi Tengah,2017.0
2018.0,0,68635.08529,Sulawesi Tengah,2018.0
2018.0,1,1755.08366,Sulawesi Tengah,2018.0
2018.0,2,944.34478,Sulawesi Tengah,2018.0
2019.0,0,90029.9188,Sulawesi Tengah,2019.0
2019.0,1,1614.52038,Sulawesi Tengah,2019.0
2019.0,2,1040.85144,Sulawesi Tengah,2019.0
2020.0,0,45121.58759,Sulawesi Tengah,2020.0
2020.0,1,1065.76713,Sulawesi Tengah,2020.0
2020.0,2,736.9511699999999,Sulawesi Tengah,2020.0
2021.0,0,35543.90637,Sulawesi Tengah,2021.0
2021.0,1,654.17973,Sulawesi Tengah,2021.0
2021.0,2,609.52154,Sulawesi Tengah,2021.0
2022.0,0,42470.40452,Sulawesi Tengah,2022.0
2022.0,1,866.91512,Sulawesi Tengah,2022.0
2022.0,2,601.5848,Sulawesi Tengah,2022.0
2023.0,0,85217.28009,Sulawesi Tengah,2023.0
2023.0,1,1517.61859,Sulawesi Tengah,2023.0
2023.0,2,1159.4878,Sulawesi Tengah,2023.0
2014.0,0,64860.37693,Sulawesi Selatan,2014.0
2014.0,1,738.7422399999999,Sulawesi Selatan,2014.0
2014.0,2,185.69677,Sulawesi Selatan,2014.0
2015.0,0,72730.39506,Sulawesi Selatan,2015.0
2015.0,1,1039.54461,Sulawesi Selatan,2015.0
2015.0,2,246.8986,Sulawesi Selatan,2015.0
2016.0,0,69164.03188,Sulawesi Selatan,2016.0
2016.0,1,1560.83223,Sulawesi Selatan,2016.0
2016.0,2,416.13145,Sulawesi Selatan,2016.0
2017.0,0,52295.5365,Sulawesi Selatan,2017.0
2017.0,1,790.23134,Sulawesi Selatan,2017.0
2017.0,2,441.3629,Sulawesi Selatan,2017.0
2018.0,0,46089.09826,Sulawesi Selatan,2018.0
2018.0,1,408.37824,Sulawesi Selatan,2018.0
2018.0,2,172.98633,Sulawesi Selatan,2018.0
2019.0,0,66209.20748,Sulawesi Selatan,2019.0
2019.0,1,927.60335,Sulawesi Selatan,2019.0
2019.0,2,287.36948,Sulawesi Selatan,2019.0
2020.0,0,32877.564790000004,Sulawesi Selatan,2020.0
2020.0,1,340.20213,Sulawesi Selatan,2020.0
2020.0,2,381.53867,Sulawesi Selatan,2020.0
2021.0,0,25386.42208,Sulawesi Selatan,2021.0
2021.0,1,284.62864,Sulawesi Selatan,2021.0
2021.0,2,236.62081,Sulawesi Selatan,2021.0
2022.0,0,35790.75574,Sulawesi Selatan,2022.0
2022.0,1,256.33023,Sulawesi Selatan,2022.0
2022.0,2,188.28428,Sulawesi Selatan,2022.0
2023.0,0,77996.62327,Sulawesi Selatan,2023.0
2023.0,1,929.52705,Sulawesi Selatan,2023.0
2023.0,2,267.91663,Sulawesi Selatan,2023.0
2014.0,0,46565.43771,Sulawesi Tenggara,2014.0
2014.0,1,636.71653,Sulawesi Tenggara,2014.0
2014.0,2,409.17703,Sulawesi Tenggara,2014.0
2015.0,0,46838.01986,Sulawesi Tenggara,2015.0
