umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,Luas_Hilang_Kawasan_Lindung_Ha,Provinsi,Tahun
2014.0,1,474.22196,Gorontalo,2014.0
2014.0,2,53.64434,Gorontalo,2014.0
2015.0,1,15.39577,Gorontalo,2015.0
2015.0,2,12.374,Gorontalo,2015.0
2016.0,1,67.95244,Gorontalo,2016.0
2016.0,2,57.28726,Gorontalo,2016.0
2017.0,1,98.11966,Gorontalo,2017.0
2017.0,2,41.74969,Gorontalo,2017.0
2018.0,1,99.79914,Gorontalo,2018.0
2018.0,2,2.43854,Gorontalo,2018.0
2019.0,1,140.24712,Gorontalo,2019.0
2019.0,2,63.45861,Gorontalo,2019.0
2020.0,1,75.72278,Gorontalo,2020.0
2020.0,2,105.05242,Gorontalo,2020.0
2021.0,1,83.56931,Gorontalo,2021.0
2021.0,2,18.81702,Gorontalo,2021.0
2022.0,1,146.64473999999998,Gorontalo,2022.0
2022.0,2,10.20811,Gorontalo,2022.0
2023.0,1,187.41733,Gorontalo,2023.0
2023.0,2,18.5348,Gorontalo,2023.0
2014.0,1,361.40177,Sulawesi Tengah,2014.0
2014.0,2,118.29154,Sulawesi Tengah,2014.0
2015.0,1,901.25547,Sulawesi Tengah,2015.0
2015.0,2,227.81219,Sulawesi Tengah,2015.0
2016.0,1,552.85504,Sulawesi Tengah,2016.0
2016.0,2,770.08079,Sulawesi Tengah,2016.0
2017.0,1,319.86294,Sulawesi Tengah,2017.0
2017.0,2,125.43086,Sulawesi Tengah,2017.0
2018.0,1,449.79325,Sulawesi Tengah,2018.0
2018.0,2,119.10671,Sulawesi Tengah,2018.0
2019.0,1,349.39638,Sulawesi Tengah,2019.0
2019.0,2,88.60701,Sulawesi Tengah,2019.0
2020.0,1,130.92924,Sulawesi Tengah,2020.0
2020.0,2,56.2557,Sulawesi Tengah,2020.0
2021.0,1,86.23395000000001,Sulawesi Tengah,2021.0
2021.0,2,60.8849,Sulawesi Tengah,2021.0
2022.0,1,142.00755999999998,Sulawesi Tengah,2022.0
2022.0,2,59.85761,Sulawesi Tengah,2022.0
2023.0,1,172.92938,Sulawesi Tengah,2023.0
2023.0,2,68.43513999999999,Sulawesi Tengah,2023.0
2014.0,1,350.77418,Sulawesi Selatan,2014.0
2014.0,2,1007.79434,Sulawesi Selatan,2014.0
2015.0,1,287.38533,Sulawesi Selatan,2015.0
2015.0,2,1054.5126,Sulawesi Selatan,2015.0
2016.0,1,609.05297,Sulawesi Selatan,2016.0
2016.0,2,2421.96788,Sulawesi Selatan,2016.0
2017.0,1,1422.50918,Sulawesi Selatan,2017.0
2017.0,2,3734.05894,Sulawesi Selatan,2017.0
2018.0,1,809.52895,Sulawesi Selatan,2018.0
2018.0,2,2167.89563,Sulawesi Selatan,2018.0
2019.0,1,578.82681,Sulawesi Selatan,2019.0
2019.0,2,1555.17453,Sulawesi Selatan,2019.0
2020.0,1,537.24805,Sulawesi Selatan,2020.0
2020.0,2,1513.14179,Sulawesi Selatan,2020.0
2021.0,1,717.76872,Sulawesi Selatan,2021.0
2021.0,2,2250.79962,Sulawesi Selatan,2021.0
2022.0,1,734.9974599999999,Sulawesi Selatan,2022.0
2022.0,2,1978.66529,Sulawesi Selatan,2022.0
2023.0,1,713.1220099999999,Sulawesi Selatan,2023.0
2023.0,2,1481.22651,Sulawesi Selatan,2023.0
2014.0,1,229.59917,Sulawesi Utara,2014.0
2014.0,2,4482.87357,Sulawesi Utara,2014.0
2015.0,1,2639.84567,Sulawesi Utara,2015.0
2015.0,2,3731.97654,Sulawesi Utara,2015.0
2016.0,1,6551.82987,Sulawesi Utara,2016.0
2016.0,2,12974.81125,Sulawesi Utara,2016.0
2017.0,1,590.44063,Sulawesi Utara,2017.0
2017.0,2,1748.02241,Sulawesi Utara,2017.0
2018.0,1,181.32248,Sulawesi Utara,2018.0
2018.0,2,2458.51944,Sulawesi Utara,2018.0
2019.0,1,1523.9449100000002,Sulawesi Utara,2019.0
2019.0,2,2230.95629,Sulawesi Utara,2019.0
2020.0,1,1165.2480799999998,Sulawesi Utara,2020.0
2020.0,2,2305.63198,Sulawesi Utara,2020.0
2021.0,1,231.49673,Sulawesi Utara,2021.0
2021.0,2,1571.10583,Sulawesi Utara,2021.0
2022.0,1,146.67636,Sulawesi Utara,2022.0
2022.0,2,1948.4446,Sulawesi Utara,2022.0
2023.0,1,192.19028,Sulawesi Utara,2023.0
2023.0,2,3309.61266,Sulawesi Utara,2023.0
2014.0,1,1100.45461,Sulawesi Tenggara,2014.0
2014.0,2,856.60522,Sulawesi Tenggara,2014.0
2015.0,1,196.98858,Sulawesi Tenggara,2015.0
2015.0,2,359.86760000000004,Sulawesi Tenggara,2015.0
2016.0,1,320.21311000000003,Sulawesi Tenggara,2016.0
2016.0,2,847.89978,Sulawesi Tenggara,2016.0
2017.0,1,295.23948,Sulawesi Tenggara,2017.0
2017.0,2,372.57758,Sulawesi Tenggara,2017.0
2018.0,1,203.66903,Sulawesi Tenggara,2018.0
2018.0,2,507.92398,Sulawesi Tenggara,2018.0
2019.0,1,249.56453,Sulawesi Tenggara,2019.0
2019.0,2,582.49608,Sulawesi Tenggara,2019.0
2020.0,1,259.56556,Sulawesi Tenggara,2020.0
2020.0,2,479.9135,Sulawesi Tenggara,2020.0
2021.0,1,204.94101,Sulawesi Tenggara,2021.0
2021.0,2,412.72793,Sulawesi Tenggara,2021.0
2022.0,1,114.83777,Sulawesi Tenggara,2022.0
2022.0,2,399.66365,Sulawesi Tenggara,2022.0
