Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Utara,2014,Deforestasi Komoditas (Tambang/Sawit),150237.2539,108062648.1706,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Kehutanan,7942.47459,4852059.58166,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Pertanian Berpindah,1095.72085,851236.79772,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Tidak Diketahui,35.49321,27207.79824,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Urbanisasi,241.90734,101749.71172,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Deforestasi Komoditas (Tambang/Sawit),159874.16307,132523021.96116,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Kehutanan,7354.5362,4927399.8615500005,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Pertanian Berpindah,1606.99427,1525352.06073,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Tidak Diketahui,18.14297,16984.82892,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Urbanisasi,181.68017,78296.13155,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Deforestasi Komoditas (Tambang/Sawit),264301.46814,245591292.66773,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Kehutanan,10844.87689,7900501.772050001,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Pertanian Berpindah,389.34457,264188.66229,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Tidak Diketahui,20.82655,18941.72539,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Urbanisasi,200.73162,92046.06875,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Deforestasi Komoditas (Tambang/Sawit),116019.05542,84862594.96897,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Kehutanan,7760.29101,4537142.25951,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Pertanian Berpindah,525.99271,226069.4173,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Tidak Diketahui,9.60348,8800.66704,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Urbanisasi,343.38704,158627.2152,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Deforestasi Komoditas (Tambang/Sawit),116112.45125,72669517.90954,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Kehutanan,8629.97193,5288843.95713,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Pertanian Berpindah,443.49523,242449.20717,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Tidak Diketahui,5.22321,4371.03111,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Urbanisasi,264.0316,125009.86949,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Deforestasi Komoditas (Tambang/Sawit),94751.93781,60668039.45627,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Kehutanan,7201.18008,4231341.74814,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Pertanian Berpindah,305.19593,165324.69165,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Tidak Diketahui,13.8365,9795.37423,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Urbanisasi,311.27613,149179.26589,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Deforestasi Komoditas (Tambang/Sawit),102903.14087,64641903.58034,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Kehutanan,4993.07415,3089370.64468,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Pertanian Berpindah,189.3081,97191.98299,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Tidak Diketahui,35.18472,21673.90103,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Urbanisasi,245.97881,117713.28727,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Deforestasi Komoditas (Tambang/Sawit),73460.46513,44809008.32382,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Kehutanan,4271.21883,2506827.69862,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Pertanian Berpindah,43.94754,19588.03908,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Tidak Diketahui,1.92079,1491.88834,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Urbanisasi,88.88116,42911.12213,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Deforestasi Komoditas (Tambang/Sawit),84098.55149,49923744.20786,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Kehutanan,3579.41972,2180871.57282,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Pertanian Berpindah,35.34021,15972.85445,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Tidak Diketahui,13.59959,11942.70163,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Urbanisasi,85.11697,42718.6463,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Deforestasi Komoditas (Tambang/Sawit),132468.34617,76033130.57722,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Kehutanan,6501.32423,3842279.18698,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Pertanian Berpindah,102.19325,44067.79434,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Tidak Diketahui,1.69015,1397.13412,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Urbanisasi,164.93333,84313.40001,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Deforestasi Komoditas (Tambang/Sawit),25686.5979,15738178.84388,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Kehutanan,4778.53481,3407661.38735,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Pertanian Berpindah,66.84978,50555.64065,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Tidak Diketahui,19.68699,13399.02498,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Urbanisasi,39.15597,26794.53872,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Deforestasi Komoditas (Tambang/Sawit),19836.44367,12511146.98908,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Kehutanan,2599.35408,1866913.33753,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Pertanian Berpindah,44.07931,32704.91225,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Tidak Diketahui,12.91615,9010.57127,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Urbanisasi,20.77036,14760.47251,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Deforestasi Komoditas (Tambang/Sawit),31087.62499,19694538.87783,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Kehutanan,7693.88393,5241516.23052,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Pertanian Berpindah,142.0077,100451.19814,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Tidak Diketahui,81.51089,57834.70418000001,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Urbanisasi,156.62388,111225.66251,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Deforestasi Komoditas (Tambang/Sawit),41347.54976,26043955.8168,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Kehutanan,9898.6428,6645670.4339000005,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Pertanian Berpindah,94.92822,66349.58478,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Tidak Diketahui,55.37315,40013.76541,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Urbanisasi,83.61992,56394.92445,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Deforestasi Komoditas (Tambang/Sawit),30355.41372,17852106.78505,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Kehutanan,6853.13969,4512699.67226,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Pertanian Berpindah,83.23528,59830.4999,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Tidak Diketahui,18.22417,12356.98664,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Urbanisasi,83.31221,59798.10631,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Deforestasi Komoditas (Tambang/Sawit),25249.04831,13566203.16287,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Kehutanan,5599.88673,3872570.08785,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Pertanian Berpindah,39.84831,28414.46844,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Tidak Diketahui,26.3782,19729.59894,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Urbanisasi,63.69576,44846.73676,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Deforestasi Komoditas (Tambang/Sawit),24812.93816,10327561.04357,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Kehutanan,5442.1395,3711024.83016,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Pertanian Berpindah,77.46574,55310.90087,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Tidak Diketahui,31.91502,22919.52768,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Urbanisasi,116.39093,81248.72748,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Deforestasi Komoditas (Tambang/Sawit),29166.62516,14281898.74322,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Kehutanan,6328.33406,4338783.43965,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Pertanian Berpindah,145.85406,100772.75856,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Tidak Diketahui,56.67116,40977.6491,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Urbanisasi,126.23761,90502.13163,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Deforestasi Komoditas (Tambang/Sawit),29644.00653,17231065.05016,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Kehutanan,5597.98792,3683365.96019,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Pertanian Berpindah,100.46699,68073.26091,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Tidak Diketahui,21.53066,13854.82363,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Urbanisasi,142.93083,100449.3137,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Deforestasi Komoditas (Tambang/Sawit),29253.06038,16210876.73977,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Kehutanan,5670.544349999999,3900786.47128,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Pertanian Berpindah,150.00813,108831.25493,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Tidak Diketahui,3.84455,2460.8186100000003,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Urbanisasi,78.69657,54498.43433,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Deforestasi Komoditas (Tambang/Sawit),69946.53699,34799178.05984,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Kehutanan,14883.665,8887572.730220001,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Pertanian Berpindah,177.99955,129180.97149,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Tidak Diketahui,29.90791,16433.59942,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Urbanisasi,431.65652,160306.24185,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Deforestasi Komoditas (Tambang/Sawit),44999.15647,22125945.9531,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Kehutanan,7677.61561,4917335.03816,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Pertanian Berpindah,138.34945,97317.86426,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Tidak Diketahui,9.14683,5394.23387,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Urbanisasi,154.91031,49980.62851,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Deforestasi Komoditas (Tambang/Sawit),63332.09155,29448465.32969,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Kehutanan,15267.44487,9058472.92879,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Pertanian Berpindah,261.45058,169787.6417,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Tidak Diketahui,33.82192,20957.46477,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Urbanisasi,251.15573,77794.98845,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Deforestasi Komoditas (Tambang/Sawit),60755.57113,25867880.07238,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Kehutanan,13331.31829,8165715.14207,Tidak/Tidak Diketahui
