Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Gorontalo,2014,Deforestasi Komoditas (Tambang/Sawit),8915.79068,7035834.43255,Tidak/Tidak Diketahui
Gorontalo,2014,Kehutanan,1419.23073,930657.58166,Tidak/Tidak Diketahui
Gorontalo,2014,Tidak Diketahui,18.23176,14195.83322,Tidak/Tidak Diketahui
Gorontalo,2015,Deforestasi Komoditas (Tambang/Sawit),10431.18046,7486073.87859,Tidak/Tidak Diketahui
Gorontalo,2015,Kehutanan,2800.53632,1881953.22772,Tidak/Tidak Diketahui
Gorontalo,2015,Tidak Diketahui,55.38761,38748.65543,Tidak/Tidak Diketahui
Gorontalo,2016,Deforestasi Komoditas (Tambang/Sawit),8725.54961,5949458.15102,Tidak/Tidak Diketahui
Gorontalo,2016,Kehutanan,2164.42494,1366829.4376599998,Tidak/Tidak Diketahui
Gorontalo,2016,Tidak Diketahui,21.07806,14878.42033,Tidak/Tidak Diketahui
Gorontalo,2017,Deforestasi Komoditas (Tambang/Sawit),6598.20359,4416423.55003,Tidak/Tidak Diketahui
Gorontalo,2017,Kehutanan,1257.3758,784984.8526,Tidak/Tidak Diketahui
Gorontalo,2017,Tidak Diketahui,13.69305,10720.34515,Tidak/Tidak Diketahui
Gorontalo,2018,Deforestasi Komoditas (Tambang/Sawit),6627.97444,4528502.48838,Tidak/Tidak Diketahui
Gorontalo,2018,Kehutanan,1362.99692,875582.03052,Tidak/Tidak Diketahui
Gorontalo,2018,Tidak Diketahui,15.69316,11743.79268,Tidak/Tidak Diketahui
Gorontalo,2019,Deforestasi Komoditas (Tambang/Sawit),8603.23528,5718231.07454,Tidak/Tidak Diketahui
Gorontalo,2019,Kehutanan,2348.2810600000003,1493964.82907,Tidak/Tidak Diketahui
Gorontalo,2019,Tidak Diketahui,7.61579,4946.4772,Tidak/Tidak Diketahui
Gorontalo,2020,Deforestasi Komoditas (Tambang/Sawit),2420.1311,1751949.27305,Tidak/Tidak Diketahui
Gorontalo,2020,Kehutanan,602.03262,390652.65347,Tidak/Tidak Diketahui
Gorontalo,2020,Tidak Diketahui,7.76966,6221.69103,Tidak/Tidak Diketahui
Gorontalo,2021,Deforestasi Komoditas (Tambang/Sawit),1791.09703,1225382.84284,Tidak/Tidak Diketahui
Gorontalo,2021,Kehutanan,396.02145,259204.57005,Tidak/Tidak Diketahui
Gorontalo,2021,Tidak Diketahui,11.69294,7832.99142,Tidak/Tidak Diketahui
Gorontalo,2022,Deforestasi Komoditas (Tambang/Sawit),2267.6613,1571544.25533,Tidak/Tidak Diketahui
Gorontalo,2022,Kehutanan,543.79869,354036.60818,Tidak/Tidak Diketahui
Gorontalo,2022,Tidak Diketahui,7.077299999999999,5282.21289,Tidak/Tidak Diketahui
Gorontalo,2023,Deforestasi Komoditas (Tambang/Sawit),6660.13003,4540433.93137,Tidak/Tidak Diketahui
Gorontalo,2023,Kehutanan,1576.0084499999998,976133.11832,Tidak/Tidak Diketahui
Gorontalo,2023,Tidak Diketahui,5.69261,4059.8279,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Deforestasi Komoditas (Tambang/Sawit),12378.07434,8227875.65679,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Kehutanan,1680.8776300000002,1076822.45246,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Pertanian Berpindah,148.49377,100614.89122,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Tidak Diketahui,6.38037,3811.16203,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Deforestasi Komoditas (Tambang/Sawit),11918.959,7844971.28454,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Kehutanan,1820.79736,1141485.34852,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Pertanian Berpindah,309.89336,225880.6561,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Tidak Diketahui,5.22813,3406.8093,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Deforestasi Komoditas (Tambang/Sawit),10119.08959,6794476.6317,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Kehutanan,3170.94795,1978278.32608,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Pertanian Berpindah,375.88206,273324.94659,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Tidak Diketahui,11.06961,7075.73838,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Deforestasi Komoditas (Tambang/Sawit),10299.24191,6850389.43346,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Kehutanan,1960.17206,1285459.66307,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Pertanian Berpindah,285.61812,203904.7676,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Tidak Diketahui,19.1401,13093.02307,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Deforestasi Komoditas (Tambang/Sawit),10906.7335,7269664.206089999,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Kehutanan,1852.45183,1217587.68869,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Pertanian Berpindah,197.35152,135783.1338,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Tidak Diketahui,17.761180000000003,10417.3421,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Deforestasi Komoditas (Tambang/Sawit),9544.45498,6198440.11054,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Kehutanan,3141.19023,2028219.27638,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Pertanian Berpindah,316.57673,221113.15834,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Tidak Diketahui,34.061060000000005,22033.41275,Tidak/Tidak Diketahui
Sulawesi Barat,2020,Deforestasi Komoditas (Tambang/Sawit),6706.87569,4551239.21382,Tidak/Tidak Diketahui
