Provinsi,Tahun,Total_Deforestasi_Ha,Deforestasi_Hutan_Primer_Ha,Deforestasi_Kawasan_Lindung_Ha,Laju_Deforestasi_Ha,Deforestasi_Driver_Komoditas_Tambang_Sawit_Ha,Deforestasi_Driver_Kehutanan_Ha,Total_Emisi_CO2_Megagram,Baseline_Tutupan_Hutan_2000_Ha,Deforestasi_Driver_Pertanian_Berpindah_Ha,Deforestasi_Driver_Urbanisasi_Ha
Sulawesi Utara,2014,6968.321239999999,6968.32126,6968.3212300000005,6968.32124,150237.2539,7942.47459,113894902.05994,1249530.29586,1095.72085,241.90734
Sulawesi Utara,2015,14568.19323,14568.19325,14568.19324,14568.19323,159874.16307,7354.5362,139071054.84391,1249530.29586,1606.99427,181.68017
Sulawesi Utara,2016,8735.14735,8735.14735,8735.147359999999,8735.14735,264301.46814,10844.87689,253866970.89621,1249530.29586,389.34457,200.73162
Sulawesi Utara,2017,5658.21112,5658.21113,5658.21111,5658.21112,116019.05542,7760.29101,89793234.52802,1249530.29586,525.99271,343.38704
Sulawesi Utara,2018,7345.12233,7345.12233,7345.12234,7345.12233,116112.45125,8629.97193,78330191.97444,1249530.29586,443.49523,264.0316
Sulawesi Utara,2019,8883.75172,8883.75173,8883.75173,8883.75172,94751.93781,7201.18008,65223680.536180004,1249530.29586,305.19593,311.27613
Sulawesi Utara,2020,2856.61315,2856.61314,2856.61315,2856.61315,102903.14087,4993.07415,67967853.39631,1249530.29586,189.3081,245.97881
Sulawesi Utara,2021,2712.4397,2712.43972,2712.43971,2712.4397,73460.46513,4271.21883,47379827.071990006,1249530.29586,43.94754,88.88116
Sulawesi Utara,2022,2648.66808,2648.66808,2648.6681,2648.66808,84098.55149,3579.41972,52175249.98306,1249530.29586,35.34021,85.11697
Sulawesi Utara,2023,6343.2694,6343.26941,6343.26939,6343.2694,132468.34617,6501.32423,80005188.09267,1249530.29586,102.19325,164.93333
Sulawesi Tengah,2014,87699.30374999999,87699.30372,87699.30373,87699.30374999999,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2015,154168.61833,154168.61831,154168.61832,154168.61833,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2016,127999.89357,127999.89357000001,127999.89354,127999.89357,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2017,71995.13363,71995.13359,71995.13363000001,71995.13363,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2018,71334.51374,71334.51372,71334.51373,71334.51374,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2019,92685.29062,92685.29062,92685.29062,92685.29062,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2020,46924.30591,46924.305909999995,46924.30589,46924.30591,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2021,36807.60763,36807.60764,36807.607639999995,36807.60763,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2022,43938.90444,43938.90445,43938.90444,43938.90444,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Tengah,2023,87894.38647,87894.38644999999,87894.38648,87894.38647,0.0,0.0,0.0,10196872.34674,0.0,0.0
Sulawesi Selatan,2014,65784.81592,65784.81592000001,65784.81594,65784.81592,25686.5979,4778.53481,19236589.43558,5562883.57462,66.84978,39.15597
Sulawesi Selatan,2015,74016.83825,74016.83826,74016.83827,74016.83825,19836.44367,2599.35408,14434536.28264,5562883.57462,44.07931,20.77036
Sulawesi Selatan,2016,71140.99557,71140.99556,71140.99556,71140.99557,31087.62499,7693.88393,25205566.67318,5562883.57462,142.0077,156.62388
Sulawesi Selatan,2017,53527.13072,53527.130730000004,53527.13074,53527.13072,41347.54976,9898.6428,32852384.52534,5562883.57462,94.92822,83.61992
Sulawesi Selatan,2018,46670.4628,46670.4628,46670.46283,46670.4628,30355.41372,6853.13969,22496792.050160002,5562883.57462,83.23528,83.31221
Sulawesi Selatan,2019,67424.18031,67424.18032,67424.18031,67424.18031,25249.04831,5599.88673,17531764.05486,5562883.57462,39.84831,63.69576
Sulawesi Selatan,2020,33599.30558,33599.3056,33599.30559,33599.30558,24812.93816,5442.1395,14198065.029760001,5562883.57462,77.46574,116.39093
Sulawesi Selatan,2021,25907.67155,25907.671540000003,25907.67153,25907.67155,29166.62516,6328.33406,18852934.72216,5562883.57462,145.85406,126.23761
Sulawesi Selatan,2022,36235.37023,36235.370200000005,36235.37025,36235.37023,29644.00653,5597.98792,21096808.408589996,5562883.57462,100.46699,142.93083
Sulawesi Selatan,2023,79194.06695000001,79194.06698999999,79194.06695,79194.06695000001,29253.06038,5670.544349999999,20277453.71892,5562883.57462,150.00813,78.69657
Sulawesi Tenggara,2014,47611.33125,47611.331249999996,47611.331269999995,47611.33125,69946.53699,14883.665,43992671.60282,3081778.36034,177.99955,431.65652
Sulawesi Tenggara,2015,48097.23302,48097.23304000001,48097.23303,48097.23302,44999.15647,7677.61561,27195973.7179,3081778.36034,138.34945,154.91031
Sulawesi Tenggara,2016,39632.87829,39632.87826,39632.878300000004,39632.87829,63332.09155,15267.44487,38775478.3534,3081778.36034,261.45058,251.15573
Sulawesi Tenggara,2017,29650.55887,29650.558859999997,29650.55888,29650.55887,60755.57113,13331.31829,34232348.06931,3081778.36034,220.69044,114.83894
Sulawesi Tenggara,2018,28050.4101,28050.41008,28050.410079999998,28050.4101,53148.13764,12558.00894,30063957.57672,3081778.36034,193.79035,244.27322
Sulawesi Tenggara,2019,41159.92727,41159.92728,41159.92727,41159.92727,42397.9654,9104.43687,22704536.54914,3081778.36034,149.73228,212.32172
Sulawesi Tenggara,2020,20725.81924,20725.81926,20725.81922,20725.81924,40232.19858,9654.67217,21315709.780759998,3081778.36034,168.93184,154.63038
Sulawesi Tenggara,2021,13790.03328,13790.03328,13790.03326,13790.03328,46963.57385,11788.70836,26271445.0699,3081778.36034,194.09189,217.6736
Sulawesi Tenggara,2022,14541.82981,14541.82981,14541.82982,14541.82981,38775.66967,10099.32784,24596048.70951,3081778.36034,179.63135,217.24036
Sulawesi Tenggara,2023,43927.19132,43927.191320000005,43927.1913,43927.19132,53010.14578,11946.30904,30805030.12888,3081778.36034,102.4009,278.92379
Gorontalo,2014,10320.86679,10320.86679,10320.86679,10320.86679,2160.20551,2748.42434,4026078.94804,1073783.78422,1688.01562,94.51018
Gorontalo,2015,18520.61868,18520.61868,18520.618680000003,18520.61868,749.1194,1276.69783,1717532.46625,1073783.78422,809.66192,45.85321999999999
Gorontalo,2016,15680.69561,15680.69561,15680.69561,15680.69561,751.2102199999999,1189.79046,1946416.10449,1073783.78422,1180.15119,48.82615
Gorontalo,2017,11903.02943,11903.029419999999,11903.02943,11903.02943,1223.86459,1514.87705,2792810.10404,1073783.78422,1834.93336,92.3176
Gorontalo,2018,11535.77876,11535.77876,11535.77875,11535.77876,1059.75932,1713.03752,2639967.10377,1073783.78422,1387.26421,98.29333
Gorontalo,2019,16577.43649,16577.43649,16577.43648,16577.43649,1433.8331400000002,2218.11085,3112533.4917300004,1073783.78422,1258.60653,162.04521
Gorontalo,2020,4562.55486,4562.55486,4562.55486,4562.55486,1047.38973,1907.83146,3038047.46414,1073783.78422,1828.37094,78.83932999999999
Gorontalo,2021,3438.0323900000003,3438.03241,3438.0324,3438.0323900000003,1289.33064,1089.5696899999998,2229033.60516,1073783.78422,1035.24625,78.99595
Gorontalo,2022,4175.99545,4175.99545,4175.99545,4175.99545,943.70559,1148.05388,1891601.35872,1073783.78422,745.7162099999999,54.88407000000001
Gorontalo,2023,11475.69858,11475.69858,11475.69858,11475.69858,2155.86498,2152.58282,4060139.9317099997,1073783.78422,1853.56016,146.42406
Sulawesi Barat,2014,20884.10484,20884.10483,20884.10482,20884.10484,0.0,2.6663,29166.38104,2586461.36062,32.9097,20.64474
Sulawesi Barat,2015,23641.99851,23641.99851,23641.998509999998,23641.99851,0.0,0.0,22097.84084,2586461.36062,38.77555,3.04719
Sulawesi Barat,2016,22866.20783,22866.20785,22866.20783,22866.20783,0.0,1.5236,35130.7899,2586461.36062,40.90859,18.66407
Sulawesi Barat,2017,19627.035900000003,19627.03589,19627.0359,19627.035900000003,0.0,5.71349,58938.00269,2586461.36062,53.3259,38.92791
Sulawesi Barat,2018,21741.28924,21741.289230000002,21741.289240000002,21741.28924,0.0,4.57079,69233.22073,2586461.36062,46.5459,78.46526
Sulawesi Barat,2019,24489.7402,24489.7402,24489.74021,24489.7402,0.0,5.94203,37077.67267,2586461.36062,23.69194,33.13824
Sulawesi Barat,2020,13135.72475,13135.72477,13135.72475,13135.72475,0.0,2.89483,30653.10275,2586461.36062,32.37644,16.60721
Sulawesi Barat,2021,13505.43102,13505.43101,13505.43102,13505.43102,0.0,1.9045,40085.86842,2586461.36062,51.19287,15.00743
Sulawesi Barat,2022,14573.8604,14573.8604,14573.860400000001,14573.8604,0.0,0.22854,19877.95374,2586461.36062,25.59643,8.60832
Sulawesi Barat,2023,27140.44936,27140.44938,27140.44938,27140.44936,0.0,0.7618,56277.049360000005,2586461.36062,46.08882,57.36344
