Provinsi,Tahun,Total_Deforestasi_Ha,Deforestasi_Hutan_Primer_Ha,Deforestasi_Kawasan_Lindung_Ha,Laju_Deforestasi_Ha,Deforestasi_Driver_Komoditas_Tambang_Sawit_Ha,Deforestasi_Driver_Kehutanan_Ha,Total_Emisi_CO2_Megagram,Baseline_Tutupan_Hutan_2000_Ha,Deforestasi_Driver_Pertanian_Berpindah_Ha,Deforestasi_Driver_Urbanisasi_Ha
Sulawesi Utara,2014,7534.08098,2357.5055,479.69331,6968.32124,5041.171908156043,497.5050089487266,4867275.414198152,1249530.29586,1166.76675919422,0.0
Sulawesi Utara,2015,16276.76022,8127.03334,1129.06766,14568.19323,8565.078349485992,1593.5512968589685,10897490.644342035,1249530.29586,2464.065474751437,0.0
Sulawesi Utara,2016,9217.85788,4409.75645,1322.93583,8735.14735,4670.301873099557,642.7802697905847,5876159.206874612,1249530.29586,1340.6941438565943,0.0
Sulawesi Utara,2017,6186.01731,2189.40407,445.2938,5658.21112,4067.734491569429,511.40812068947935,4203060.14839099,1249530.29586,1063.3550084011472,0.0
Sulawesi Utara,2018,8216.50494,2047.37995,568.89996,7345.12233,5796.306578955157,447.9042940203869,5437316.338863405,1249530.29586,1097.152981865214,0.0
Sulawesi Utara,2019,10070.28495,1618.97159,438.00339,8883.75172,7253.330091425722,458.1419048683056,6494344.170185375,1249530.29586,942.5215835967508,0.0
Sulawesi Utara,2020,3423.26594,1004.08686,187.18493999999998,2856.61315,2121.53998715915,303.0689817103443,2248755.7098745387,1249530.29586,610.7384027033327,0.0
Sulawesi Utara,2021,3138.62993,565.8348,147.11885,2712.4397,2094.5861298209493,230.918366284234,2169260.0296254125,1249530.29586,411.3113617776861,0.0
Sulawesi Utara,2022,3021.61789,521.26293,201.86516999999998,2648.66808,2081.439588898883,217.20963951910076,2100609.137672952,1249530.29586,349.9176517287253,0.0
Sulawesi Utara,2023,7155.0026100000005,566.74739,241.36452,6343.2694,4983.8467327412445,235.56109576265325,4503588.701651144,1249530.29586,474.9984925302636,0.0
Sulawesi Tengah,2014,50380.08449,20894.33809,1706.69972,87699.30374999999,39237.27405,5309.152,31876390.570699997,10196872.34674,1966.72422,0.0
Sulawesi Tengah,2015,97090.5069,54455.03369,4019.80087,154168.61833,78831.23030000001,10480.86071,57246751.90667,10196872.34674,2284.47985,0.0
Sulawesi Tengah,2016,77401.37451,46244.46622,2973.15099,127999.89357,62065.2169,9271.83476,41129493.61378,10196872.34674,2585.3404,0.0
Sulawesi Tengah,2017,39356.09715,14733.9803,1507.4888999999998,71995.13363,31070.20898,4500.69543,25151637.844839998,10196872.34674,1182.19857,0.0
Sulawesi Tengah,2018,40227.23749,15594.93303,1974.68637,71334.51374,32250.1039,4299.01364,25234664.4733,10196872.34674,804.40517,0.0
Sulawesi Tengah,2019,49477.54325,17203.394210000002,2052.0494799999997,92685.29062,39419.22025,4744.71519,30494965.861849997,10196872.34674,1091.12907,0.0
Sulawesi Tengah,2020,28364.58525,10655.90067,1392.21355,46924.30591,22993.25523,2803.28502,18189682.16793,10196872.34674,822.2874,0.0
Sulawesi Tengah,2021,24148.72617,9431.7076,995.32655,36807.60763,19567.37715,2361.04181,15529273.800649999,10196872.34674,524.01686,0.0
Sulawesi Tengah,2022,26526.40104,10192.30453,1095.38949,43938.90444,21298.97691,2652.42608,16989319.46125,10196872.34674,541.64339,0.0
Sulawesi Tengah,2023,48935.56761,15523.42116,2086.80342,87894.38647,36570.63989,5416.33252,29500269.46152,10196872.34674,931.07086,0.0
Sulawesi Selatan,2014,25302.48722,7767.94103,397.50095999999996,65784.81592,18006.95371243557,255.0572237907356,14111179.584358487,5562883.57462,2188.7661300834825,0.0
Sulawesi Selatan,2015,31202.55469,13924.43992,937.89262,74016.83825,19970.39740774096,559.6850742730355,18645019.049356192,5562883.57462,3162.8709540622967,0.0
Sulawesi Selatan,2016,33554.73874,16719.46925,1492.1405300000001,71140.99557,19396.756068017567,963.5393538984482,20136316.821741402,5562883.57462,4104.250102589003,0.0
Sulawesi Selatan,2017,27761.19866,7755.82813,657.70487,53527.13072,18355.52788330271,645.3835168480331,15644195.99754756,5562883.57462,3569.521611765704,0.0
Sulawesi Selatan,2018,22890.42994,4043.58339,284.04868,46670.4628,15653.19270246514,463.1374425745853,12377527.929040233,5562883.57462,2601.450997873674,0.0
Sulawesi Selatan,2019,29366.78445,3419.63376,303.56251,67424.18031,19512.57377919149,401.2075953757176,14117374.007150432,5562883.57462,2256.47732383962,0.0
Sulawesi Selatan,2020,16667.85073,3561.51445,262.37238,33599.30558,10604.226873670876,342.84389823055415,9248577.730224188,5562883.57462,1778.2269528085767,0.0
Sulawesi Selatan,2021,12382.22726,2414.29107,283.98413,25907.67155,7839.867751415439,153.73174787793096,6894174.579363322,5562883.57462,1512.1417879126293,0.0
Sulawesi Selatan,2022,20662.85995,2670.61595,251.05764,36235.37023,13416.233846195491,284.81596298971,10665252.631261332,5562883.57462,1649.951996462337,0.0
Sulawesi Selatan,2023,41356.01713,3374.1982000000003,443.69074,79194.06695000001,23291.483124780763,599.1162450626501,16886209.76011104,5562883.57462,2528.297403541762,0.0
Sulawesi Tenggara,2014,48258.1456,12074.48662,981.84107,47611.33125,33835.06673,5088.13173,25033996.48733,3081778.36034,690.9253100000001,0.0
Sulawesi Tenggara,2015,49856.96417,16975.19857,1195.0081500000001,48097.23302,37230.97777,5668.47248,28296437.97033,3081778.36034,446.52103,0.0
Sulawesi Tenggara,2016,41412.52227,21049.11869,1351.73436,39632.87829,32288.70566,5419.25463,25226749.29118,3081778.36034,561.24986,0.0
Sulawesi Tenggara,2017,30680.62519,11153.88463,960.7968400000001,29650.55887,22669.87246,4066.04127,18208441.50062,3081778.36034,288.36078000000003,0.0
Sulawesi Tenggara,2018,28600.19694,8224.580899999999,536.18309,28050.4101,20497.58747,3299.3803,15746434.35516,3081778.36034,288.54277,0.0
Sulawesi Tenggara,2019,41994.1758,14222.58478,870.46273,41159.92727,30254.51924,4043.15119,23408067.70055,3081778.36034,467.8853,0.0
