Tahun,Provinsi,Indeks Kualitas Air,Sumber Data,Sumber
2016,Sulawesi Utara,49.52,BPS SLHI 2019,data/raw/klhk_ika/
2017,Sulawesi Utara,54.62,BPS SLHI 2019,data/raw/klhk_ika/
2018,Sulawesi Utara,54.1,BPS SLHI 2019,data/raw/klhk_ika/
2019,Sulawesi Utara,45.48,BPS SLHI 2024,data/raw/klhk_ika/
2020,Sulawesi Utara,50.53,Manual Edit / BPS,data/raw/klhk_ika/
2021,Sulawesi Utara,49.69,Manual Edit / BPS,data/raw/klhk_ika/
2022,Sulawesi Utara,48.24,Manual Edit / BPS,data/raw/klhk_ika/
2023,Sulawesi Utara,52.12,BPS SLHI 2024,data/raw/klhk_ika/
2024,Sulawesi Utara,58.17,BPS SLHI 2025,data/raw/klhk_ika/
2016,Sulawesi Tengah,46.67,BPS SLHI 2019,data/raw/klhk_ika/
2017,Sulawesi Tengah,50.0,BPS SLHI 2019,data/raw/klhk_ika/
2018,Sulawesi Tengah,45.56,BPS SLHI 2019,data/raw/klhk_ika/
2019,Sulawesi Tengah,62.59,BPS SLHI 2024,data/raw/klhk_ika/
2020,Sulawesi Tengah,61.67,BPS SLHI 2024,data/raw/klhk_ika/
2021,Sulawesi Tengah,55.84,BPS SLHI 2024,data/raw/klhk_ika/
2022,Sulawesi Tengah,57.71,BPS SLHI 2024,data/raw/klhk_ika/
2023,Sulawesi Tengah,63.63,BPS SLHI 2024,data/raw/klhk_ika/
2024,Sulawesi Tengah,62.07,BPS SLHI 2025,data/raw/klhk_ika/
2016,Sulawesi Selatan,55.95,BPS SLHI 2019,data/raw/klhk_ika/
2017,Sulawesi Selatan,54.29,BPS SLHI 2019,data/raw/klhk_ika/
2018,Sulawesi Selatan,57.7,BPS SLHI 2019,data/raw/klhk_ika/
2019,Sulawesi Selatan,58.4,BPS SLHI 2024,data/raw/klhk_ika/
2020,Sulawesi Selatan,52.38,BPS SLHI 2024,data/raw/klhk_ika/
2021,Sulawesi Selatan,56.82,BPS SLHI 2024,data/raw/klhk_ika/
2022,Sulawesi Selatan,57.79,BPS SLHI 2024,data/raw/klhk_ika/
2023,Sulawesi Selatan,57.95,BPS SLHI 2024,data/raw/klhk_ika/
2024,Sulawesi Selatan,58.5,BPS SLHI 2025,data/raw/klhk_ika/
2016,Sulawesi Tenggara,52.0,BPS SLHI 2019,data/raw/klhk_ika/
2017,Sulawesi Tenggara,70.0,BPS SLHI 2019,data/raw/klhk_ika/
2018,Sulawesi Tenggara,60.0,BPS SLHI 2019,data/raw/klhk_ika/
2019,Sulawesi Tenggara,50.55,BPS SLHI 2024,data/raw/klhk_ika/
2020,Sulawesi Tenggara,51.6,BPS SLHI 2024,data/raw/klhk_ika/
2021,Sulawesi Tenggara,53.26,BPS SLHI 2024,data/raw/klhk_ika/
2022,Sulawesi Tenggara,56.21,BPS SLHI 2024,data/raw/klhk_ika/
2023,Sulawesi Tenggara,61.28,BPS SLHI 2024,data/raw/klhk_ika/
2024,Sulawesi Tenggara,65.32,BPS SLHI 2025,data/raw/klhk_ika/
2016,Gorontalo,54.0,BPS SLHI 2019,data/raw/klhk_ika/
2017,Gorontalo,48.57,BPS SLHI 2019,data/raw/klhk_ika/
2018,Gorontalo,50.67,BPS SLHI 2019,data/raw/klhk_ika/
2019,Gorontalo,57.2,BPS SLHI 2024,data/raw/klhk_ika/
2020,Gorontalo,53.0,BPS SLHI 2024,data/raw/klhk_ika/
2021,Gorontalo,53.46,BPS SLHI 2024,data/raw/klhk_ika/
2022,Gorontalo,58.07,BPS SLHI 2024,data/raw/klhk_ika/
2023,Gorontalo,58.7,BPS SLHI 2024,data/raw/klhk_ika/
2024,Gorontalo,58.14,BPS SLHI 2025,data/raw/klhk_ika/
2016,Sulawesi Barat,44.16,BPS SLHI 2019,data/raw/klhk_ika/
2017,Sulawesi Barat,56.91,BPS SLHI 2019,data/raw/klhk_ika/
2018,Sulawesi Barat,53.08,BPS SLHI 2019,data/raw/klhk_ika/
2019,Sulawesi Barat,56.15,BPS SLHI 2024,data/raw/klhk_ika/
2020,Sulawesi Barat,52.44,BPS SLHI 2024,data/raw/klhk_ika/
2021,Sulawesi Barat,56.04,BPS SLHI 2024,data/raw/klhk_ika/
2022,Sulawesi Barat,56.41,BPS SLHI 2024,data/raw/klhk_ika/
2023,Sulawesi Barat,58.82,BPS SLHI 2024,data/raw/klhk_ika/
2024,Sulawesi Barat,55.93,BPS SLHI 2025,data/raw/klhk_ika/
