provinsi,tahun,indikator,nilai,satuan,Sumber
Sulawesi Utara,2016,Investasi PMDN - Nilai (Juta Rp),5069.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2017,Investasi PMDN - Nilai (Juta Rp),1488.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2016,Investasi PMDN - Nilai (Juta Rp),1081.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2017,Investasi PMDN - Nilai (Juta Rp),1929.7,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2016,Investasi PMDN - Nilai (Juta Rp),3334.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2017,Investasi PMDN - Nilai (Juta Rp),1969.4,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2016,Investasi PMDN - Nilai (Juta Rp),1794.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2017,Investasi PMDN - Nilai (Juta Rp),3148.7,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2016,Investasi PMDN - Nilai (Juta Rp),2202.5,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2017,Investasi PMDN - Nilai (Juta Rp),888.4,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2016,Investasi PMDN - Nilai (Juta Rp),84.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2017,Investasi PMDN - Nilai (Juta Rp),660.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2018,Investasi PMDN - Nilai (Juta Rp),4320.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2019,Investasi PMDN - Nilai (Juta Rp),8259.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2018,Investasi PMDN - Nilai (Juta Rp),8488.9,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2019,Investasi PMDN - Nilai (Juta Rp),4438.8,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2018,Investasi PMDN - Nilai (Juta Rp),3275.9,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2019,Investasi PMDN - Nilai (Juta Rp),5672.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2018,Investasi PMDN - Nilai (Juta Rp),1603.4,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2019,Investasi PMDN - Nilai (Juta Rp),3827.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2018,Investasi PMDN - Nilai (Juta Rp),2666.8,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2019,Investasi PMDN - Nilai (Juta Rp),844.4,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2018,Investasi PMDN - Nilai (Juta Rp),3144.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2019,Investasi PMDN - Nilai (Juta Rp),1187.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2020,Investasi PMDN - Nilai (Juta Rp),3005.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2021,Investasi PMDN - Nilai (Juta Rp),3480.0,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2020,Investasi PMDN - Nilai (Juta Rp),5261.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2021,Investasi PMDN - Nilai (Juta Rp),3012.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2020,Investasi PMDN - Nilai (Juta Rp),9142.0,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2021,Investasi PMDN - Nilai (Juta Rp),12075.4,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2020,Investasi PMDN - Nilai (Juta Rp),2865.7,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2021,Investasi PMDN - Nilai (Juta Rp),4334.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2020,Investasi PMDN - Nilai (Juta Rp),683.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2021,Investasi PMDN - Nilai (Juta Rp),1004.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2020,Investasi PMDN - Nilai (Juta Rp),252.9,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2021,Investasi PMDN - Nilai (Juta Rp),395.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2022,Investasi PMDN - Nilai (Juta Rp),5042.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2023,Investasi PMDN - Nilai (Juta Rp),7698.2,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2022,Investasi PMDN - Nilai (Juta Rp),3758.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2023,Investasi PMDN - Nilai (Juta Rp),4772.5,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2022,Investasi PMDN - Nilai (Juta Rp),7528.0,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2023,Investasi PMDN - Nilai (Juta Rp),11468.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2022,Investasi PMDN - Nilai (Juta Rp),7596.0,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2023,Investasi PMDN - Nilai (Juta Rp),7734.6,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2022,Investasi PMDN - Nilai (Juta Rp),1113.5,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2023,Investasi PMDN - Nilai (Juta Rp),3960.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2022,Investasi PMDN - Nilai (Juta Rp),1313.3,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2023,Investasi PMDN - Nilai (Juta Rp),2011.1,Juta Rp,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2016,Investasi PMDN - Jumlah Proyek,74.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2017,Investasi PMDN - Jumlah Proyek,57.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2016,Investasi PMDN - Jumlah Proyek,105.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2017,Investasi PMDN - Jumlah Proyek,60.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2016,Investasi PMDN - Jumlah Proyek,365.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2017,Investasi PMDN - Jumlah Proyek,242.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2016,Investasi PMDN - Jumlah Proyek,109.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2017,Investasi PMDN - Jumlah Proyek,62.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2016,Investasi PMDN - Jumlah Proyek,20.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2017,Investasi PMDN - Jumlah Proyek,16.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2016,Investasi PMDN - Jumlah Proyek,14.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2017,Investasi PMDN - Jumlah Proyek,22.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2018,Investasi PMDN - Jumlah Proyek,82.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2019,Investasi PMDN - Jumlah Proyek,225.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2018,Investasi PMDN - Jumlah Proyek,130.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2019,Investasi PMDN - Jumlah Proyek,291.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2018,Investasi PMDN - Jumlah Proyek,318.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2019,Investasi PMDN - Jumlah Proyek,825.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2018,Investasi PMDN - Jumlah Proyek,54.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2019,Investasi PMDN - Jumlah Proyek,172.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2018,Investasi PMDN - Jumlah Proyek,30.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2019,Investasi PMDN - Jumlah Proyek,93.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2018,Investasi PMDN - Jumlah Proyek,20.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2019,Investasi PMDN - Jumlah Proyek,54.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2020,Investasi PMDN - Jumlah Proyek,813.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2021,Investasi PMDN - Jumlah Proyek,792.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2020,Investasi PMDN - Jumlah Proyek,812.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2021,Investasi PMDN - Jumlah Proyek,847.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2020,Investasi PMDN - Jumlah Proyek,1919.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
