nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
ABADI DUA PUTRI,15102100005760005,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2023,6.0
Abadi Nikel Nusantara,38/1/IUP/PMDN/2025,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,4871.0
ABDARA BRM TAMBANG,10042300488750002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,39.63
ACES SELARAS,02200072311130002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2022,19.79
ADE RESKY SEJAHTERA,18/I.03a/PTSP/2020,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. ENREKANG,2021,100.0
ADI RACHMAT MANDIRI,91204028720950017,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,6.35
ADS GLOBAL,01082300839720005,Perusahaan Komanditer (CV),Clay,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,59.42
AFIT LINTAS JAYA,91202048106690003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,67.99
AGRABUDI BARAMULIA MANDIRI,1079/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2022,3940.0
AKSAN RAYA PERKASA,15012300208760006,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,221.27
ALAM QUARRY PRATAMA,18102301146150001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,17.0
ALAM RAYA INDAH,36/DPMPTSP/I/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,196.0
ALAM SUMBER REZEKI,02200063204470007,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU TENGAH,2024,69.85
ALESHA INTI BUMI,30052200659790007,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,40.5
ALESHA INTI BUMI,30052200659790005,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,67.12
ALEXANDRA INTI BUMI,30052200662140004,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,EKSPLORASI,Sulawesi Tenggara,KAB. BOMBANA,2023,86.91
AL FADJRI,10012400169230007,Perusahaan Komanditer (CV),Granodiorit,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE BOLANGO,2024,24.0
ALI MINING KONSTRUKSI,12600005126440003,Perusahaan Perseroan Terbatas (PT),Tanah Urug,EKSPLORASI,Sulawesi Selatan,KAB. MAROS,2023,46.29
ALMHARIG,1839/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2021,2018.0
