nama_perusahaan,provinsi,lokasi_izin,total_luas_ha,luas_amdal_ha,nama_norm,sumber_luas_iup,sumber_luas_amdal,Sumber
ANUGERAH JAYA BUANA,Sulawesi Selatan,KAB. LUWU TIMUR,2800.0,,ANUGERAH JAYA BUANA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CITRA LAMPIA MANDIRI,Sulawesi Selatan,KAB. LUWU TIMUR,2660.0,,CITRA LAMPIA MANDIRI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
DAYA GUNA GEMILANG,Sulawesi Selatan,KAB. LUWU TIMUR,4787.0,,DAYA GUNA GEMILANG,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ERA MARPADOT,Sulawesi Selatan,"KAB. LUWU TIMUR, KAB. KOLAKA UTARA",4301.5,,ERA MARPADOT,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
KAHALA MINERA,Sulawesi Selatan,KAB. LUWU TIMUR,900.0,,KAHALA MINERA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
KOLAKA MINERAL RESOURCES,Sulawesi Selatan,KAB. BONE,2100.0,,KOLAKA MINERAL RESOURCES,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
LINGKE SULAWESI MINERAL,Sulawesi Selatan,KAB. LUWU TIMUR,943.0,,LINGKE SULAWESI MINERAL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
MADUMA ASIH PRATAMA,Sulawesi Selatan,KAB. LUWU TIMUR,7069.0,7069.0,MADUMA ASIH PRATAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
MITRA BERKARYA SEJATI,Sulawesi Selatan,KAB. LUWU TIMUR,3807.0,,MITRA BERKARYA SEJATI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
PARAMOS REZEKI INDAH,Sulawesi Selatan,KAB. LUWU TIMUR,6639.0,6639.0,PARAMOS REZEKI INDAH,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
PONGKERU MINERAL UTAMA,Sulawesi Selatan,KAB. LUWU TIMUR,4252.0,,PONGKERU MINERAL UTAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
PRIMA UTAMA LESTARI,Sulawesi Selatan,KAB. LUWU TIMUR,1419.0,,PRIMA UTAMA LESTARI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
SANROY MITRA SAUDARA,Sulawesi Selatan,KAB. LUWU TIMUR,6378.0,6378.0,SANROY MITRA SAUDARA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
SULAWESI DAMAI MINERAL,Sulawesi Selatan,KAB. LUWU TIMUR,1665.0,,SULAWESI DAMAI MINERAL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
SUMBER WAHAU JAYA,Sulawesi Selatan,KAB. LUWU TIMUR,303.0,,SUMBER WAHAU JAYA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
TAMBORA RAYA,Sulawesi Selatan,KAB. LUWU TIMUR,5082.0,5082.0,TAMBORA RAYA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
TIZAR TIRZIA TRIZARDI,Sulawesi Selatan,KAB. LUWU TIMUR,5668.0,5668.0,TIZAR TIRZIA TRIZARDI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
VIRGO PUSPITA LESTARI,Sulawesi Selatan,KAB. LUWU TIMUR,2698.0,,VIRGO PUSPITA LESTARI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ALASKA DWIPA PERDANA,Sulawesi Tengah,KAB. MOROWALI,480.0,,ALASKA DWIPA PERDANA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
AMANAT SEPUH LESTARI,Sulawesi Tengah,KAB. MOROWALI,2516.0,,AMANAT SEPUH LESTARI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANEKA USAHA CEMERLANG,Sulawesi Tengah,KAB. MOROWALI UTARA,2814.0,,ANEKA USAHA CEMERLANG,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANG AND FANG BROTHER,Sulawesi Tengah,KAB. MOROWALI,775.0,,ANG AND FANG BROTHER,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANUGERAH ARGA PRATAMA,Sulawesi Tengah,KAB. MOROWALI,1855.0,,ANUGERAH ARGA PRATAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANUGERAH BANGUN MAKMUR,Sulawesi Tengah,KAB. BANGGAI,4335.0,,ANUGERAH BANGUN MAKMUR,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANUGERAH BUMI GEMILANG,Sulawesi Tengah,KAB. BANGGAI,4100.0,,ANUGERAH BUMI GEMILANG,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANUGERAH SUMBER BUMI,Sulawesi Tengah,KAB. BANGGAI,199.0,,ANUGERAH SUMBER BUMI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ANUGERAH TOMPIRA NIKEL,Sulawesi Tengah,KAB. BANGGAI,1240.0,,ANUGERAH TOMPIRA NIKEL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ARTHA BUMI MINERAL,Sulawesi Tengah,"KAB. BOMBANA; KAB. MOROWALI, KAB. MOROWALI UTARA",7112.0,7112.0,ARTHA BUMI MINERAL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
AULIA PRIMA PERKASA,Sulawesi Tengah,KAB. MOROWALI UTARA,339.0,,AULIA PRIMA PERKASA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
Abadi Nikel Nusantara,Sulawesi Tengah,KAB. MOROWALI,4871.0,,ABADI NIKEL NUSANTARA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BANGGAI KENCANA PERMAI,Sulawesi Tengah,KAB. BANGGAI,10024.0,30072.0,BANGGAI KENCANA PERMAI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BANGGAI MANDIRI PRATAMA,Sulawesi Tengah,KAB. BANGGAI,2267.0,,BANGGAI MANDIRI PRATAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BHAKTIPUTRA PERSADA NUSANTARA,Sulawesi Tengah,KAB. MOROWALI UTARA,7031.69,7031.69,BHAKTIPUTRA PERSADA NUSANTARA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BIMA CAKRA PERKASA MINERALINDO,Sulawesi Tengah,KAB. MOROWALI,199.0,,BIMA CAKRA PERKASA MINERALINDO,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BINEKA KARYA,Sulawesi Tengah,KAB. MOROWALI,970.0,,BINEKA KARYA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BINTANG SINAR PERKASA,Sulawesi Tengah,KAB. MOROWALI,1867.7,,BINTANG SINAR PERKASA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BINTANGDELAPAN MINERAL,Sulawesi Tengah,KAB. MOROWALI,20765.0,62295.0,BINTANGDELAPAN MINERAL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BRATAMA MERCINDO ABADI,Sulawesi Tengah,KAB. MOROWALI,1199.0,,BRATAMA MERCINDO ABADI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUKIT MAKMUR ISTINDO NIKELTAMA,Sulawesi Tengah,"KAB. MOROWALI, KAB. MOROWALI UTARA",4778.0,,BUKIT MAKMUR ISTINDO NIKELTAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI GEMILANG PERDANA,Sulawesi Tengah,KAB. BANGGAI,198.0,,BUMI GEMILANG PERDANA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI INDAH SULTRA,Sulawesi Tengah,KAB. MOROWALI UTARA,8034.0,8034.0,BUMI INDAH SULTRA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI KALAENA PERSADA,Sulawesi Tengah,KAB. MOROWALI,685.0,,BUMI KALAENA PERSADA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI MAKMUR GEMILANG,Sulawesi Tengah,KAB. BANGGAI,3447.0,,BUMI MAKMUR GEMILANG,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI MATANO INDAH,Sulawesi Tengah,KAB. MOROWALI,32.0,,BUMI MATANO INDAH,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI MOROWALI UTAMA,Sulawesi Tengah,KAB. MOROWALI,1963.0,,BUMI MOROWALI UTAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI PERSADA SURYA PRATAMA,Sulawesi Tengah,KAB. BANGGAI,7941.0,23823.0,BUMI PERSADA SURYA PRATAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
BUMI ROUTA MINING,Sulawesi Tengah,KAB. MOROWALI,5690.0,5690.0,BUMI ROUTA MINING,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
C-GONG PERKASA,Sulawesi Tengah,KAB. BANGGAI,3119.0,,C-GONG PERKASA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CAHAYA GINDA GANDA,Sulawesi Tengah,KAB. MOROWALI,1942.0,,CAHAYA GINDA GANDA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CAHAYA MURNI SEJAHTERA,Sulawesi Tengah,KAB. MOROWALI UTARA,5428.0,10856.0,CAHAYA MURNI SEJAHTERA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CAHYA ADITAMA TEKNINDO,Sulawesi Tengah,KAB. MOROWALI,736.0,,CAHYA ADITAMA TEKNINDO,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CETARA BANGUN PERSADA,Sulawesi Tengah,KAB. MOROWALI,199.0,,CETARA BANGUN PERSADA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CIPTA HUTAMA MARANTI,Sulawesi Tengah,KAB. MOROWALI UTARA,150.28,,CIPTA HUTAMA MARANTI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CITRA ANGGUN BARATAMA,Sulawesi Tengah,KAB. MOROWALI,6080.0,6080.0,CITRA ANGGUN BARATAMA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CITRA MOLAMAHU,Sulawesi Tengah,KAB. BANGGAI,1607.0,,CITRA MOLAMAHU,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
COCOMAN,Sulawesi Tengah,KAB. MOROWALI UTARA,190.0,,COCOMAN,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
CORE MINERAL RESOURCES,Sulawesi Tengah,KAB. BANGGAI,2030.0,,CORE MINERAL RESOURCES,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
DELAPAN INTI POWER,Sulawesi Tengah,KAB. MOROWALI,4941.0,,DELAPAN INTI POWER,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
DUA SAUDARA NIKELINDO,Sulawesi Tengah,KAB. MOROWALI,1535.0,,DUA SAUDARA NIKELINDO,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
EMAS HIJAU JAYA,Sulawesi Tengah,KAB. MOROWALI,3580.0,,EMAS HIJAU JAYA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ENERSTEEL,Sulawesi Tengah,KAB. MOROWALI UTARA,484.0,,ENERSTEEL,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
ERABARU TIMUR LESTARI,Sulawesi Tengah,KAB. MOROWALI,1159.0,,ERABARU TIMUR LESTARI,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
FADLAN MULIA JAYA,Sulawesi Tengah,KAB. MOROWALI,199.0,,FADLAN MULIA JAYA,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
FAJAR PRIMA SUKSES,Sulawesi Tengah,KAB. MOROWALI,640.0,,FAJAR PRIMA SUKSES,Minerbaone/CGS merged (sulawesi_esdm_nikel.csv),AMDAL dorking (amdal_dork_results.csv),sulawesi_esdm_nikel.csv
