wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2014,8.26,621,Persen Penduduk Miskin
Sulawesi Utara,7100,Tidak ada,2015,8.65,621,Persen Penduduk Miskin
Bolaang Mongondow,7101,Tidak ada,2014,8.59,621,Persen Penduduk Miskin
Bolaang Mongondow,7101,Tidak ada,2015,8.63,621,Persen Penduduk Miskin
Minahasa,7102,Tidak ada,2014,8.53,621,Persen Penduduk Miskin
Minahasa,7102,Tidak ada,2015,8.8,621,Persen Penduduk Miskin
Kepulauan Sangihe,7103,Tidak ada,2014,11.84,621,Persen Penduduk Miskin
Kepulauan Sangihe,7103,Tidak ada,2015,12.27,621,Persen Penduduk Miskin
Kepulauan Talaud,7104,Tidak ada,2014,9.92,621,Persen Penduduk Miskin
Kepulauan Talaud,7104,Tidak ada,2015,10.09,621,Persen Penduduk Miskin
Minahasa Selatan,7105,Tidak ada,2014,9.85,621,Persen Penduduk Miskin
Minahasa Selatan,7105,Tidak ada,2015,10.22,621,Persen Penduduk Miskin
Minahasa Utara,7106,Tidak ada,2014,7.75,621,Persen Penduduk Miskin
Minahasa Utara,7106,Tidak ada,2015,8.12,621,Persen Penduduk Miskin
Bolaang Mongondow Utara,7107,Tidak ada,2014,9.27,621,Persen Penduduk Miskin
Bolaang Mongondow Utara,7107,Tidak ada,2015,9.72,621,Persen Penduduk Miskin
Siau Tagulandang Biaro,7108,Tidak ada,2014,11.03,621,Persen Penduduk Miskin
Siau Tagulandang Biaro,7108,Tidak ada,2015,10.93,621,Persen Penduduk Miskin
Minahasa Tenggara,7109,Tidak ada,2014,15.76,621,Persen Penduduk Miskin
Minahasa Tenggara,7109,Tidak ada,2015,15.88,621,Persen Penduduk Miskin
Bolaang Mongondow Selatan,7110,Tidak ada,2014,15.0,621,Persen Penduduk Miskin
Bolaang Mongondow Selatan,7110,Tidak ada,2015,15.17,621,Persen Penduduk Miskin
Bolaang Mongondow Timur,7111,Tidak ada,2014,6.61,621,Persen Penduduk Miskin
Bolaang Mongondow Timur,7111,Tidak ada,2015,6.9,621,Persen Penduduk Miskin
Kota Manado,7171,Tidak ada,2014,4.81,621,Persen Penduduk Miskin
Kota Manado,7171,Tidak ada,2015,5.63,621,Persen Penduduk Miskin
Kota Bitung,7172,Tidak ada,2014,6.34,621,Persen Penduduk Miskin
Kota Bitung,7172,Tidak ada,2015,6.87,621,Persen Penduduk Miskin
Kota Tomohon,7173,Tidak ada,2014,6.32,621,Persen Penduduk Miskin
Kota Tomohon,7173,Tidak ada,2015,6.78,621,Persen Penduduk Miskin
Kota Kotamobagu,7174,Tidak ada,2014,5.75,621,Persen Penduduk Miskin
Kota Kotamobagu,7174,Tidak ada,2015,5.85,621,Persen Penduduk Miskin
Sulawesi Tengah,7200,Tidak ada,2014,13.61,621,Persen Penduduk Miskin
Sulawesi Tengah,7200,Tidak ada,2015,14.66,621,Persen Penduduk Miskin
Banggai Kepulauan,7201,Tidak ada,2014,15.45,621,Persen Penduduk Miskin
Banggai Kepulauan,7201,Tidak ada,2015,16.08,621,Persen Penduduk Miskin
Banggai,7202,Tidak ada,2014,9.27,621,Persen Penduduk Miskin
Banggai,7202,Tidak ada,2015,9.84,621,Persen Penduduk Miskin
Morowali,7203,Tidak ada,2014,14.97,621,Persen Penduduk Miskin
Morowali,7203,Tidak ada,2015,15.8,621,Persen Penduduk Miskin
Poso,7204,Tidak ada,2014,17.09,621,Persen Penduduk Miskin
Poso,7204,Tidak ada,2015,18.16,621,Persen Penduduk Miskin
Donggala,7205,Tidak ada,2014,16.3,621,Persen Penduduk Miskin
Donggala,7205,Tidak ada,2015,18.11,621,Persen Penduduk Miskin
Toli-Toli,7206,Tidak ada,2014,13.14,621,Persen Penduduk Miskin
Toli-Toli,7206,Tidak ada,2015,13.64,621,Persen Penduduk Miskin
Buol,7207,Tidak ada,2014,14.18,621,Persen Penduduk Miskin
Buol,7207,Tidak ada,2015,16.36,621,Persen Penduduk Miskin
Parigi Moutong,7208,Tidak ada,2014,16.6,621,Persen Penduduk Miskin
Parigi Moutong,7208,Tidak ada,2015,18.05,621,Persen Penduduk Miskin
Tojo Una-Una,7209,Tidak ada,2014,18.95,621,Persen Penduduk Miskin
Tojo Una-Una,7209,Tidak ada,2015,18.79,621,Persen Penduduk Miskin
Sigi,7210,Tidak ada,2014,11.63,621,Persen Penduduk Miskin
Sigi,7210,Tidak ada,2015,12.75,621,Persen Penduduk Miskin
Banggai Laut,7211,Tidak ada,2015,17.68,621,Persen Penduduk Miskin
Morowali Utara,7212,Tidak ada,2015,16.91,621,Persen Penduduk Miskin
Kota Palu,7271,Tidak ada,2014,7.05,621,Persen Penduduk Miskin
Kota Palu,7271,Tidak ada,2015,7.42,621,Persen Penduduk Miskin
Sulawesi Selatan,7300,Tidak ada,2014,9.54,621,Persen Penduduk Miskin
Sulawesi Selatan,7300,Tidak ada,2015,9.39,621,Persen Penduduk Miskin
Kepulauan Selayar,7301,Tidak ada,2014,13.13,621,Persen Penduduk Miskin
Kepulauan Selayar,7301,Tidak ada,2015,12.94,621,Persen Penduduk Miskin
Bulukumba,7302,Tidak ada,2014,8.37,621,Persen Penduduk Miskin
Bulukumba,7302,Tidak ada,2015,8.15,621,Persen Penduduk Miskin
Bantaeng,7303,Tidak ada,2014,9.68,621,Persen Penduduk Miskin
Bantaeng,7303,Tidak ada,2015,9.53,621,Persen Penduduk Miskin
Jeneponto,7304,Tidak ada,2014,15.31,621,Persen Penduduk Miskin
Jeneponto,7304,Tidak ada,2015,15.18,621,Persen Penduduk Miskin
Takalar,7305,Tidak ada,2014,9.62,621,Persen Penduduk Miskin
Takalar,7305,Tidak ada,2015,9.48,621,Persen Penduduk Miskin
Gowa,7306,Tidak ada,2014,8.0,621,Persen Penduduk Miskin
Gowa,7306,Tidak ada,2015,8.27,621,Persen Penduduk Miskin
Sinjai,7307,Tidak ada,2014,9.56,621,Persen Penduduk Miskin
Sinjai,7307,Tidak ada,2015,9.26,621,Persen Penduduk Miskin
Maros,7308,Tidak ada,2014,11.93,621,Persen Penduduk Miskin
Maros,7308,Tidak ada,2015,11.85,621,Persen Penduduk Miskin
Pangkajene Dan Kepulauan,7309,Tidak ada,2014,16.38,621,Persen Penduduk Miskin
Pangkajene Dan Kepulauan,7309,Tidak ada,2015,16.7,621,Persen Penduduk Miskin
Barru,7310,Tidak ada,2014,9.74,621,Persen Penduduk Miskin
Barru,7310,Tidak ada,2015,9.42,621,Persen Penduduk Miskin
Bone,7311,Tidak ada,2014,10.88,621,Persen Penduduk Miskin
Bone,7311,Tidak ada,2015,10.12,621,Persen Penduduk Miskin
Soppeng,7312,Tidak ada,2014,8.76,621,Persen Penduduk Miskin
Soppeng,7312,Tidak ada,2015,8.36,621,Persen Penduduk Miskin
Wajo,7313,Tidak ada,2014,7.74,621,Persen Penduduk Miskin
Wajo,7313,Tidak ada,2015,7.66,621,Persen Penduduk Miskin
Sidenreng Rappang,7314,Tidak ada,2014,5.82,621,Persen Penduduk Miskin
Sidenreng Rappang,7314,Tidak ada,2015,5.55,621,Persen Penduduk Miskin
Pinrang,7315,Tidak ada,2014,8.2,621,Persen Penduduk Miskin
Pinrang,7315,Tidak ada,2015,8.34,621,Persen Penduduk Miskin
Enrekang,7316,Tidak ada,2014,13.9,621,Persen Penduduk Miskin
Enrekang,7316,Tidak ada,2015,13.82,621,Persen Penduduk Miskin
Luwu,7317,Tidak ada,2014,13.95,621,Persen Penduduk Miskin
Luwu,7317,Tidak ada,2015,13.89,621,Persen Penduduk Miskin
Tana Toraja,7318,Tidak ada,2014,12.77,621,Persen Penduduk Miskin
Tana Toraja,7318,Tidak ada,2015,12.46,621,Persen Penduduk Miskin
Luwu Utara,7322,Tidak ada,2014,14.31,621,Persen Penduduk Miskin
Luwu Utara,7322,Tidak ada,2015,13.87,621,Persen Penduduk Miskin
Luwu Timur,7325,Tidak ada,2014,7.67,621,Persen Penduduk Miskin
Luwu Timur,7325,Tidak ada,2015,7.18,621,Persen Penduduk Miskin
Toraja Utara,7326,Tidak ada,2014,15.1,621,Persen Penduduk Miskin
Toraja Utara,7326,Tidak ada,2015,15.19,621,Persen Penduduk Miskin
Kota Makassar,7371,Tidak ada,2014,4.48,621,Persen Penduduk Miskin
Kota Makassar,7371,Tidak ada,2015,4.38,621,Persen Penduduk Miskin
Kota Parepare,7372,Tidak ada,2014,5.88,621,Persen Penduduk Miskin
Kota Parepare,7372,Tidak ada,2015,6.08,621,Persen Penduduk Miskin
Kota Palopo,7373,Tidak ada,2014,8.8,621,Persen Penduduk Miskin
Kota Palopo,7373,Tidak ada,2015,8.58,621,Persen Penduduk Miskin
Sulawesi Tenggara,7400,Tidak ada,2014,12.77,621,Persen Penduduk Miskin
Sulawesi Tenggara,7400,Tidak ada,2015,12.9,621,Persen Penduduk Miskin
Buton,7401,Tidak ada,2014,14.31,621,Persen Penduduk Miskin
Buton,7401,Tidak ada,2015,13.75,621,Persen Penduduk Miskin
Muna,7402,Tidak ada,2014,14.46,621,Persen Penduduk Miskin
Muna,7402,Tidak ada,2015,15.45,621,Persen Penduduk Miskin
Konawe,7403,Tidak ada,2014,15.47,621,Persen Penduduk Miskin
Konawe,7403,Tidak ada,2015,16.09,621,Persen Penduduk Miskin
Kolaka,7404,Tidak ada,2014,14.99,621,Persen Penduduk Miskin
Kolaka,7404,Tidak ada,2015,14.68,621,Persen Penduduk Miskin
Konawe Selatan,7405,Tidak ada,2014,11.6,621,Persen Penduduk Miskin
Konawe Selatan,7405,Tidak ada,2015,11.58,621,Persen Penduduk Miskin
Bombana,7406,Tidak ada,2014,13.2,621,Persen Penduduk Miskin
Bombana,7406,Tidak ada,2015,12.55,621,Persen Penduduk Miskin
Wakatobi,7407,Tidak ada,2014,16.27,621,Persen Penduduk Miskin
Wakatobi,7407,Tidak ada,2015,16.88,621,Persen Penduduk Miskin
Kolaka Utara,7408,Tidak ada,2014,16.1,621,Persen Penduduk Miskin
Kolaka Utara,7408,Tidak ada,2015,16.53,621,Persen Penduduk Miskin
Buton Utara,7409,Tidak ada,2014,16.35,621,Persen Penduduk Miskin
Buton Utara,7409,Tidak ada,2015,15.86,621,Persen Penduduk Miskin
Konawe Utara,7410,Tidak ada,2014,10.15,621,Persen Penduduk Miskin
Konawe Utara,7410,Tidak ada,2015,9.97,621,Persen Penduduk Miskin
Kolaka Timur,7411,Tidak ada,2015,15.57,621,Persen Penduduk Miskin
Konawe Kepulauan,7412,Tidak ada,2015,16.73,621,Persen Penduduk Miskin
Kota Kendari,7471,Tidak ada,2014,5.56,621,Persen Penduduk Miskin
Kota Kendari,7471,Tidak ada,2015,5.59,621,Persen Penduduk Miskin
Kota Baubau,7472,Tidak ada,2014,9.25,621,Persen Penduduk Miskin
Kota Baubau,7472,Tidak ada,2015,9.24,621,Persen Penduduk Miskin
Gorontalo,7500,Tidak ada,2014,17.41,621,Persen Penduduk Miskin
Gorontalo,7500,Tidak ada,2015,18.32,621,Persen Penduduk Miskin
Boalemo,7501,Tidak ada,2014,20.79,621,Persen Penduduk Miskin
Boalemo,7501,Tidak ada,2015,21.67,621,Persen Penduduk Miskin
Gorontalo,7502,Tidak ada,2014,21.05,621,Persen Penduduk Miskin
Gorontalo,7502,Tidak ada,2015,21.8,621,Persen Penduduk Miskin
Pohuwato,7503,Tidak ada,2014,20.69,621,Persen Penduduk Miskin
Pohuwato,7503,Tidak ada,2015,22.43,621,Persen Penduduk Miskin
Bone Bolango,7504,Tidak ada,2014,16.68,621,Persen Penduduk Miskin
Bone Bolango,7504,Tidak ada,2015,18.49,621,Persen Penduduk Miskin
Gorontalo Utara,7505,Tidak ada,2014,18.34,621,Persen Penduduk Miskin
Gorontalo Utara,7505,Tidak ada,2015,18.93,621,Persen Penduduk Miskin
Kota Gorontalo,7571,Tidak ada,2014,5.85,621,Persen Penduduk Miskin
Kota Gorontalo,7571,Tidak ada,2015,6.05,621,Persen Penduduk Miskin
Sulawesi Barat,7600,Tidak ada,2014,12.05,621,Persen Penduduk Miskin
Sulawesi Barat,7600,Tidak ada,2015,12.4,621,Persen Penduduk Miskin
Majene,7601,Tidak ada,2014,15.05,621,Persen Penduduk Miskin
Majene,7601,Tidak ada,2015,15.57,621,Persen Penduduk Miskin
Polewali Mandar,7602,Tidak ada,2014,17.79,621,Persen Penduduk Miskin
Polewali Mandar,7602,Tidak ada,2015,18.22,621,Persen Penduduk Miskin
Mamasa,7603,Tidak ada,2014,13.82,621,Persen Penduduk Miskin
Mamasa,7603,Tidak ada,2015,14.71,621,Persen Penduduk Miskin
Mamuju,7604,Tidak ada,2014,6.72,621,Persen Penduduk Miskin
Mamuju,7604,Tidak ada,2015,6.7,621,Persen Penduduk Miskin
Mamuju Utara,7605,Tidak ada,2014,4.65,621,Persen Penduduk Miskin
Mamuju Utara,7605,Tidak ada,2015,4.99,621,Persen Penduduk Miskin
Mamuju Tengah,7606,Tidak ada,2015,6.86,621,Persen Penduduk Miskin
Sulawesi Utara,7100,Tidak ada,2016,8.34,621,Persen Penduduk Miskin
Sulawesi Utara,7100,Tidak ada,2017,8.1,621,Persen Penduduk Miskin
Bolaang Mongondow,7101,Tidak ada,2016,8.34,621,Persen Penduduk Miskin
Bolaang Mongondow,7101,Tidak ada,2017,8.02,621,Persen Penduduk Miskin
Minahasa,7102,Tidak ada,2016,8.36,621,Persen Penduduk Miskin
Minahasa,7102,Tidak ada,2017,7.9,621,Persen Penduduk Miskin
Kepulauan Sangihe,7103,Tidak ada,2016,12.28,621,Persen Penduduk Miskin
Kepulauan Sangihe,7103,Tidak ada,2017,11.8,621,Persen Penduduk Miskin
Kepulauan Talaud,7104,Tidak ada,2016,10.29,621,Persen Penduduk Miskin
Kepulauan Talaud,7104,Tidak ada,2017,9.77,621,Persen Penduduk Miskin
Minahasa Selatan,7105,Tidak ada,2016,9.92,621,Persen Penduduk Miskin
Minahasa Selatan,7105,Tidak ada,2017,9.78,621,Persen Penduduk Miskin
Minahasa Utara,7106,Tidak ada,2016,7.9,621,Persen Penduduk Miskin
Minahasa Utara,7106,Tidak ada,2017,7.46,621,Persen Penduduk Miskin
Bolaang Mongondow Utara,7107,Tidak ada,2016,9.38,621,Persen Penduduk Miskin
Bolaang Mongondow Utara,7107,Tidak ada,2017,8.89,621,Persen Penduduk Miskin
Siau Tagulandang Biaro,7108,Tidak ada,2016,10.58,621,Persen Penduduk Miskin
Siau Tagulandang Biaro,7108,Tidak ada,2017,10.33,621,Persen Penduduk Miskin
Minahasa Tenggara,7109,Tidak ada,2016,14.71,621,Persen Penduduk Miskin
Minahasa Tenggara,7109,Tidak ada,2017,14.08,621,Persen Penduduk Miskin
Bolaang Mongondow Selatan,7110,Tidak ada,2016,14.85,621,Persen Penduduk Miskin
Bolaang Mongondow Selatan,7110,Tidak ada,2017,14.16,621,Persen Penduduk Miskin
Bolaang Mongondow Timur,7111,Tidak ada,2016,6.77,621,Persen Penduduk Miskin
Bolaang Mongondow Timur,7111,Tidak ada,2017,6.2,621,Persen Penduduk Miskin
Kota Manado,7171,Tidak ada,2016,5.24,621,Persen Penduduk Miskin
Kota Manado,7171,Tidak ada,2017,5.46,621,Persen Penduduk Miskin
Kota Bitung,7172,Tidak ada,2016,6.57,621,Persen Penduduk Miskin
Kota Bitung,7172,Tidak ada,2017,6.62,621,Persen Penduduk Miskin
Kota Tomohon,7173,Tidak ada,2016,6.56,621,Persen Penduduk Miskin
Kota Tomohon,7173,Tidak ada,2017,6.47,621,Persen Penduduk Miskin
Kota Kotamobagu,7174,Tidak ada,2016,6.01,621,Persen Penduduk Miskin
Kota Kotamobagu,7174,Tidak ada,2017,5.9,621,Persen Penduduk Miskin
Sulawesi Tengah,7200,Tidak ada,2016,14.45,621,Persen Penduduk Miskin
Sulawesi Tengah,7200,Tidak ada,2017,14.14,621,Persen Penduduk Miskin
Banggai Kepulauan,7201,Tidak ada,2016,16.18,621,Persen Penduduk Miskin
Banggai Kepulauan,7201,Tidak ada,2017,15.92,621,Persen Penduduk Miskin
Banggai,7202,Tidak ada,2016,9.47,621,Persen Penduduk Miskin
Banggai,7202,Tidak ada,2017,9.2,621,Persen Penduduk Miskin
Morowali,7203,Tidak ada,2016,15.13,621,Persen Penduduk Miskin
Morowali,7203,Tidak ada,2017,14.55,621,Persen Penduduk Miskin
Poso,7204,Tidak ada,2016,17.71,621,Persen Penduduk Miskin
Poso,7204,Tidak ada,2017,17.16,621,Persen Penduduk Miskin
Donggala,7205,Tidak ada,2016,18.59,621,Persen Penduduk Miskin
Donggala,7205,Tidak ada,2017,18.17,621,Persen Penduduk Miskin
Toli-Toli,7206,Tidak ada,2016,13.47,621,Persen Penduduk Miskin
Toli-Toli,7206,Tidak ada,2017,13.3,621,Persen Penduduk Miskin
Buol,7207,Tidak ada,2016,16.68,621,Persen Penduduk Miskin
Buol,7207,Tidak ada,2017,16.65,621,Persen Penduduk Miskin
Parigi Moutong,7208,Tidak ada,2016,17.8,621,Persen Penduduk Miskin
Parigi Moutong,7208,Tidak ada,2017,17.55,621,Persen Penduduk Miskin
Tojo Una-Una,7209,Tidak ada,2016,18.56,621,Persen Penduduk Miskin
Tojo Una-Una,7209,Tidak ada,2017,18.15,621,Persen Penduduk Miskin
Sigi,7210,Tidak ada,2016,12.76,621,Persen Penduduk Miskin
Sigi,7210,Tidak ada,2017,12.66,621,Persen Penduduk Miskin
Banggai Laut,7211,Tidak ada,2016,16.6,621,Persen Penduduk Miskin
Banggai Laut,7211,Tidak ada,2017,16.17,621,Persen Penduduk Miskin
Morowali Utara,7212,Tidak ada,2016,16.07,621,Persen Penduduk Miskin
Morowali Utara,7212,Tidak ada,2017,15.73,621,Persen Penduduk Miskin
Kota Palu,7271,Tidak ada,2016,7.06,621,Persen Penduduk Miskin
Kota Palu,7271,Tidak ada,2017,6.74,621,Persen Penduduk Miskin
Sulawesi Selatan,7300,Tidak ada,2016,9.4,621,Persen Penduduk Miskin
Sulawesi Selatan,7300,Tidak ada,2017,9.38,621,Persen Penduduk Miskin
Kepulauan Selayar,7301,Tidak ada,2016,13.11,621,Persen Penduduk Miskin
Kepulauan Selayar,7301,Tidak ada,2017,13.28,621,Persen Penduduk Miskin
Bulukumba,7302,Tidak ada,2016,8.06,621,Persen Penduduk Miskin
Bulukumba,7302,Tidak ada,2017,7.97,621,Persen Penduduk Miskin
Bantaeng,7303,Tidak ada,2016,9.51,621,Persen Penduduk Miskin
Bantaeng,7303,Tidak ada,2017,9.66,621,Persen Penduduk Miskin
Jeneponto,7304,Tidak ada,2016,15.49,621,Persen Penduduk Miskin
Jeneponto,7304,Tidak ada,2017,15.4,621,Persen Penduduk Miskin
Takalar,7305,Tidak ada,2016,9.35,621,Persen Penduduk Miskin
Takalar,7305,Tidak ada,2017,9.24,621,Persen Penduduk Miskin
Gowa,7306,Tidak ada,2016,8.4,621,Persen Penduduk Miskin
Gowa,7306,Tidak ada,2017,8.42,621,Persen Penduduk Miskin
Sinjai,7307,Tidak ada,2016,9.41,621,Persen Penduduk Miskin
Sinjai,7307,Tidak ada,2017,9.24,621,Persen Penduduk Miskin
Maros,7308,Tidak ada,2016,11.41,621,Persen Penduduk Miskin
Maros,7308,Tidak ada,2017,11.14,621,Persen Penduduk Miskin
Pangkajene Dan Kepulauan,7309,Tidak ada,2016,16.22,621,Persen Penduduk Miskin
Pangkajene Dan Kepulauan,7309,Tidak ada,2017,16.22,621,Persen Penduduk Miskin
Barru,7310,Tidak ada,2016,9.45,621,Persen Penduduk Miskin
Barru,7310,Tidak ada,2017,9.71,621,Persen Penduduk Miskin
Bone,7311,Tidak ada,2016,10.07,621,Persen Penduduk Miskin
Bone,7311,Tidak ada,2017,10.28,621,Persen Penduduk Miskin
Soppeng,7312,Tidak ada,2016,8.45,621,Persen Penduduk Miskin
Soppeng,7312,Tidak ada,2017,8.29,621,Persen Penduduk Miskin
Wajo,7313,Tidak ada,2016,7.47,621,Persen Penduduk Miskin
Wajo,7313,Tidak ada,2017,7.38,621,Persen Penduduk Miskin
Sidenreng Rappang,7314,Tidak ada,2016,5.45,621,Persen Penduduk Miskin
Sidenreng Rappang,7314,Tidak ada,2017,5.32,621,Persen Penduduk Miskin
Pinrang,7315,Tidak ada,2016,8.48,621,Persen Penduduk Miskin
Pinrang,7315,Tidak ada,2017,8.46,621,Persen Penduduk Miskin
Enrekang,7316,Tidak ada,2016,13.41,621,Persen Penduduk Miskin
Enrekang,7316,Tidak ada,2017,13.16,621,Persen Penduduk Miskin
Luwu,7317,Tidak ada,2016,14.35,621,Persen Penduduk Miskin
Luwu,7317,Tidak ada,2017,14.01,621,Persen Penduduk Miskin
Tana Toraja,7318,Tidak ada,2016,12.36,621,Persen Penduduk Miskin
Tana Toraja,7318,Tidak ada,2017,12.62,621,Persen Penduduk Miskin
Luwu Utara,7322,Tidak ada,2016,14.36,621,Persen Penduduk Miskin
Luwu Utara,7322,Tidak ada,2017,14.33,621,Persen Penduduk Miskin
Luwu Timur,7325,Tidak ada,2016,7.52,621,Persen Penduduk Miskin
Luwu Timur,7325,Tidak ada,2017,7.66,621,Persen Penduduk Miskin
Toraja Utara,7326,Tidak ada,2016,14.57,621,Persen Penduduk Miskin
Toraja Utara,7326,Tidak ada,2017,14.41,621,Persen Penduduk Miskin
Kota Makassar,7371,Tidak ada,2016,4.56,621,Persen Penduduk Miskin
Kota Makassar,7371,Tidak ada,2017,4.59,621,Persen Penduduk Miskin
Kota Parepare,7372,Tidak ada,2016,5.73,621,Persen Penduduk Miskin
Kota Parepare,7372,Tidak ada,2017,5.7,621,Persen Penduduk Miskin
Kota Palopo,7373,Tidak ada,2016,8.74,621,Persen Penduduk Miskin
Kota Palopo,7373,Tidak ada,2017,8.78,621,Persen Penduduk Miskin
Sulawesi Tenggara,7400,Tidak ada,2016,12.88,621,Persen Penduduk Miskin
Sulawesi Tenggara,7400,Tidak ada,2017,12.81,621,Persen Penduduk Miskin
Buton,7401,Tidak ada,2016,13.22,621,Persen Penduduk Miskin
Buton,7401,Tidak ada,2017,13.46,621,Persen Penduduk Miskin
Muna,7402,Tidak ada,2016,15.22,621,Persen Penduduk Miskin
Muna,7402,Tidak ada,2017,14.85,621,Persen Penduduk Miskin
Konawe,7403,Tidak ada,2016,16.09,621,Persen Penduduk Miskin
Konawe,7403,Tidak ada,2017,15.65,621,Persen Penduduk Miskin
Kolaka,7404,Tidak ada,2016,15.05,621,Persen Penduduk Miskin
Kolaka,7404,Tidak ada,2017,13.78,621,Persen Penduduk Miskin
Konawe Selatan,7405,Tidak ada,2016,11.36,621,Persen Penduduk Miskin
Konawe Selatan,7405,Tidak ada,2017,11.14,621,Persen Penduduk Miskin
Bombana,7406,Tidak ada,2016,13.06,621,Persen Penduduk Miskin
Bombana,7406,Tidak ada,2017,12.36,621,Persen Penduduk Miskin
Wakatobi,7407,Tidak ada,2016,16.46,621,Persen Penduduk Miskin
Wakatobi,7407,Tidak ada,2017,16.19,621,Persen Penduduk Miskin
Kolaka Utara,7408,Tidak ada,2016,17.11,621,Persen Penduduk Miskin
Kolaka Utara,7408,Tidak ada,2017,16.24,621,Persen Penduduk Miskin
Buton Utara,7409,Tidak ada,2016,15.78,621,Persen Penduduk Miskin
Buton Utara,7409,Tidak ada,2017,15.58,621,Persen Penduduk Miskin
