provinsi,tahun,indikator,nilai,Sumber
Gorontalo,2014,Kasus Diare Dilayani,0,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2014,Kasus Diare Dilayani,0,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2014,Kasus Diare Dilayani,0,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2014,Kasus Diare Dilayani,206494,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2014,Kasus Diare Dilayani,25430,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2014,Kasus Diare Dilayani,0,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2014,Kasus ISPA/Pneumonia,1572,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2014,Kasus ISPA/Pneumonia,243,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2014,Kasus ISPA/Pneumonia,4168,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2014,Kasus ISPA/Pneumonia,7923,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2014,Kasus ISPA/Pneumonia,5081,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2014,Kasus ISPA/Pneumonia,11208,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2014,Kasus Kusta Baru,152,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2014,Kasus Kusta Baru,199,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2014,Kasus Kusta Baru,1143,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2014,Kasus Kusta Baru,269,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2014,Kasus Kusta Baru,268,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2014,Kasus Kusta Baru,349,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2014,Kasus Malaria Positif,949,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2014,Kasus Malaria Positif,325,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2014,Kasus Malaria Positif,800,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2014,Kasus Malaria Positif,2282,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2014,Kasus Malaria Positif,1124,nasional_kesehatan_detail_2014_2024.csv
