ID_Konflik,Provinsi,Judul_Kasus,Sektor,Deskripsi_Singkat,URL_Sumber,Sumber
5,Sulawesi Tengah,Konflik Tenurial di Kawasan Suaka Margasatwa Karang Gading,Hutan Lindung,"Terjadi konflik tenurial antara dua Kelompok Tani Hutan di Suaka Margasatwa (SM) Karang Gading dan Langkat Timur Laut di Desa Paluh Kurau, Kecamatan Hamparan Perak, Kabupaten Deli Serdang",https://tanahkita.id/data/data/konflik/detil/cDd2RGZDcnoycTA,data/raw/konflik_kpa_ylbhi_tanahkita/
20,Sulawesi Utara,Program Pembangunan KEK Bitung Dinilai Abaikan Hak-Hak Masyarakat,Kawasan Industri,"Penggusuran tempat tinggal terjadi kepada sekitar 500 kepala keluarga di Kelurahan Tanjung Merah, Kecamatan Matuari, Kota Bitung, Sulawesi Utara atas nama Pembangunan KEK",https://tanahkita.id/data/data/konflik/detil/Z2Z4MTVFeS1YZjA,data/raw/konflik_kpa_ylbhi_tanahkita/
38,Sulawesi Tengah,"Dua kelompok Warga di Kabupaten Mamuju Tengah (Mateng), Sulawesi Barat (Sulbar) bentrok lantaran memperebutkan lahan sawit. Insiden itu menewaskan 1 orang dan 4 lainnya luka-luka.",Perkebunan,"Dua kelompok Warga di Kabupaten Mamuju Tengah (Mateng), Sulawesi Barat (Sulbar) bentrok lantaran memperebutkan lahan sawit. Insiden itu menewaskan 1 orang dan 4 lainnya luka-luka.",https://tanahkita.id/data/data/konflik/detil/cmJTOVY1SEhnbFE,data/raw/konflik_kpa_ylbhi_tanahkita/
40,Gorontalo,Warga Desa Bongo dan PT PG Gorontalo Berebut Lahan,Hutan Produksi,Dugaan penyerobotan lahan milik warga seluas 50 hektar di Desa Bongo IV yang dilakukan oleh pihak PT. PG Gorontalo menjadi perhatian pemerintah daerah setempa,https://tanahkita.id/data/data/konflik/detil/QlNIWWNWNWhMTEU,data/raw/konflik_kpa_ylbhi_tanahkita/
44,Sulawesi Utara,Pembangunan Proyek Strategis Nasional (PSN) proyek PLTU Gorontalo Utara yang dibangun Pt.Gorontalo Listrik Perdana (GLP) masih menyisakan masalah sengketa lahan,Infrastruktur Energi Listrik,Masalah yang sangat penting adalah persoalan lahan yang belum tuntas dibayarkan oleh perusahaan PT.Gorontalo Listrik Perdana (GLP) kepada ahli waris pemilik lahan seluas 76.5 hektar,https://tanahkita.id/data/data/konflik/detil/c1RsM0k3NDFYMnc,data/raw/konflik_kpa_ylbhi_tanahkita/
76,Sulawesi Tenggara,Konflik Rumpun Suka Kecamatan Tinanggea dan Perusahaan Pertambangan PT Ifishdeco,Pertambangan,"Pihak Rumpun Suka menyebut, lokasi Lalo Ndowua di Desa Roraya, Kecamatan Tinanggea, Kabupaten Konawe Selatan (Konsel) yang saat ini masuk kawasan hak guna usaha (HGU) PT Ifishdeco merupakan tanah leluhur. Sehingga pihak rumpun meminta agar perusahaan tersebut tidak melakukan aktivitas pertambangan di sana. Sebelumnya pada  Januari 2012, Ratusan warga di empat desa di kecamatan Tinanggea menggelar aksi. Mereka menolak keberadaan perusahaan tambang PT Ififdeko, karena dianggap berdiri diatas lahan mereka. Aksi ratusan warga tersebut dipusatkan di lokasi PT Ififdeko. Mereka sengaja melakukan aksi dilokasi tersebut karena mengklaim perusahaan tersebut telah mengambil tanah garapan warga dan tidak membayar ganti rugi kepada warga. Apalagi, perusahaan diketahui telah melakukan aktivitas penambangan. Jika tidak, warga mengancam akan menduduki perusahaan tersebut.",https://tanahkita.id/data/data/konflik/detil/QWNjTjB1N3VFU00,data/raw/konflik_kpa_ylbhi_tanahkita/
77,Sulawesi Tengah,Sengketa Lahan Masyarakat Morowali Utara dengan PT Agro Nusa Abadi (ANA),Perkebunan,Masyarakat sekitar telah memiliki lahan tersebut dan mengelolanya sejak 1990-an. Situasi kemudian berubah ketika PT ANA datang menyerobot lahan mereka tanpa sosialisasi terlebih dahulu.,https://tanahkita.id/data/data/konflik/detil/Z2VxSHFPS01YdFk,data/raw/konflik_kpa_ylbhi_tanahkita/
79,Sulawesi Utara,"Ganti Rugi Belum Dibayar, Warga Kembali Blokir Akses Masuk Tol Jatikarya",Infrastruktur,Blokade warga yang dilakukan di segmen Cimanggis Junction-On/Off Ramp Jatikarya dilakukan baik di Jalur A arah Cimanggis menuju Jatikarya dan Jalur B arah Jatikarya menuju Jakarta karena soal pembayaran pembebasan lahan warga yang terdampak proyek tol Cimanggis-Cibitung ruas Cimanggis-Jatikarya.,https://tanahkita.id/data/data/konflik/detil/VU94c2d6d2w2czg,data/raw/konflik_kpa_ylbhi_tanahkita/
111,Sulawesi (Umum),Konflik Kalim PT Tiran Sulawesi dan Desa Margacinta,Transmigrasi,,https://tanahkita.id/data/data/konflik/detil/WUlnSFBCSlJSdEE,data/raw/konflik_kpa_ylbhi_tanahkita/
117,Sulawesi Tenggara,Orang Wawoni dan Ancaman Tambang Nikel,Pertambangan,"Perusahaan tambang nikel mulai memasuki wilayah Pulau Wawoni Sulawesi Tenggara. Sebagian  dari masyarakat ada yang menolak dan ada yang mendukung. Warga yang menolak tak ingin melepas lahan mereka seperti cengkih, pala, jambu mete, dll. Saat perusahaan baru membuka jalan tambang, sumber air warga menjadi keruh. Bagaimana saat perusahaan nikel saat beroperasi yg akan membuat air menjadi keruh dan tercemar.",https://tanahkita.id/data/data/konflik/detil/TjRGdFdtb0E4Mmc,data/raw/konflik_kpa_ylbhi_tanahkita/
118,Sulawesi Tenggara,Konflik Koalisi Selamatkan Pulau Wawoni,Pertambangan,"Keberadaan PT Gema Kreasi Perdana (GKP), anak perusahaan Harita Group, di Pulau Wawonii, Kabupaten Konawe Kepulauan, Sulawesi Tenggara mengancam keselamatan warga, menggusur lahan pertanian-perkebunan dan berpotensi mencemari laut. Keduanya merupakan sumber ekonomi utama dari lebih dari 37.000 jiwa warga di Pulau Wawonii. Tidak hanya mengancam keselamatan dan ruang hidup warga, aktivitas pertambangan yang dilakukan PT GKP adalah ilegal karena banyak ditemukan pelanggaran hukum dan HAM, mulai dari aktivitas tambang di pulau kecil; Izin Pinjam Pakai Kawasan Hutan (IPPKH) yang kadaluarsa; upaya kriminalisasi terhadap puluhan warga penolak tambang; hingga pengerahan aparat keamanan untuk mengintimidasi warga.",https://tanahkita.id/data/data/konflik/detil/SWpxcGxoUThtUVk,data/raw/konflik_kpa_ylbhi_tanahkita/
149,Sulawesi Tenggara,"Konflik antara warga Kabupaten Konawe Kepulauan dengan PT Gema Kreasi Persada, pertambangan",Pertambangan,"Sepanjang tahun 2019, PT GKP melakukan penerobosan lahan kebun warga di Pulau Wawonii. Pohon jambu mete, kelapa, pala, kakao dan pisang yang selama ini diusahakan warga hilang  sia-sia. Lahan tersebut adalah lahan yang telah mereka kelola selama 30 tahun, dan mereka pun tidak pernah absen membayar pajak.",https://tanahkita.id/data/data/konflik/detil/LTQ4QkpxOVhqUkk,data/raw/konflik_kpa_ylbhi_tanahkita/
