tahun,judul,deskripsi,provinsi,lokasi,status,nama_perusahaan,indikasi_fpic,detail_url
2023,Konflik Rumpun Suka Kecamatan Tinanggea dan Perusahaan Pertambangan PT Ifishdeco,"Pihak Rumpun Suka menyebut, lokasi Lalo Ndowua di Desa Roraya, Kecamatan Tinanggea, Kabupaten Konawe Selatan (Konsel) yang saat ini masuk kawasan hak guna usaha (HGU) PT Ifishdeco merupakan tanah leluhur. Sehingga pihak rumpun meminta agar perusahaan tersebut tidak melakukan aktivitas pertambangan di sana. Sebelumnya pada  Januari 2012, Ratusan warga di empat desa di kecamatan Tinanggea menggelar aksi. Mereka menolak keberadaan perusahaan tambang PT Ififdeko, karena dianggap berdiri diatas lahan mereka. Aksi ratusan warga tersebut dipusatkan di lokasi PT Ififdeko. Mereka sengaja melakukan aksi dilokasi tersebut karena mengklaim perusahaan tersebut telah mengambil tanah garapan warga dan tidak membayar ganti rugi kepada warga. Apalagi, perusahaan diketahui telah melakukan aktivitas penambangan. Jika tidak, warga mengancam akan menduduki perusahaan tersebut.",Sulawesi Tenggara,Nikel,Pertambangan,Ifishdeco merupakan tanah leluhur; Ifishdeco; Ififdeko,True,https://tanahkita.id/data/konflik/detil/QWNjTjB1N3VFU00
2022,"Penolakan Tambang di Parigi Moutong, Seorang Warga Tewas Tertembak",Penolakan dilakukan karena warga khawatir sumber air bersih mereka yang masuk ke wilayah konsesi tambang akan hilang. Warga akhirnya berunjuk rasa memblokade jalan dan terjadi penembakan oleh aparat.,Sulawesi Tengah,Emas,Pertambangan,,True,https://tanahkita.id/data/konflik/detil/X0daZnpTRnhsVzQ
2022,Konflik Koalisi Selamatkan Pulau Wawoni,"Keberadaan PT Gema Kreasi Perdana (GKP), anak perusahaan Harita Group, di Pulau Wawonii, Kabupaten Konawe Kepulauan, Sulawesi Tenggara mengancam keselamatan warga, menggusur lahan pertanian-perkebunan dan berpotensi mencemari laut. Keduanya merupakan sumber ekonomi utama dari lebih dari 37.000 jiwa warga di Pulau Wawonii. Tidak hanya mengancam keselamatan dan ruang hidup warga, aktivitas pertambangan yang dilakukan PT GKP adalah ilegal karena banyak ditemukan pelanggaran hukum dan HAM, mulai dari aktivitas tambang di pulau kecil; Izin Pinjam Pakai Kawasan Hutan (IPPKH) yang kadaluarsa; upaya kriminalisasi terhadap puluhan warga penolak tambang; hingga pengerahan aparat keamanan untuk mengintimidasi warga.",Sulawesi Tenggara,Manufacture,Pertambangan,Gema Kreasi Perdana (GKP); GKP adalah ilegal karena banyak,True,https://tanahkita.id/data/konflik/detil/SWpxcGxoUThtUVk
2022,Orang Wawoni dan Ancaman Tambang Nikel,"Perusahaan tambang nikel mulai memasuki wilayah Pulau Wawoni Sulawesi Tenggara. Sebagian  dari masyarakat ada yang menolak dan ada yang mendukung. Warga yang menolak tak ingin melepas lahan mereka seperti cengkih, pala, jambu mete, dll. Saat perusahaan baru membuka jalan tambang, sumber air warga menjadi keruh. Bagaimana saat perusahaan nikel saat beroperasi yg akan membuat air menjadi keruh dan tercemar.",Sulawesi Tenggara,Nikel,Pertambangan,,True,https://tanahkita.id/data/konflik/detil/TjRGdFdtb0E4Mmc
2021,PT.Tambang Mas Sangihe (PT.TMS) ancam keberlangsungan Pulau Sangihe,Tambang PT.TMS ancam kehidupan masyarakat dan keberlangsungan lingkungan. IUP kontrak karya itu disebut tak sesuai UU No 4/2009 Jo UU No.3/2020 tentang Pertambangan Mineral dan Batubara. Izin ini juga bertentangan dengan UU No.7/2007 Jo. UU No 1/2014 tentang WP3K yang melarang kawasan pesisir dan pulau-pulau kecil untuk pertambangan.,Sulawesi Utara,Emas,Pertambangan,,False,https://tanahkita.id/data/konflik/detil/a1A3ckdDVDBzUnc
2019,Aksi pemalangan akses jalan tambang menuju Ake Jira,Praktik penamabangan nikel oleh PT Indonesia Weda bay Industrial Park (IWIP) dan PT Tekindo yang dilakukan di atas hutan yang masih menjadi wilayah untuk masyarakat adat orang tobelo dalam,Sulawesi Utara,Nikel,Pertambangan,Indonesia Weda bay Industrial Park (IWIP) dan PT Tekindo,True,https://tanahkita.id/data/konflik/detil/TFBadEotLVVtQzg
2019,"Konflik antara warga Kabupaten Konawe Kepulauan dengan PT Gema Kreasi Persada, pertambangan","Sepanjang tahun 2019, PT GKP melakukan penerobosan lahan kebun warga di Pulau Wawonii. Pohon jambu mete, kelapa, pala, kakao dan pisang yang selama ini diusahakan warga hilang  sia-sia. Lahan tersebut adalah lahan yang telah mereka kelola selama 30 tahun, dan mereka pun tidak pernah absen membayar pajak.",Sulawesi Tenggara,Nikel,Pertambangan,Gema Kreasi Persada,False,https://tanahkita.id/data/konflik/detil/LTQ4QkpxOVhqUkk
2017,Konflik Nelayan Desa Tamalate dengan Pertambangan Pasir Laut PT. Boskalis dan PT. Jan De Nul,"Pertambangan pasir laut yang dilakukan oleh PT. Boskalis dan PT. Jan De Nul dalam rangka reklamasi menyebabkan rusaknya lingkungan di Desa Tamalate khususnya di pesisir dan lautnya, dan juga menyebabkan terganggunya perekonomian masyarakat.",Sulawesi Selatan,Pasir Laut,Pertambangan,Boskalis dan PT,False,https://tanahkita.id/data/konflik/detil/MmZTaE1rdXUyelE
2017,Konflik Masyarakat Desa Galesong Kota dengan Pertambangan Pasir Laut PT. Boskalis dan PT. Jan De Nul,Masyarakat Desa Galesong Kota yang umumnya berprofesi sebagai nelayan terganggu oleh adanya pertambangan pasir laut yang dilakukan oleh PT. Boskalis dan PT. Jan De Nul sehingga pendapatan yang didapat menjadi berkurang.,Sulawesi Selatan,Pasir Laut,Pertambangan,Boskalis dan PT,False,https://tanahkita.id/data/konflik/detil/YTg4TEhZNG9MMUU
2017,"Operasi PT Baula Petra Buana di Kecamatan Tinanggea, merusak budidaya rumput laut warga","Eksploitasi tambang nikel di Kanowe Selatan, Sulawesi Tenggara, membawa kesengsaraan bagi lingkungan dan masyarakat sekitar. Salah satu,  operasi PT Baula Petra Buana di Kecamatan Tinanggea, dmerusak budidaya rumput laut warga. Gudang ore nikel tepat di bibir pantai dan pelayaran kapal pemuat ore bikin budidaya rumput laut warga rusak dan mati. kerusakan tempat budidaya rumut laut karena banyak ore nikel jatuh ke laut dan pelayaran kapal tongkang pemuat nikel mentah",Sulawesi Tenggara,Nikel,Pertambangan,Baula Petra Buana,True,https://tanahkita.id/data/konflik/detil/cE9rSWNjV082dTQ
