Provinsi,Kawasan/Perusahaan,Jenis Limbah B3,Estimasi Timbulan (Ton/Tahun),Sumber Referensi,Catatan
Sulawesi Tengah,IMIP (Morowali),Slag & Tailing HPAL,12000000,Temuan KLH/BPLH & Laporan AEER (2024-2025),Timbunan tanpa izin mencapai >12 juta ton. Sebagian dimanfaatkan jadi batako (40.000 unit/hari).
Sulawesi Tenggara,VDNI (Konawe) & Sekitarnya,Slag Feronikel,6500000,Data Produksi VDNI & Kajian WALHI,"Tahun 2020 mengolah 7,28 juta ton bijih nikel. Mayoritas industri nikel nasional (13 juta ton slag) berada di wilayah ini."
Sulawesi Selatan,Huadi Nickel Alloy (Bantaeng),Slag EAF,1000000,Kajian JATAM & Akademis (Unhas/BRIN),Volume slag mencapai 90% dari total bahan baku yang diproses di tungku EAF. Dimanfaatkan untuk penahan abrasi.
Sulawesi Tengah,PT Huayue Nickel Cobalt (HNC) - Morowali,Tailing HPAL,7000000,AEER HPAL Report (2024),Hasil ekstraksi PDF. Menghasilkan 7 juta ton tailing dari 70.000 ton MHP pada tahun 2023.
Sulawesi Tengah,PT QMB New Energy Materials - Morowali,Tailing HPAL,5500000,AEER HPAL Report (2024),"Hasil ekstraksi PDF. Menghasilkan 5,5 juta ton tailing dari 55.000 ton MHP pada tahun 2023."
Sulawesi Tengah,PT SCM (Sulawesi Cahaya Mineral),Air Limbah Tambang,800000,AEER HPAL Report (2024),Hasil ekstraksi PDF. Melepaskan lebih dari 800.000 ton air limbah tambang ke Sungai Lalindu pada tahun 2022.
Sulawesi (Unknown),2021-2022PTFIENVIRONMENTALAUDITEXEC,Tailing,"5,500",Unknown (2021-2022PTFIEnvironmentalAuditExec.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi (Unknown),2021-2022PTFIENVIRONMENTALAUDITEXEC,Tailing,"2,496",Unknown (2021-2022PTFIEnvironmentalAuditExec.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,"250,000",Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"Teks: 4. Mill and Concentrator 1. Currently, MP74 Stockpile maximum capacity is 1 million ton (250,000 tonnes at MLA Stockpile and 750,000 tonnes at Amole Stockpile) to support overall concentrate mill process, including oreflow process. The implementation plan to integrate the C1- C2 and C3-C4 lines coul"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,"750,000",Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"Teks: 4. Mill and Concentrator 1. Currently, MP74 Stockpile maximum capacity is 1 million ton (250,000 tonnes at MLA Stockpile and 750,000 tonnes at Amole Stockpile) to support overall concentrate mill process, including oreflow process. The implementation plan to integrate the C1- C2 and C3-C4 lines coul"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 4,000 mg/L (Konsentrasi)] Teks: r from various underground mining operations is directed to the AB tunnels or pumped to the Amole Drift for use in the mill. Water exiting the AB tunnels is directed to sediment traps then subsequently discharged to surface waters which mix with the tailings discharged to the ModADA. The water quali"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 10,000 mg/L (Konsentrasi)] Teks: r from various underground mining operations is directed to the AB tunnels or pumped to the Amole Drift for use in the mill. Water exiting the AB tunnels is directed to sediment traps then subsequently discharged to surface waters which mix with the tailings discharged to the ModADA. The water quali"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 15,000 mg/L (Konsentrasi)] Teks: onstruction of flow diversion structures as an alternative to cross levees; b) utilization of tailings to support national strategic projects; c) trial of reclamation island construction for enhanced tailings utilization; and d) online monitoring of tailings management roadmap implementation. Follow"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 500.82 Ha (Area)] Teks: cture of reclamation performance over time and to provide a foundation for improving future reclamation methods and strategies. Elsewhere, in the Ajkwa estuary, reclamation e(cid:431)orts have included mangrove planting using Rhizophora mucronata on tailings substrates, in line with technical approv"
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 516.35 Ha (Area)] Teks: cture of reclamation performance over time and to provide a foundation for improving future reclamation methods and strategies. Elsewhere, in the Ajkwa estuary, reclamation e(cid:431)orts have included mangrove planting using Rhizophora mucronata on tailings substrates, in line with technical approv"
