provinsi,tahun,pad_juta_rupiah
Gorontalo,2015,289.55715999999995
Gorontalo,2016,310.63062
Gorontalo,2017,348.26767
Gorontalo,2018,384.43531
Gorontalo,2019,436.27245
Sulawesi Barat,2010,610378.11
Sulawesi Barat,2011,718871.064
Sulawesi Barat,2012,959029.569
Sulawesi Barat,2013,1073860.195
Sulawesi Barat,2014,1240241.991
Sulawesi Barat,2015,1473749.82
Sulawesi Barat,2016,1706336.865
Sulawesi Barat,2017,1831985.569
Sulawesi Barat,2018,1819085.596
Sulawesi Selatan,2016,981044.55
Sulawesi Selatan,2017,1146674.828
Sulawesi Selatan,2018,1253804.978
Sulawesi Selatan,2019,1286006.93
Sulawesi Selatan,2020,1172932.102
Sulawesi Selatan,2021,1311932.122
Sulawesi Utara,2017,26528064.742
Sulawesi Utara,2018,26105304.568
Sulawesi Utara,2019,5171610.422
Sulawesi Utara,2020,23772948.384
Sulawesi Utara,2021,24278474.134
Sulawesi Utara,2022,23946275.394
Sulawesi Utara,2023,12563233.9
