provinsi,tahun,jenis_pendapatan,nilai_juta_rupiah
Gorontalo,2015,Bagi Hasil Pajak dan Bukan Pajak,20.766779999999997
Gorontalo,2015,Dana Alokasi Khusus,67.88396
Gorontalo,2015,Dana Alokasi Umum,845.39565
Gorontalo,2015,Dana Penyesuaian & Otonomi Khusus,165.06817999999998
Gorontalo,2015,Dana Perimbangan,934.04639
Gorontalo,2015,Hasil BUMD,3.18128
Gorontalo,2015,Hibah,0.65249
Gorontalo,2015,Lain-lain PAD Yang Sah,21.3074
Gorontalo,2015,Lain-lain Pendapatan Yang Sah,165.72067
Gorontalo,2015,Pajak Daerah,260.99626
Gorontalo,2015,Retribusi Daerah,4.07222
Gorontalo,2016,Bagi Hasil Pajak dan Bukan Pajak,27.93924
Gorontalo,2016,Dana Alokasi Khusus,319.99516
Gorontalo,2016,Dana Alokasi Umum,884.79775
Gorontalo,2016,Dana Penyesuaian & Otonomi Khusus,39.80424
Gorontalo,2016,Dana Perimbangan,1232.7321499999998
Gorontalo,2016,Hasil BUMD,2.10131
Gorontalo,2016,Hibah,0.54801
Gorontalo,2016,Lain-lain PAD Yang Sah,21.8535
Gorontalo,2016,Lain-lain Pendapatan Yang Sah,40.35225
Gorontalo,2016,Pajak Daerah,280.59454999999997
Gorontalo,2016,Retribusi Daerah,6.08126
Gorontalo,2017,Bagi Hasil Pajak dan Bukan Pajak,26.00771
Gorontalo,2017,Dana Alokasi Khusus,393.15769
Gorontalo,2017,Dana Alokasi Umum,997.59887
Gorontalo,2017,Dana Penyesuaian & Otonomi Khusus,7.5
Gorontalo,2017,Dana Perimbangan,1416.76428
Gorontalo,2017,Hasil BUMD,2.77205
Gorontalo,2017,Hibah,0.51537
Gorontalo,2017,Lain-lain PAD Yang Sah,30.2625
Gorontalo,2017,Lain-lain Pendapatan Yang Sah,8.01537
Gorontalo,2017,Pajak Daerah,309.67136999999997
Gorontalo,2017,Retribusi Daerah,5.5617600000000005
Gorontalo,2018,Bagi Hasil Pajak dan Bukan Pajak,21.62042
Gorontalo,2018,Dana Alokasi Khusus,369.63703000000004
Gorontalo,2018,Dana Alokasi Umum,1006.92471
Gorontalo,2018,Dana Penyesuaian & Otonomi Khusus,17.0
Gorontalo,2018,Dana Perimbangan,1398.1821499999999
