wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Harga Berlaku,2014,33800.17,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2015,37786.58,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2014,27805.52,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2015,29196.47,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2014,31874.69,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2015,37394.89,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2014,25316.27,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2015,28778.64,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2014,35344.88,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2015,39950.48,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2014,27749.47,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2015,29435.92,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2014,32115.83,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2015,35092.25,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2014,27896.05,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2015,29202.7,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2014,22582.5,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2015,25143.39,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2014,18622.44,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2015,19474.13,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2014,23415.05,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2015,25728.07,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2014,19232.05,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2015,20250.51,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2016,41246.25,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2017,44744.2,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2016,30679.97,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2017,32297.08,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2016,41082.04,288,PDRB Per Kapita
