provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2014,A,"Pertanian, Kehutanan, dan Perikanan",9511.57,37.75
Gorontalo,2014,B,Pertambangan dan Penggalian,331.42,1.32
Gorontalo,2014,C,Industri Pengolahan,1051.64,4.17
Gorontalo,2014,D,Pengadaan Listrik dan Gas,11.71,0.05
Gorontalo,2014,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",12.76,0.05
Gorontalo,2014,F,Konstruksi,2971.32,11.79
Gorontalo,2014,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,2624.85,10.42
Gorontalo,2014,H,Transportasi dan Pergudangan,1535.45,6.09
Gorontalo,2014,I,Penyediaan Akomodasi dan Makan Minum,540.44,2.15
Gorontalo,2014,J,Informasi dan Komunikasi,631.1,2.5
Gorontalo,2014,K,Jasa Keuangan dan Asuransi,930.75,3.69
Gorontalo,2014,L,Real Estat,463.94,1.84
Gorontalo,2014,"M,N",Jasa Perusahaan,24.3,0.1
Gorontalo,2014,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2214.14,8.79
Gorontalo,2014,P,Jasa Pendidikan,1051.89,4.18
Gorontalo,2014,Q,Jasa Kesehatan dan Kegiatan Sosial,862.82,3.42
Gorontalo,2014,"R,S,T,U",Jasa Lainnya,423.69,1.68
Gorontalo,2015,A,"Pertanian, Kehutanan, dan Perikanan",10542.86,37.0
Gorontalo,2015,B,Pertambangan dan Penggalian,375.72,1.32
Gorontalo,2015,C,Industri Pengolahan,1191.32,4.18
Gorontalo,2015,D,Pengadaan Listrik dan Gas,10.08,0.04
Gorontalo,2015,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",14.01,0.05
Gorontalo,2015,F,Konstruksi,3525.79,12.37
Gorontalo,2015,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,2997.64,10.52
Gorontalo,2015,H,Transportasi dan Pergudangan,1790.68,6.28
Gorontalo,2015,I,Penyediaan Akomodasi dan Makan Minum,639.59,2.24
Gorontalo,2015,J,Informasi dan Komunikasi,721.78,2.53
Gorontalo,2015,K,Jasa Keuangan dan Asuransi,1075.65,3.78
Gorontalo,2015,L,Real Estat,541.92,1.9
Gorontalo,2015,"M,N",Jasa Perusahaan,28.07,0.1
Gorontalo,2015,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2358.85,8.28
Gorontalo,2015,P,Jasa Pendidikan,1186.51,4.16
Gorontalo,2015,Q,Jasa Kesehatan dan Kegiatan Sosial,1014.32,3.56
Gorontalo,2015,"R,S,T,U",Jasa Lainnya,478.63,1.68
Gorontalo,2016,A,"Pertanian, Kehutanan, dan Perikanan",11799.31,37.22
Gorontalo,2016,B,Pertambangan dan Penggalian,380.96,1.2
Gorontalo,2016,C,Industri Pengolahan,1333.94,4.21
Gorontalo,2016,D,Pengadaan Listrik dan Gas,12.99,0.04
Gorontalo,2016,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",16.94,0.05
Gorontalo,2016,F,Konstruksi,3820.28,12.05
Gorontalo,2016,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3481.16,10.98
Gorontalo,2016,H,Transportasi dan Pergudangan,1973.41,6.23
Gorontalo,2016,I,Penyediaan Akomodasi dan Makan Minum,720.13,2.27
Gorontalo,2016,J,Informasi dan Komunikasi,828.56,2.61
Gorontalo,2016,K,Jasa Keuangan dan Asuransi,1313.86,4.14
Gorontalo,2016,L,Real Estat,617.52,1.95
Gorontalo,2016,"M,N",Jasa Perusahaan,31.2,0.1
Gorontalo,2016,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2422.5,7.64
Gorontalo,2016,P,Jasa Pendidikan,1288.64,4.07
Gorontalo,2016,Q,Jasa Kesehatan dan Kegiatan Sosial,1142.24,3.6
Gorontalo,2016,"R,S,T,U",Jasa Lainnya,513.92,1.62
Gorontalo,2017,A,"Pertanian, Kehutanan, dan Perikanan",13127.27,38.01
Gorontalo,2017,B,Pertambangan dan Penggalian,399.98,1.16
Gorontalo,2017,C,Industri Pengolahan,1413.09,4.09
Gorontalo,2017,D,Pengadaan Listrik dan Gas,15.8,0.05
Gorontalo,2017,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",19.93,0.06
Gorontalo,2017,F,Konstruksi,3978.86,11.52
Gorontalo,2017,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3938.42,11.4
Gorontalo,2017,H,Transportasi dan Pergudangan,2092.42,6.06
Gorontalo,2017,I,Penyediaan Akomodasi dan Makan Minum,814.28,2.36
Gorontalo,2017,J,Informasi dan Komunikasi,921.97,2.67
Gorontalo,2017,K,Jasa Keuangan dan Asuransi,1493.4,4.32
Gorontalo,2017,L,Real Estat,661.58,1.92
Gorontalo,2017,"M,N",Jasa Perusahaan,33.45,0.1
Gorontalo,2017,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2427.25,7.03
Gorontalo,2017,P,Jasa Pendidikan,1442.74,4.18
Gorontalo,2017,Q,Jasa Kesehatan dan Kegiatan Sosial,1216.76,3.52
Gorontalo,2017,"R,S,T,U",Jasa Lainnya,540.47,1.56
Gorontalo,2018,A,"Pertanian, Kehutanan, dan Perikanan",14580.02,38.64
Gorontalo,2018,B,Pertambangan dan Penggalian,420.36,1.11
Gorontalo,2018,C,Industri Pengolahan,1550.42,4.11
Gorontalo,2018,D,Pengadaan Listrik dan Gas,17.66,0.05
Gorontalo,2018,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",22.61,0.06
Gorontalo,2018,F,Konstruksi,4195.48,11.12
Gorontalo,2018,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4465.44,11.83
Gorontalo,2018,H,Transportasi dan Pergudangan,2208.99,5.85
Gorontalo,2018,I,Penyediaan Akomodasi dan Makan Minum,894.39,2.37
Gorontalo,2018,J,Informasi dan Komunikasi,1016.32,2.69
Gorontalo,2018,K,Jasa Keuangan dan Asuransi,1600.32,4.24
Gorontalo,2018,L,Real Estat,705.83,1.87
Gorontalo,2018,"M,N",Jasa Perusahaan,35.73,0.09
Gorontalo,2018,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2489.27,6.6
Gorontalo,2018,P,Jasa Pendidikan,1627.2,4.31
Gorontalo,2018,Q,Jasa Kesehatan dan Kegiatan Sosial,1331.09,3.53
Gorontalo,2018,"R,S,T,U",Jasa Lainnya,570.24,1.51
Gorontalo,2019,A,"Pertanian, Kehutanan, dan Perikanan",16018.13,38.93
Gorontalo,2019,B,Pertambangan dan Penggalian,450.54,1.09
Gorontalo,2019,C,Industri Pengolahan,1755.2,4.27
Gorontalo,2019,D,Pengadaan Listrik dan Gas,19.44,0.05
Gorontalo,2019,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",25.71,0.06
