provinsi,kabupaten,tahun,sektor_nama,nilai_miliar_rp,pct_dari_total
Sulawesi Tengah,Banggai Kepulauan,2016,"Pertanian, Kehutanan, dan Perikanan",1475.74,24.61835658531947
Sulawesi Tengah,Banggai Kepulauan,2016,Pertambangan dan Penggalian,27.66,0.4614252803000099
Sulawesi Tengah,Banggai Kepulauan,2016,Industri Pengolahan,75.72,1.2631642163527386
Sulawesi Tengah,Banggai Kepulauan,2016,Pengadaan Listrik dan Gas,0.34,0.005671894262545314
Sulawesi Tengah,Banggai Kepulauan,2016,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3.25,0.05421663633315373
Sulawesi Tengah,Banggai Kepulauan,2016,Konstruksi,75.35,1.2569918608317334
Sulawesi Tengah,Banggai Kepulauan,2016,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,579.8,9.672247921834625
Sulawesi Tengah,Banggai Kepulauan,2016,Transportasi dan Pergudangan,94.25,1.5722824536614581
Sulawesi Tengah,Banggai Kepulauan,2016,Penyediaan Akomodasi dan Makan Minum,12.22,0.20385455261265803
Sulawesi Tengah,Banggai Kepulauan,2016,Informasi dan Komunikasi,90.04,1.5020510570575885
Sulawesi Tengah,Banggai Kepulauan,2016,Jasa Keuangan dan Asuransi,63.67,1.0621456108713532
Sulawesi Tengah,Banggai Kepulauan,2016,Real Estate,53.22,0.8878182725078281
Sulawesi Tengah,Banggai Kepulauan,2016,Jasa Perusahaan,2.61,0.043540129486009604
Sulawesi Tengah,Banggai Kepulauan,2016,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",161.28,2.690479725480318
Sulawesi Tengah,Banggai Kepulauan,2016,Jasa Pendidikan,170.62,2.8462899972808273
Sulawesi Tengah,Banggai Kepulauan,2016,Jasa Kesehatan dan Kegiatan Sosial,68.21,1.1378820813182817
Sulawesi Tengah,Banggai Kepulauan,2016,Jasa Lainnya,43.26,0.7216651346991477
Sulawesi Tengah,Banggai Kepulauan,2016,PRODUK DOMESTIK BRUTO,2997.23,49.99991658979026
Sulawesi Tengah,Banggai Kepulauan,2017,"Pertanian, Kehutanan, dan Perikanan",1615.67,24.48177735215502
Sulawesi Tengah,Banggai Kepulauan,2017,Pertambangan dan Penggalian,31.52,0.47761338772145684
Sulawesi Tengah,Banggai Kepulauan,2017,Industri Pengolahan,83.55,1.2660088370598894
Sulawesi Tengah,Banggai Kepulauan,2017,Pengadaan Listrik dan Gas,0.41,0.006212610690539255
Sulawesi Tengah,Banggai Kepulauan,2017,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3.64,0.05515586076478753
Sulawesi Tengah,Banggai Kepulauan,2017,Konstruksi,85.96,1.3025268657530593
Sulawesi Tengah,Banggai Kepulauan,2017,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,639.06,9.683490214380527
Sulawesi Tengah,Banggai Kepulauan,2017,Transportasi dan Pergudangan,102.65,1.555425578985011
Sulawesi Tengah,Banggai Kepulauan,2017,Penyediaan Akomodasi dan Makan Minum,13.45,0.20380393606769018
Sulawesi Tengah,Banggai Kepulauan,2017,Informasi dan Komunikasi,98.4,1.4910265657294213
Sulawesi Tengah,Banggai Kepulauan,2017,Jasa Keuangan dan Asuransi,74.34,1.126452387157776
Sulawesi Tengah,Banggai Kepulauan,2017,Real Estate,57.31,0.8684017528653774
Sulawesi Tengah,Banggai Kepulauan,2017,Jasa Perusahaan,2.76,0.04182147684363011
Sulawesi Tengah,Banggai Kepulauan,2017,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",175.3,2.6562698879305646
Sulawesi Tengah,Banggai Kepulauan,2017,Jasa Pendidikan,189.67,2.8740143162794647
Sulawesi Tengah,Banggai Kepulauan,2017,Jasa Kesehatan dan Kegiatan Sosial,78.03,1.1823658833726296
Sulawesi Tengah,Banggai Kepulauan,2017,Jasa Lainnya,48.02,0.7276330862431586
Sulawesi Tengah,Banggai Kepulauan,2017,PRODUK DOMESTIK BRUTO,3299.74,50.0
Sulawesi Tengah,Banggai Kepulauan,2018,"Pertanian, Kehutanan, dan Perikanan",1767.97,24.541675053269387
