provinsi,tahun,pct_pdrb_pertanian_A,pct_pdrb_pertambangan_B,pct_pdrb_industri_C,pct_pdrb_konstruksi_F,nilai_pertanian_miliar,nilai_pertambangan_miliar,nilai_industri_miliar,nilai_konstruksi_miliar,pct_industri_tambang_BC,agriculture_to_industry_shift_index,Nilai Tambah Pertanian per TK Pertanian,Proporsi Kerja Informal,Proporsi Nilai Tambah Manufaktur ke PDB,delta_pct_pdrb_pertanian_A_from_first,delta_pct_industri_tambang_BC_from_first,delta_agriculture_to_industry_shift_index_from_first
Gorontalo,2014,37.75,1.32,4.17,11.79,9511.57,331.42,1051.64,2971.32,5.49,0.145,,,4.06,0.0,0.0,0.0
Gorontalo,2015,37.0,1.32,4.18,12.37,10542.86,375.72,1191.32,3525.79,5.5,0.149,62963958.31,,4.0,-0.75,0.01,0.0
Gorontalo,2016,37.22,1.2,4.21,12.05,11799.31,380.96,1333.94,3820.28,5.41,0.145,67849728.87,,4.0,-0.53,-0.08,0.0
Gorontalo,2017,38.01,1.16,4.09,11.52,13127.27,399.98,1413.09,3978.86,5.25,0.138,78538009.6,,3.88,0.26,-0.24,-0.01
Gorontalo,2018,38.64,1.11,4.11,11.12,14580.02,420.36,1550.42,4195.48,5.22,0.135,84553260.32,61.78,3.89,0.89,-0.27,-0.01
Gorontalo,2019,38.93,1.09,4.27,10.67,16018.13,450.54,1755.2,4391.21,5.36,0.138,89919293.68,58.66,4.08,1.18,-0.13,-0.01
Gorontalo,2020,38.79,1.12,4.31,10.54,16188.2,468.2,1799.86,4399.36,5.43,0.14,88765761.0,62.12,4.13,1.04,-0.06,-0.0
Gorontalo,2021,38.92,1.1,4.41,10.47,17082.24,483.23,1936.07,4597.26,5.51,0.142,98222903.78,62.39,4.24,1.17,0.02,-0.0
Gorontalo,2022,38.0,1.09,4.56,10.91,18073.2,519.28,2170.69,5189.74,5.65,0.149,88461848.78,64.97,4.4,0.25,0.16,0.0
Gorontalo,2023,37.74,1.09,4.43,11.13,19386.98,562.13,2273.93,5717.04,5.52,0.146,103082642.87,63.73,4.22,-0.01,0.03,0.0
Gorontalo,2024,37.29,1.11,4.39,11.34,20344.28,606.29,2396.85,6186.44,5.5,0.147,,,,-0.46,0.01,0.0
Sulawesi Barat,2014,41.76,2.06,10.37,7.76,12301.0,605.98,3054.56,2285.04,12.43,0.298,,,11.03,0.0,0.0,0.0
