Nama PLTU,Unit,Pemilik,Induk Perusahaan,Kapasitas (MW),Status,Tahun Beroperasi,Provinsi,Kabupaten/Kota,Disuplai ke Industri
Delong Nickel Phase IV power station,Unit 3,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,operating,2024.0,Sulawesi Tengah,,
PT IHIP power station,Unit 1,PT Baoshuo Taman Industry Investment Group,Huakai Investment Co Ltd; Tongxiang Wushi Trading Co Ltd; unknown; Zhenshi Holding Group Co Ltd,117.0,operating,2024.0,Sulawesi Tengah,West Bungku,
PT IHIP power station,Unit 2,PT Baoshuo Taman Industry Investment Group,Huakai Investment Co Ltd; Tongxiang Wushi Trading Co Ltd; unknown; Zhenshi Holding Group Co Ltd,117.0,operating,2024.0,Sulawesi Tengah,West Bungku,
PT IHIP power station,Unit 3,PT Baoshuo Taman Industry Investment Group,Huakai Investment Co Ltd; Tongxiang Wushi Trading Co Ltd; unknown; Zhenshi Holding Group Co Ltd,116.0,operating,2024.0,Sulawesi Tengah,West Bungku,
Sulawesi Labota power station,Unit 8,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2024.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 9,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2024.0,Sulawesi Tengah,Morowali,power
Delong Nickel Phase III power station,Unit 07,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2023.0,Sulawesi Tengah,Petasia,power
Sulawesi Labota power station,Unit 3,Indonesia Huaqing Aluminum Co Ltd [100%],Huafeng Group; Qingshan Industrial Co Ltd,380.0,operating,2023.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 4,Indonesia Wanjia Ferro Nickel Co Ltd [100%],Indonesia Wanjia Ferro Nickel Co Ltd [100.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 5,Indonesia Zhaohui Ferro Nickel Co Ltd [100%],Indonesia Zhaohui Ferro Nickel Co Ltd [100.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 6,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 7,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],380.0,operating,2023.0,Sulawesi Tengah,Morowali,power
Delong Nickel Phase III power station,Unit 02,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 03,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 04,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 05,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 06,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power
Qingdao Zhongsheng captive power station,Unit 1,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Morowali,power
Qingdao Zhongsheng captive power station,Unit 2,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Morowali,power
Sulawesi Labota power station,Unit 2,Indonesia Eternal Smelting Co [100%],Eternal Tsingshan Group Ltd,350.0,operating,2022.0,Sulawesi Tengah,Morowali,power
Wanxiang Nickel Indonesia power station,Unit 1,PT Wanxiang Steel Indonesia [100%],PT Wanxiang Steel Indonesia [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Central Bungku,
Wanxiang Nickel Indonesia power station,Unit 2,PT Wanxiang Steel Indonesia [100%],PT Wanxiang Steel Indonesia [100.0%],65.0,operating,2022.0,Sulawesi Tengah,Central Bungku,
Delong Nickel Phase II power station,Unit 09,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2022.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase III power station,Unit 01,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2021.0,Sulawesi Tengah,Petasia,power
Sulawesi Labota power station,Unit 1,PT Walsin Nickel Industrial Indonesia [100%],Walsin Lihwa Corp,350.0,operating,2021.0,Sulawesi Tengah,Morowali,power
Delong Nickel Phase II power station,Unit 04,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 05,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 06,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 07,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
