provinsi,kabupaten,tahun,jumlah_penduduk_rb,laju_pertumbuhan_sumber_pct,kepadatan_per_km2,laju_pertumbuhan_yoy_pct,is_smelter,iup_kumulatif
Gorontalo,Boalemo,2010,129.3,,75.0,,False,
Gorontalo,Boalemo,2018,162.6,2.83,94.0,25.75,False,1.0
Gorontalo,Boalemo,2019,167.024,2.74,110.0,2.72,False,1.0
Gorontalo,Boalemo,2020,145.9,1.18,96.0,-12.65,False,1.0
Gorontalo,Boalemo,2021,147.0,1.07,97.0,0.75,False,2.0
Gorontalo,Boalemo,2022,148.5,1.04,81.0,1.02,False,3.0
Gorontalo,Boalemo,2023,151.3,1.23,83.0,1.89,False,4.0
Gorontalo,Boalemo,2024,153.3,1.25,84.0,1.32,False,7.0
Gorontalo,Boalemo,2025,155.2,1.25,85.0,1.24,False,
Gorontalo,Boalemo,2026,157.1,1.24,86.0,1.22,False,
Gorontalo,Bone Bolango,2010,141.9,,75.0,,False,
Gorontalo,Bone Bolango,2018,159.2,1.39,84.0,12.19,False,1.0
Gorontalo,Bone Bolango,2019,161.236,1.28,81.0,1.28,False,1.0
Gorontalo,Bone Bolango,2020,162.8,1.34,82.0,0.97,False,1.0
Gorontalo,Bone Bolango,2021,164.3,1.23,83.0,0.92,False,2.0
Gorontalo,Bone Bolango,2022,166.2,1.2,88.0,1.16,False,3.0
Gorontalo,Bone Bolango,2023,168.6,1.17,89.0,1.44,False,4.0
Gorontalo,Bone Bolango,2024,170.7,1.19,90.0,1.25,False,7.0
Gorontalo,Bone Bolango,2025,172.7,1.19,91.0,1.17,False,
Gorontalo,Bone Bolango,2026,174.8,1.19,93.0,1.22,False,
Gorontalo,Gorontalo Utara,2010,104.1,,49.0,,False,
Gorontalo,Gorontalo Utara,2018,114.0,1.08,53.0,9.51,False,1.0
Gorontalo,Gorontalo Utara,2019,115.072,0.91,69.0,0.94,False,1.0
Gorontalo,Gorontalo Utara,2020,125.0,1.78,75.0,8.63,False,1.0
Gorontalo,Gorontalo Utara,2021,126.5,1.67,75.0,1.2,False,2.0
Gorontalo,Gorontalo Utara,2022,128.6,1.64,75.0,1.66,False,3.0
Gorontalo,Gorontalo Utara,2023,130.7,1.51,77.0,1.63,False,4.0
Gorontalo,Gorontalo Utara,2024,132.8,1.53,78.0,1.61,False,7.0
Gorontalo,Gorontalo Utara,2025,134.9,1.54,79.0,1.58,False,
Gorontalo,Gorontalo Utara,2026,136.9,1.53,80.0,1.48,False,
Gorontalo,Kota Gorontalo,2010,180.1,,2744.0,,False,
Gorontalo,Kota Gorontalo,2018,215.1,2.18,3261.0,19.43,False,1.0
Gorontalo,Kota Gorontalo,2019,219.399,2.01,2757.0,2.0,False,1.0
Gorontalo,Kota Gorontalo,2020,198.5,0.95,2495.0,-9.53,False,1.0
Gorontalo,Kota Gorontalo,2021,199.8,0.84,2510.0,0.65,False,2.0
Gorontalo,Kota Gorontalo,2022,201.4,0.81,2839.0,0.8,False,3.0
Gorontalo,Kota Gorontalo,2023,205.4,1.14,2896.0,1.99,False,4.0
Gorontalo,Kota Gorontalo,2024,207.8,1.15,2930.0,1.17,False,7.0
Gorontalo,Kota Gorontalo,2025,210.2,1.15,2963.0,1.15,False,
Gorontalo,Kota Gorontalo,2026,212.5,1.14,3000.0,1.09,False,
Gorontalo,Pohuwato,2010,128.8,,29.0,,False,
Gorontalo,Pohuwato,2018,157.6,2.48,35.0,22.36,False,1.0
Gorontalo,Pohuwato,2019,161.373,2.43,38.0,2.39,False,1.0
Gorontalo,Pohuwato,2020,146.4,1.25,35.0,-9.28,False,1.0
Gorontalo,Pohuwato,2021,147.7,1.15,35.0,0.89,False,2.0
Gorontalo,Pohuwato,2022,149.3,1.11,34.0,1.08,False,3.0
Gorontalo,Pohuwato,2023,151.9,1.22,35.0,1.74,False,4.0
Gorontalo,Pohuwato,2024,153.8,1.23,35.0,1.25,False,7.0
Gorontalo,Pohuwato,2025,155.7,1.23,36.0,1.24,False,
Gorontalo,Pohuwato,2026,157.5,1.23,36.0,1.16,False,
Sulawesi Barat,Majene,2010,151.1,1.97,160.0,,False,
Sulawesi Barat,Majene,2017,169.1,1.6,178.0,11.91,False,0.0
Sulawesi Barat,Majene,2018,171.3,1.3,181.0,1.3,False,0.0
Sulawesi Barat,Majene,2019,173.9,1.56,183.0,1.52,False,0.0
Sulawesi Barat,Majene,2020,174.4,1.4,184.0,0.29,False,0.0
Sulawesi Barat,Majene,2021,175.8,0.79,185.0,0.8,False,2.0
Sulawesi Barat,Majene,2022,177.4,0.97,197.0,0.91,False,5.0
Sulawesi Barat,Majene,2023,181.4,1.42,201.0,2.25,False,11.0
Sulawesi Barat,Majene,2024,183.9,1.41,204.0,1.38,False,27.0
Sulawesi Barat,Majene,2025,186.4,1.4,207.0,1.36,False,
Sulawesi Barat,Majene,2026,188.9,1.39,210.0,1.34,False,
