wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2018,55.61,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2019,54.81,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2018,66.66,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2019,62.97,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2018,63.32,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2019,60.55,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2018,63.09,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2019,62.55,2153,Proporsi Kerja Informal
Gorontalo,7500,Tidak ada,2018,61.78,2153,Proporsi Kerja Informal
Gorontalo,7500,Tidak ada,2019,58.66,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2018,74.69,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2019,71.91,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2020,60.46,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2021,60.7,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2020,67.37,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2021,67.32,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2020,64.22,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2021,63.24,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2020,64.59,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2021,62.81,2153,Proporsi Kerja Informal
Gorontalo,7500,Tidak ada,2020,62.12,2153,Proporsi Kerja Informal
Gorontalo,7500,Tidak ada,2021,62.39,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2020,72.63,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2021,72.8,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2022,59.15,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2023,58.14,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2022,67.87,2153,Proporsi Kerja Informal
Sulawesi Tengah,7200,Tidak ada,2023,66.1,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2022,63.55,2153,Proporsi Kerja Informal
Sulawesi Selatan,7300,Tidak ada,2023,62.77,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2022,62.39,2153,Proporsi Kerja Informal
Sulawesi Tenggara,7400,Tidak ada,2023,61.84,2153,Proporsi Kerja Informal
