wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2015,12761.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2015,12365.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2015,12560.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2015,13661.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2015,10030.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2015,14171.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2016,16046.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2017,17112.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2016,13238.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2017,13770.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2016,14827.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2017,15841.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2016,23444.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2017,16604.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2016,13088.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2017,12784.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2016,11730.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2017,12741.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2018,16954.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2019,18350.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2018,13462.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2019,14682.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2018,15777.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2019,17105.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2018,15944.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2019,15849.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2018,11891.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2019,13492.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2018,12144.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2019,13126.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2020,21390.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2021,20963.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2020,18140.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2021,20637.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2020,19172.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2021,19217.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2020,20449.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2021,19302.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2020,15128.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2021,14613.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2020,18136.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2021,18072.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2022,18335.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2023,19270.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2022,15890.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2023,16392.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2022,17257.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2023,17776.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2022,17542.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2023,18884.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2022,14289.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2023,15138.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2022,14774.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2023,16387.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2024,23831.0,1172,Upah Rata-rata Per Jam
Sulawesi Tengah,7200,Tidak ada,2024,18402.0,1172,Upah Rata-rata Per Jam
Sulawesi Selatan,7300,Tidak ada,2024,17505.0,1172,Upah Rata-rata Per Jam
Sulawesi Tenggara,7400,Tidak ada,2024,20510.0,1172,Upah Rata-rata Per Jam
Gorontalo,7500,Tidak ada,2024,15027.0,1172,Upah Rata-rata Per Jam
Sulawesi Barat,7600,Tidak ada,2024,17516.0,1172,Upah Rata-rata Per Jam
Sulawesi Utara,7100,Tidak ada,2015,92.74,1241,Persen Hunian Layak
Sulawesi Tengah,7200,Tidak ada,2015,85.7,1241,Persen Hunian Layak
Sulawesi Selatan,7300,Tidak ada,2015,92.92,1241,Persen Hunian Layak
Sulawesi Tenggara,7400,Tidak ada,2015,91.37,1241,Persen Hunian Layak
Gorontalo,7500,Tidak ada,2015,86.76,1241,Persen Hunian Layak
Sulawesi Barat,7600,Tidak ada,2015,81.88,1241,Persen Hunian Layak
Sulawesi Utara,7100,Tidak ada,2016,94.87,1241,Persen Hunian Layak
Sulawesi Utara,7100,Tidak ada,2017,95.58,1241,Persen Hunian Layak
Sulawesi Tengah,7200,Tidak ada,2016,86.72,1241,Persen Hunian Layak
Sulawesi Tengah,7200,Tidak ada,2017,89.75,1241,Persen Hunian Layak
Sulawesi Selatan,7300,Tidak ada,2016,94.06,1241,Persen Hunian Layak
Sulawesi Selatan,7300,Tidak ada,2017,95.5,1241,Persen Hunian Layak
Sulawesi Tenggara,7400,Tidak ada,2016,91.86,1241,Persen Hunian Layak
Sulawesi Tenggara,7400,Tidak ada,2017,94.53,1241,Persen Hunian Layak
