provinsi,kabupaten_kota,tahun,jenis_penyakit,total_kasus,meninggal,halaman_pdf,catatan_data
Gorontalo,Boalemo,2019,DBD,176,0,183,
Gorontalo,Boalemo,2020,DBD,163,0,163,
Gorontalo,Boalemo,2021,DBD,41,0,160,
Gorontalo,Boalemo,2022,DBD,120,2,160,
Gorontalo,Boalemo,2023,DBD,152,0,158,
Gorontalo,Boalemo,2024,DBD,435,0,162,
Gorontalo,Bone Bolango,2019,DBD,225,3,183,
Gorontalo,Bone Bolango,2020,DBD,180,0,163,
Gorontalo,Bone Bolango,2021,DBD,144,4,160,
Gorontalo,Bone Bolango,2022,DBD,89,2,160,
Gorontalo,Bone Bolango,2023,DBD,142,0,158,
Gorontalo,Bone Bolango,2024,DBD,664,8,162,
Gorontalo,Gorontalo,2019,DBD,111,6,183,
Gorontalo,Gorontalo,2020,DBD,81,3,163,
Gorontalo,Gorontalo,2021,DBD,112,0,160,
Gorontalo,Gorontalo,2022,DBD,98,3,160,
Gorontalo,Gorontalo,2023,DBD,72,3,158,
Gorontalo,Gorontalo,2024,DBD,270,3,162,
Gorontalo,Pohuwato,2019,DBD,309,6,183,
Gorontalo,Pohuwato,2020,DBD,87,0,163,
Gorontalo,Pohuwato,2021,DBD,136,0,160,
Gorontalo,Pohuwato,2022,DBD,169,15,160,
Gorontalo,Pohuwato,2023,DBD,155,0,158,
Gorontalo,Pohuwato,2024,DBD,391,0,162,
Gorontalo,Bone Bolango,2019,FILARIASIS,3,0,185,
Gorontalo,Bone Bolango,2021,FILARIASIS,3,0,162,
Gorontalo,Bone Bolango,2022,FILARIASIS,3,0,162,
Gorontalo,Gorontalo,2019,FILARIASIS,1,0,185,
Gorontalo,Gorontalo,2020,FILARIASIS,1,0,165,
Gorontalo,Gorontalo,2023,FILARIASIS,1,0,160,
Gorontalo,Gorontalo,2024,FILARIASIS,5,0,81,
Gorontalo,Gorontalo,2019,MALARIA,5,0,108,
Gorontalo,Gorontalo,2020,MALARIA,5,0,92,
Gorontalo,Gorontalo,2021,MALARIA,5,0,89,
Gorontalo,Gorontalo,2022,MALARIA,5,0,82,
Sulsel,Bantaeng,2016,DBD,787,0,34,
Sulsel,Bantaeng,2017,DBD,61,64,35,
Sulsel,Bantaeng,2018,DBD,197,0,27,
Sulsel,Barru,2016,DBD,22,0,35,
Sulsel,Barru,2017,DBD,3,0,26,
Sulsel,Barru,2018,DBD,18,0,27,
Sulsel,Bone,2016,DBD,3,0,30,
Sulsel,Bone,2017,DBD,2,1,27,
Sulsel,Bone,2018,DBD,64,2,27,
Sulsel,Bulukumba,2016,DBD,20,0,29,
Sulsel,Bulukumba,2017,DBD,4,0,26,
Sulsel,Bulukumba,2018,DBD,110,0,27,
Sulsel,Enrekang,2016,DBD,35,0,35,
Sulsel,Enrekang,2017,DBD,32,0,32,
Sulsel,Enrekang,2018,DBD,81,0,27,
Sulsel,Gowa,2016,DBD,628,0,34,
Sulsel,Gowa,2017,DBD,5,0,26,
Sulsel,Gowa,2018,DBD,147,0,27,
Sulsel,Jeneponto,2016,DBD,6,0,35,
Sulsel,Jeneponto,2017,DBD,1,0,26,
Sulsel,Jeneponto,2018,DBD,84,0,27,
Sulsel,Luwu,2016,DBD,2,0,35,
Sulsel,Luwu,2017,DBD,1,0,26,
Sulsel,Luwu,2018,DBD,1,0,27,
Sulsel,Makassar,2016,DBD,192,0,34,
Sulsel,Makassar,2017,DBD,8,0,26,
Sulsel,Makassar,2018,DBD,135,0,27,
Sulsel,Maros,2016,DBD,301,0,34,
Sulsel,Maros,2017,DBD,10,0,26,
Sulsel,Maros,2018,DBD,253,2,27,
Sulsel,Palopo,2016,DBD,86,0,29,
Sulsel,Palopo,2017,DBD,19,0,26,
Sulsel,Palopo,2018,DBD,74,0,27,
Sulsel,Pangkep,2016,DBD,317,0,35,
Sulsel,Pangkep,2017,DBD,4,0,26,
Sulsel,Pangkep,2018,DBD,123,0,27,
Sulsel,Pinrang,2016,DBD,1,0,35,
Sulsel,Pinrang,2017,DBD,6,0,26,
Sulsel,Pinrang,2018,DBD,1,0,27,
Sulsel,Selayar,2016,DBD,940,0,34,
Sulsel,Selayar,2017,DBD,5,8,26,
Sulsel,Selayar,2018,DBD,5,8,27,
Sulsel,Sidrap,2016,DBD,521,0,35,
Sulsel,Sidrap,2017,DBD,8,0,26,
Sulsel,Sidrap,2018,DBD,14,0,27,
Sulsel,Sinjai,2016,DBD,286,0,34,
Sulsel,Sinjai,2017,DBD,3,0,34,
Sulsel,Sinjai,2018,DBD,41,0,27,
Sulsel,Soppeng,2016,DBD,38,0,35,
Sulsel,Soppeng,2017,DBD,1,0,26,
Sulsel,Soppeng,2018,DBD,35,0,27,
Sulsel,Takalar,2016,DBD,6,0,35,
Sulsel,Takalar,2017,DBD,121,0,26,
Sulsel,Takalar,2018,DBD,117,0,27,
Sulsel,Tana Toraja,2016,DBD,28,0,29,
Sulsel,Tana Toraja,2017,DBD,2,0,26,
Sulsel,Tana Toraja,2018,DBD,17,0,27,
Sulsel,Toraja Utara,2016,DBD,319,0,35,
Sulsel,Toraja Utara,2017,DBD,111,0,26,
Sulsel,Toraja Utara,2018,DBD,29,0,27,
Sulsel,Wajo,2016,DBD,33,0,35,
Sulsel,Wajo,2017,DBD,22,0,26,
Sulsel,Wajo,2018,DBD,29,0,27,
Sulsel,Bone,2015,FILARIASIS,3,0,52,
Sulsel,Enrekang,2015,FILARIASIS,4,0,52,
Sulsel,Makassar,2015,FILARIASIS,1,0,52,
Sulsel,Pangkep,2015,FILARIASIS,72,0,52,
Sulsel,Bantaeng,2017,RABIES,760,0,78,
Sulsel,Barru,2017,RABIES,199,0,76,
Sulsel,Barru,2018,RABIES,1,0,39,PERLU_VALIDASI_MANUAL
Sulsel,Bone,2017,RABIES,17,0,77,
Sulsel,Bone,2018,RABIES,1,0,42,PERLU_VALIDASI_MANUAL
Sulsel,Bulukumba,2017,RABIES,600,0,77,
Sulsel,Bulukumba,2018,RABIES,2,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Enrekang,2017,RABIES,463,0,77,
Sulsel,Enrekang,2018,RABIES,2,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Gowa,2017,RABIES,466,0,76,
Sulsel,Gowa,2018,RABIES,1,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Jeneponto,2017,RABIES,25,0,77,
Sulsel,Jeneponto,2018,RABIES,1,0,39,PERLU_VALIDASI_MANUAL
Sulsel,Luwu,2017,RABIES,832,0,78,
Sulsel,Luwu,2018,RABIES,1,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Makassar,2017,RABIES,43,0,77,
Sulsel,Makassar,2018,RABIES,2,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Maros,2017,RABIES,694,0,77,
Sulsel,Palopo,2017,RABIES,448,0,77,
Sulsel,Pangkep,2017,RABIES,1,0,36,PERLU_VALIDASI_MANUAL
Sulsel,Pangkep,2017,RABIES,217,0,76,
Sulsel,Pinrang,2017,RABIES,146,0,76,
Sulsel,Selayar,2017,RABIES,14,0,78,
Sulsel,Selayar,2018,RABIES,1,0,39,PERLU_VALIDASI_MANUAL
Sulsel,Sidrap,2017,RABIES,1,0,40,PERLU_VALIDASI_MANUAL
Sulsel,Sidrap,2017,RABIES,814,0,78,
Sulsel,Sinjai,2017,RABIES,751,0,77,
Sulsel,Sinjai,2018,RABIES,1,0,39,PERLU_VALIDASI_MANUAL
Sulsel,Soppeng,2017,RABIES,152,0,76,
