provinsi,tahun,kategori,satuan,nilai
ACEH,2022,Ekspor Migas,Juta USD,0.0
ACEH,2022,Ekspor Non-Migas,Juta USD,1491603.7000000002
ACEH,2023,Ekspor Migas,Juta USD,84786.70000000001
ACEH,2023,Ekspor Non-Migas,Juta USD,1134261.0
ACEH,2024,Ekspor Migas,Juta USD,101197.0
ACEH,2024,Ekspor Non-Migas,Juta USD,1293433.7
ACEH,2025,Ekspor Migas,Juta USD,1091605.9000000001
ACEH,2025,Ekspor Non-Migas,Juta USD,1263699.8
ACEH,2026,Ekspor Non-Migas,Juta USD,343088.4
BALI,2022,Ekspor Migas,Juta USD,1.5
BALI,2022,Ekspor Non-Migas,Juta USD,1233950.0
BALI,2023,Ekspor Migas,Juta USD,106.8
BALI,2023,Ekspor Non-Migas,Juta USD,1150110.5
BALI,2024,Ekspor Migas,Juta USD,528.4
BALI,2024,Ekspor Non-Migas,Juta USD,1265295.5
BALI,2025,Ekspor Migas,Juta USD,2104.6
BALI,2025,Ekspor Non-Migas,Juta USD,1130707.0
BALI,2026,Ekspor Migas,Juta USD,20.6
BALI,2026,Ekspor Non-Migas,Juta USD,281355.8
BANTEN,2022,Ekspor Migas,Juta USD,315807.69999999995
BANTEN,2022,Ekspor Non-Migas,Juta USD,27852498.8
BANTEN,2023,Ekspor Migas,Juta USD,403346.8
BANTEN,2023,Ekspor Non-Migas,Juta USD,23874536.1
BANTEN,2024,Ekspor Migas,Juta USD,122529.70000000001
BANTEN,2024,Ekspor Non-Migas,Juta USD,24336244.4
BANTEN,2025,Ekspor Migas,Juta USD,309201.1
BANTEN,2025,Ekspor Non-Migas,Juta USD,25715519.4
BANTEN,2026,Ekspor Migas,Juta USD,142071.4
BANTEN,2026,Ekspor Non-Migas,Juta USD,5842470.0
BENGKULU,2022,Ekspor Migas,Juta USD,0.0
BENGKULU,2022,Ekspor Non-Migas,Juta USD,622397.8
BENGKULU,2023,Ekspor Migas,Juta USD,0.0
BENGKULU,2023,Ekspor Non-Migas,Juta USD,492722.6
BENGKULU,2024,Ekspor Migas,Juta USD,0.0
BENGKULU,2024,Ekspor Non-Migas,Juta USD,388847.2
BENGKULU,2025,Ekspor Migas,Juta USD,86584.8
BENGKULU,2025,Ekspor Non-Migas,Juta USD,209346.4
BENGKULU,2026,Ekspor Non-Migas,Juta USD,15052.8
DI YOGYAKARTA,2022,Ekspor Migas,Juta USD,0.0
DI YOGYAKARTA,2022,Ekspor Non-Migas,Juta USD,1163258.9
DI YOGYAKARTA,2023,Ekspor Migas,Juta USD,0.0
DI YOGYAKARTA,2023,Ekspor Non-Migas,Juta USD,944157.9
DI YOGYAKARTA,2024,Ekspor Migas,Juta USD,0.0
DI YOGYAKARTA,2024,Ekspor Non-Migas,Juta USD,1093776.5
DI YOGYAKARTA,2025,Ekspor Migas,Juta USD,31954.6
DI YOGYAKARTA,2025,Ekspor Non-Migas,Juta USD,1117448.0
DI YOGYAKARTA,2026,Ekspor Non-Migas,Juta USD,275934.2
DKI JAKARTA,2022,Ekspor Migas,Juta USD,57636.8
DKI JAKARTA,2022,Ekspor Non-Migas,Juta USD,22947703.2
DKI JAKARTA,2023,Ekspor Migas,Juta USD,41439.8
DKI JAKARTA,2023,Ekspor Non-Migas,Juta USD,22100973.299999997
DKI JAKARTA,2024,Ekspor Migas,Juta USD,85562.2
DKI JAKARTA,2024,Ekspor Non-Migas,Juta USD,27455660.0
DKI JAKARTA,2025,Ekspor Migas,Juta USD,75524.3
DKI JAKARTA,2025,Ekspor Non-Migas,Juta USD,34945105.8
DKI JAKARTA,2026,Ekspor Migas,Juta USD,50508.4
DKI JAKARTA,2026,Ekspor Non-Migas,Juta USD,9007499.1
GORONTALO,2022,Ekspor Migas,Juta USD,0.0
GORONTALO,2022,Ekspor Non-Migas,Juta USD,103989.6
GORONTALO,2023,Ekspor Migas,Juta USD,0.0
GORONTALO,2023,Ekspor Non-Migas,Juta USD,110353.6
GORONTALO,2024,Ekspor Migas,Juta USD,0.0
GORONTALO,2024,Ekspor Non-Migas,Juta USD,120147.2
GORONTALO,2025,Ekspor Non-Migas,Juta USD,179563.0
GORONTALO,2026,Ekspor Non-Migas,Juta USD,37938.0
INDONESIA,2022,Ekspor Migas,Juta USD,31996445.1
INDONESIA,2022,Ekspor Non-Migas,Juta USD,552376945.6
INDONESIA,2023,Ekspor Migas,Juta USD,31843827.6
INDONESIA,2023,Ekspor Non-Migas,Juta USD,487211727.29999995
INDONESIA,2024,Ekspor Migas,Juta USD,31753828.299999997
INDONESIA,2024,Ekspor Non-Migas,Juta USD,501304524.1
INDONESIA,2025,Ekspor Migas,Juta USD,26135867.2
INDONESIA,2025,Ekspor Non-Migas,Juta USD,539682020.6
INDONESIA,2026,Ekspor Migas,Juta USD,6505416.6
INDONESIA,2026,Ekspor Non-Migas,Juta USD,127193058.30000001
JAMBI,2022,Ekspor Migas,Juta USD,2901177.2
JAMBI,2022,Ekspor Non-Migas,Juta USD,3102682.0
JAMBI,2023,Ekspor Migas,Juta USD,1902127.0
JAMBI,2023,Ekspor Non-Migas,Juta USD,2483425.5
JAMBI,2024,Ekspor Migas,Juta USD,2725834.6
JAMBI,2024,Ekspor Non-Migas,Juta USD,1955542.0
JAMBI,2025,Ekspor Migas,Juta USD,1788090.0
JAMBI,2025,Ekspor Non-Migas,Juta USD,2299520.4
JAMBI,2026,Ekspor Migas,Juta USD,367661.4
JAMBI,2026,Ekspor Non-Migas,Juta USD,494097.4
JAWA BARAT,2022,Ekspor Migas,Juta USD,648627.9
JAWA BARAT,2022,Ekspor Non-Migas,Juta USD,76444548.6
JAWA BARAT,2023,Ekspor Migas,Juta USD,711754.7
JAWA BARAT,2023,Ekspor Non-Migas,Juta USD,72539801.2
JAWA BARAT,2024,Ekspor Migas,Juta USD,676156.9
JAWA BARAT,2024,Ekspor Non-Migas,Juta USD,75093487.1
JAWA BARAT,2025,Ekspor Migas,Juta USD,545068.5
JAWA BARAT,2025,Ekspor Non-Migas,Juta USD,76900423.30000001
JAWA BARAT,2026,Ekspor Migas,Juta USD,137550.7
JAWA BARAT,2026,Ekspor Non-Migas,Juta USD,18116779.8
JAWA TENGAH,2022,Ekspor Migas,Juta USD,1119154.0
JAWA TENGAH,2022,Ekspor Non-Migas,Juta USD,22410473.9
JAWA TENGAH,2023,Ekspor Migas,Juta USD,716465.2
JAWA TENGAH,2023,Ekspor Non-Migas,Juta USD,19887972.299999997
JAWA TENGAH,2024,Ekspor Migas,Juta USD,835929.8
JAWA TENGAH,2024,Ekspor Non-Migas,Juta USD,22013400.0
JAWA TENGAH,2025,Ekspor Migas,Juta USD,412289.5
JAWA TENGAH,2025,Ekspor Non-Migas,Juta USD,24834123.299999997
JAWA TENGAH,2026,Ekspor Migas,Juta USD,308013.0
JAWA TENGAH,2026,Ekspor Non-Migas,Juta USD,6075230.0
JAWA TIMUR,2022,Ekspor Migas,Juta USD,2399635.0
JAWA TIMUR,2022,Ekspor Non-Migas,Juta USD,47097355.8
JAWA TIMUR,2023,Ekspor Migas,Juta USD,1715658.5
JAWA TIMUR,2023,Ekspor Non-Migas,Juta USD,43129800.4
JAWA TIMUR,2024,Ekspor Migas,Juta USD,1880354.1
JAWA TIMUR,2024,Ekspor Non-Migas,Juta USD,50088942.0
JAWA TIMUR,2025,Ekspor Migas,Juta USD,1263656.2999999998
JAWA TIMUR,2025,Ekspor Non-Migas,Juta USD,56984275.6
JAWA TIMUR,2026,Ekspor Migas,Juta USD,267797.6
JAWA TIMUR,2026,Ekspor Non-Migas,Juta USD,10797712.6
KALIMANTAN BARAT,2022,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2022,Ekspor Non-Migas,Juta USD,5919781.699999999
KALIMANTAN BARAT,2023,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2023,Ekspor Non-Migas,Juta USD,4248274.9
KALIMANTAN BARAT,2024,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2024,Ekspor Non-Migas,Juta USD,4224558.699999999
