company,url,file,status
VALE INDONESIA,https://www.fcx.com/sites/fcx/files/documents/sustainability/audits/2021-2022PTFIEnvironmentalAuditExec.pdf,VALE_INDONESIA_38b863.pdf,OK
VALE INDONESIA,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,VALE_INDONESIA_febfaa.pdf,OK
CITRA PALU MINERALS,https://minedocs.com/22/BRMS_CP_Apr2022.pdf,CITRA_PALU_MINERALS_c65a02.pdf,OK
CITRA PALU MINERALS,https://minedocs.com/21/BumiResourcesMinerals_AR_2020.pdf,CITRA_PALU_MINERALS_6e3a24.pdf,OK
TAMBANG TONDANO NUSAJAYA,https://cblkonsultan.com/wp-content/uploads/Company-Profile-CBL-2025.pdf,TAMBANG_TONDANO_NUSAJAYA_8008b7.pdf,OK
TAMBANG TONDANO NUSAJAYA,https://www.esdm.go.id/assets/media/content/content-buku-aksi-hijau-di-lingkar-tambang.pdf,TAMBANG_TONDANO_NUSAJAYA_388127.pdf,OK
TAMBANG TONDANO NUSAJAYA,http://repository.unhas.ac.id/23628/2/B013191026_disertasi_27-10-2022%201-2.pdf,TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf,OK
ANEKA TAMBANG,https://www.fcx.com/sites/fcx/files/documents/sustainability/audits/2021-2022PTFIEnvironmentalAuditExec.pdf,ANEKA_TAMBANG_38b863.pdf,OK
ANEKA TAMBANG,https://www.cao-ombudsman.org/sites/default/files/downloads/WBN_Assessment_FINAL_with_appendices_ENG.pdf,ANEKA_TAMBANG_2775c3.pdf,OK
GORONTALO MINERALS,https://minedocs.com/22/BRMS_CP_Apr2022.pdf,GORONTALO_MINERALS_c65a02.pdf,OK
GORONTALO MINERALS,http://repository.ung.ac.id/get/karyailmiah/1176/Ramli-Utina-INVENTARISASI-VERTEBRATA-SPESIES-BURUNG-DI-KAWASAN-PESISIR-YANG-MENGAKUMULASI-MERKURI-DARI-LIMBAH-PERTAMBANGAN-RAKYAT-KABUPATEN-GORONTALO-UTARA.pdf,GORONTALO_MINERALS_e4c43e.pdf,OK
GORONTALO MINERALS,https://minedocs.com/24/BRM-SR-2022.pdf,GORONTALO_MINERALS_ea657d.pdf,OK
SULAWESI CAHAYA MINERAL,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,SULAWESI_CAHAYA_MINERAL_febfaa.pdf,OK
SULAWESI CAHAYA MINERAL,https://www.aeer.or.id/wp-content/uploads/2025/02/Arinto-Sangadji-HPAL-dalam-Industri-Nikel-Feb-2025-ENG_compressed.pdf,SULAWESI_CAHAYA_MINERAL_9c320f.pdf,OK
BINTANGDELAPAN MINERAL,https://www.rai.it/dl/doc/2023/11/19/1700402970903_I%20rapporti%20su%20filiera%20del%20nichel%20indonesiana%20-%20Report.pdf,BINTANGDELAPAN_MINERAL_9faf88.pdf,OK
BINTANGDELAPAN MINERAL,https://www.aeer.or.id/wp-content/uploads/2024/07/Supply-chain-nikel-english-1.pdf,BINTANGDELAPAN_MINERAL_85ed1e.pdf,OK
BINTANGDELAPAN MINERAL,https://assets.merdekabattery.com/dist/documents/Initial%20Public%20Offering%20Prospectus%20MBMA%202023%20-%20Final.pdf,BINTANGDELAPAN_MINERAL_688f57.pdf,OK
KALLA AREBAMMA,http://www.megapolitan-group.com/public/site/uploads/annual_reports/6630bd81f3da6-emde-annual-report-2023.pdf,KALLA_AREBAMMA_46c124.pdf,OK
TRIO KENCANA,https://www.tuk.or.id/wp-content/uploads/policy-brief-_TuK_Logo-IPB-TuK.pdf,TRIO_KENCANA_76e3da.pdf,OK
TRIO KENCANA,https://www.walhi.or.id/uploads/2024-Rilis/TLH%202025%20rev.pdf,TRIO_KENCANA_075162.pdf,OK
TRIO KENCANA,https://jatam.org/wp-content/uploads/2021/07/Laporan-JATAM-Catatan-Akhir-Tahun-2020-dan-Proyeksi-2021.pdf,TRIO_KENCANA_c0e32b.pdf,OK
MASMINDO DWI AREA,https://admin.masmindo.co.id/storage/annual-report/eccb5ee7-26c2-4752-a5af-0449d3c7602e.pdf,MASMINDO_DWI_AREA_cd27c8.pdf,OK
MASMINDO DWI AREA,https://minedocs.com/28/Awak-Mas-DFS-07132021.pdf,MASMINDO_DWI_AREA_2e1fe3.pdf,OK
MASMINDO DWI AREA,https://admin.masmindo.co.id/storage/annual-report/5fa66955-8417-49ec-9d6a-8ff6bea69ac5.pdf,MASMINDO_DWI_AREA_d1ec1f.pdf,OK
TRINUSA RESOURCES,http://www.maritim.go.id/uploads/magazine/20240706051614-2024-07-06magazine051604.pdf,TRINUSA_RESOURCES_2d278a.pdf,OK
MULTI DINAR KARYA,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,MULTI_DINAR_KARYA_febfaa.pdf,OK
MULTI DINAR KARYA,https://satyabumi.org/wp-content/uploads/2023/11/ENG_policy-paper_Neo-extractivism-in-Indonesias-Nickel-Epicenter.pdf,MULTI_DINAR_KARYA_9e4e78.pdf,OK
MULTI DINAR KARYA,https://satyabumi.org/wp-content/uploads/2023/10/Policy-Paper-Neo-ekstraktivisme-di-Episentrum-Nikel-Indonesia-2.pdf,MULTI_DINAR_KARYA_475682.pdf,OK
BANGGAI KENCANA PERMAI,https://dlh.sultengprov.go.id/deploy/doklingkungan/1758004139_f0d44ebc36e81af433e3.pdf,BANGGAI_KENCANA_PERMAI_867838.pdf,OK
BANGGAI KENCANA PERMAI,https://dlh.sultengprov.go.id/deploy/doklingkungan/1758072526_25e96f349634558fc026.pdf,BANGGAI_KENCANA_PERMAI_7185cd.pdf,OK
BANGGAI KENCANA PERMAI,https://dlh.sultengprov.go.id/deploy/doklingkungan/1725519210_f0eb391c84adee6ec902.pdf,BANGGAI_KENCANA_PERMAI_94235f.pdf,OK
MEARES SOPUTAN MINING,https://msl-fst.ut.ac.id/wp-content/uploads/2024/10/9905-30319-4-PB.pdf,MEARES_SOPUTAN_MINING_a88498.pdf,OK
MEARES SOPUTAN MINING,https://www.esdm.go.id/assets/media/content/content-buku-aksi-hijau-di-lingkar-tambang.pdf,MEARES_SOPUTAN_MINING_388127.pdf,OK
MEARES SOPUTAN MINING,https://www.jbic.go.jp/ja/business-areas/environment/projects/image/49263_8.pdf,MEARES_SOPUTAN_MINING_4c0477.pdf,OK
BUMI PERSADA SURYA PRATAMA,https://dlh.sultengprov.go.id/deploy/doklingkungan/1757644564_4f2d3801fdecfa677c35.pdf,BUMI_PERSADA_SURYA_PRATAMA_ea3815.pdf,OK
BUMI PERSADA SURYA PRATAMA,https://aji.or.id/system/files/2024-07/bukuajelcompressed_4.pdf,BUMI_PERSADA_SURYA_PRATAMA_f79371.pdf,OK
BUMI PERSADA SURYA PRATAMA,https://dlh.sultengprov.go.id/deploy/doklingkungan/1758004139_f0d44ebc36e81af433e3.pdf,BUMI_PERSADA_SURYA_PRATAMA_867838.pdf,OK
BOLMONG TIMUR PRIMANUSA RESOURCES,https://eiti.org/sites/default/files/attachments/laporan_eiti_8_2020_eng.pdf,BOLMONG_TIMUR_PRIMANUSA_RESOURCES_aefbfc.pdf,OK
BOLMONG TIMUR PRIMANUSA RESOURCES,https://www.portaldataekstraktif.id/storage/post-file/20240604154413/laporan-eiti-2018-kontekstual-ind.pdf,BOLMONG_TIMUR_PRIMANUSA_RESOURCES_cf9b06.pdf,OK
MODERN CAHAYA MAKMUR,https://www.aeer.or.id/wp-content/uploads/2025/02/Arinto-Sangadji-HPAL-dalam-Industri-Nikel-Feb-2025-ENG_compressed.pdf,MODERN_CAHAYA_MAKMUR_9c320f.pdf,OK
MODERN CAHAYA MAKMUR,https://pdfs.semanticscholar.org/b4d0/19224b3d0ee1fef1f8de9186d8a26b710441.pdf,MODERN_CAHAYA_MAKMUR_fb09b0.pdf,OK
MODERN CAHAYA MAKMUR,https://www.aeer.or.id/wp-content/uploads/2024/12/Arinto-Sangadji-HPAL-dalam-Industri-Nikel-Nov-2024_compressed.pdf,MODERN_CAHAYA_MAKMUR_fb2aed.pdf,OK
VALE INDONESIA,https://scholarhub.ui.ac.id/context/global/article/1377/viewcontent/REFORMING_ENVIRONMENTAL_GOVERNANCE_IN_RESPONSE_TO_INDONESIA_S_NICKEL_INDUSTRIAL_POLICY_A_CRITICAL_ASSESMENT_OF_SUSTAINABILITY_CHALLENGES.pdf,,HTTP_202
CITRA PALU MINERALS,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202408/66d58370ff_56849c5938.pdf,,HTTP_403
J RESOURCES BOLAANG MONGONDOW,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3e21ddd19b_8b513e5c1a.pdf,,HTTP_403
J RESOURCES BOLAANG MONGONDOW,https://repository.unja.ac.id/89769/4/Daftar%20Pustaka%20Tesis%20Anna%20Nurlia.pdf,,HTTP_415
J RESOURCES BOLAANG MONGONDOW,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4fabd463a4_2ee0c31ec3.pdf,,HTTP_403
ANEKA TAMBANG,https://journalpublicuho.uho.ac.id/index.php/journal/article/download/50/43/536,,HTTP_403
SULAWESI CAHAYA MINERAL,https://jurnal.fhumkendari.ac.id/index.php/JLA/article/download/115/53,,HTTP_403
