nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
VALE INDONESIA,"KAB. KOLAKA; KAB. KOLAKA UTARA; KAB. MOROWALI, KAB. LUWU TIMUR",118017.0,"""VALE INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",FINAL REPORT Triennial 2021-2022 External Environmental Audit,https://www.fcx.com/sites/fcx/files/documents/sustainability/audits/2021-2022PTFIEnvironmentalAuditExec.pdf,Management of reclamation areas must comply with the 2018 RKL-RPL revision of PTFI's. 300K AMDAL (Environmental Impact Assessment) commitments approved by ...
VALE INDONESIA,"KAB. KOLAKA; KAB. KOLAKA UTARA; KAB. MOROWALI, KAB. LUWU TIMUR",118017.0,"""VALE INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",reforming environmental governance in response to indonesia's ...,https://scholarhub.ui.ac.id/context/global/article/1377/viewcontent/REFORMING_ENVIRONMENTAL_GOVERNANCE_IN_RESPONSE_TO_INDONESIA_S_NICKEL_INDUSTRIAL_POLICY_A_CRITICAL_ASSESMENT_OF_SUSTAINABILITY_CHALLENGES.pdf,"Sep 14, 2025 ... AMDAL dan pengaturan limbah B3, serta dampaknya terhadap keberlanjutan ekosistem dan ... Vale Indonesia-. Bahodopi Block. CoW. 2014. 2,465.37."
VALE INDONESIA,"KAB. KOLAKA; KAB. KOLAKA UTARA; KAB. MOROWALI, KAB. LUWU TIMUR",118017.0,"""VALE INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Complementary Strategies for Indonesia's Sustainable Nickel ...,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,"... Vale Indonesia - Pomala, Vale Indonesia - Bahodopi, Mulia Makmur. Perkasa ... AMDAL, Environmental Approval, or IUP involved requests for mining sector AMDAL."
CITRA PALU MINERALS,"KAB. DONGGALA, KAB. TOLI TOLI, KAB. PARIGI MOUTONG, KAB. SIGI, KOTA PALU, KAB. LUWU UTARA",85180.0,"""CITRA PALU MINERALS"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",PT Bumi Resources Minerals Tbk.,https://minedocs.com/22/BRMS_CP_Apr2022.pdf,"Citra Palu Minerals completed the construction of a processing plant ... Tailing Management Facility (dry tailing plant, tailing dam, detoxification ..."
CITRA PALU MINERALS,"KAB. DONGGALA, KAB. TOLI TOLI, KAB. PARIGI MOUTONG, KAB. SIGI, KOTA PALU, KAB. LUWU UTARA",85180.0,"""CITRA PALU MINERALS"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",PT Bumi Resources Minerals Tbk. - IDX,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202408/66d58370ff_56849c5938.pdf,"Aug 23, 2024 ... (“AMDAL”) yang telah diterbitkan oleh Kementerian Lingkungan Hidup ... • Kajian baru atas tambang DPM menyatakan bahwa fasilitas pengolahan limbah ..."
CITRA PALU MINERALS,"KAB. DONGGALA, KAB. TOLI TOLI, KAB. PARIGI MOUTONG, KAB. SIGI, KOTA PALU, KAB. LUWU UTARA",85180.0,"""CITRA PALU MINERALS"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",laporan tahunan 2020 annual report - Mining Data Online,https://minedocs.com/21/BumiResourcesMinerals_AR_2020.pdf,... Citra Palu Minerals (CPM). Gold Mineral Resources in the Area of Citra Palu ... AMDAL. RKL-RPL Tipe A mengenai pemindahan 3 rencana lokasi kegiatan yaitu ...
J RESOURCES BOLAANG MONGONDOW,"KAB. BOLAANG MONGONDOW, KAB. BOLAANG MONGONDOW TIMUR, KAB. BOLAANG MONGONDOW SELATAN",38150.0,"""J RESOURCES BOLAANG MONGONDOW"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",INFORM ASI TAMBAHAN - IDX,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3e21ddd19b_8b513e5c1a.pdf,untuk memenuhi studi kelayakan dan AMDAL. Persetujuan terakhir untuk ... Limbah (tailing) dari sirkuit RIL yang berbentuk lumpur batuan akan dibuang ...
J RESOURCES BOLAANG MONGONDOW,"KAB. BOLAANG MONGONDOW, KAB. BOLAANG MONGONDOW TIMUR, KAB. BOLAANG MONGONDOW SELATAN",38150.0,"""J RESOURCES BOLAANG MONGONDOW"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",DAFTAR PUSTAKA - Repository Unja,https://repository.unja.ac.id/89769/4/Daftar%20Pustaka%20Tesis%20Anna%20Nurlia.pdf,"dan Penerapan Amdal Bapedal. Jakarta. Page 2. Bhat, S. A., Bashir, O., Ul ... Limbah Pertambangan Emas. Biodiversitas, Vol. 7 No. 1, 48. Hiratsuka, M., T ..."
J RESOURCES BOLAANG MONGONDOW,"KAB. BOLAANG MONGONDOW, KAB. BOLAANG MONGONDOW TIMUR, KAB. BOLAANG MONGONDOW SELATAN",38150.0,"""J RESOURCES BOLAANG MONGONDOW"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Tanggal Efektif - IDX,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4fabd463a4_2ee0c31ec3.pdf,untuk memenuhi studi kelayakan dan AMDAL. Persetujuan terakhir untuk ... Limbah (tailing) dari sirkuit RIL yang berbentuk lumpur batuan akan dibuang ...
TAMBANG TONDANO NUSAJAYA,"KAB. MINAHASA UTARA, KOTA BITUNG",30848.0,"""TAMBANG TONDANO NUSAJAYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Company profile - CBL Konsultan,https://cblkonsultan.com/wp-content/uploads/Company-Profile-CBL-2025.pdf,RKL-RPL Kegiatan Pengolahan Limbah B3. - PT. Wastec International. Studi ... (Status Amdal/Pertek Air Limbah). 2015-2025/10 tahun. •. •. Ahli Madya Sistem ...
TAMBANG TONDANO NUSAJAYA,"KAB. MINAHASA UTARA, KOTA BITUNG",30848.0,"""TAMBANG TONDANO NUSAJAYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Aksi Hijau di Lingkar Tambang - ESDM,https://www.esdm.go.id/assets/media/content/content-buku-aksi-hijau-di-lingkar-tambang.pdf,Kolam pengendapan dari aktivitas tambang dan air limpasan waste dump di Tambang Tondano Nusajaya ... Limbah tailing setelah proses pencucian bijih emas harus.
TAMBANG TONDANO NUSAJAYA,"KAB. MINAHASA UTARA, KOTA BITUNG",30848.0,"""TAMBANG TONDANO NUSAJAYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",DISERTASI - unhas repository,http://repository.unhas.ac.id/23628/2/B013191026_disertasi_27-10-2022%201-2.pdf,"... Tambang Tondano Nusajaya di Sulawesi Utara. Ketiga, untuk menemukan dan ... Tailing dan Pengelolaan Limbah. Page 12. xii. Lainnya ..."
ANEKA TAMBANG,KAB. KOLAKA; KAB. KONAWE UTARA,29456.5,"""ANEKA TAMBANG"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",FINAL REPORT Triennial 2021-2022 External Environmental Audit,https://www.fcx.com/sites/fcx/files/documents/sustainability/audits/2021-2022PTFIEnvironmentalAuditExec.pdf,Management of reclamation areas must comply with the 2018 RKL-RPL revision of PTFI's. 300K AMDAL (Environmental Impact Assessment) commitments approved by ...
ANEKA TAMBANG,KAB. KOLAKA; KAB. KONAWE UTARA,29456.5,"""ANEKA TAMBANG"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",IMPLEMENTASI CORPORATE SOCIAL RESPONSIBILITY PADA PT ...,https://journalpublicuho.uho.ac.id/index.php/journal/article/download/50/43/536,ANEKA TAMBANG Tbk. UBPN SULAWESI TENGGARA. Candra Puspita Ningtyas1 ... Limbah-limbah tersebut bila tidak dikelola dengan baik dapat mengakibatkan ...
ANEKA TAMBANG,KAB. KOLAKA; KAB. KONAWE UTARA,29456.5,"""ANEKA TAMBANG"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Ombudsman Assessment Report,https://www.cao-ombudsman.org/sites/default/files/downloads/WBN_Assessment_FINAL_with_appendices_ENG.pdf,mining corporation PT Aneka Tambang. ... First ERAMET EHS corporate audit (June 2008): identification of. AMDAL weaknesses and of gaps between AMDAL and the ...
