nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
KULAKA JAYA PERKASA,KAB. PASANGKAYU,1000.0,"""KULAKA JAYA PERKASA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ISCO IRON,KAB. POLEWALI MANDAR,943.0,"""ISCO IRON"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",PERCEPATANPEMBANGUNANI...,https://ppid.kemendagri.go.id/storage/dokumen/wImDORTBgI2qNicJGSWnUbmLEZGtUyAAV7Nt5biG.pdf,"... limbah dan daur ulang; 0,16%. Jasa Perusahaan;. 0,06%. Jasa Lainnya; 1,74%. Page ... Amdal di Sulawesi Barat, 2014-2018. Sumber : Dinas Lingkungan Hidup ..."
ISCO IRON,KAB. POLEWALI MANDAR,943.0,"""ISCO IRON"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",GUBERNUR SULAWESI BARAT SALINAN - Peraturan BPK,https://peraturan.bpk.go.id/Download/242585/PERGUB%20NOMOR%209%20TAHUN%202022.pdf,"... Isco Iron,. Tahap Operasi. Produksi/Survei Logam oleh CV. Saga Bangun. Persada ... Amdal di Sulawesi Barat Tahun 2014–2018. Sumber: Dinas Lingkungan Hidup ..."
ISCO IRON,KAB. POLEWALI MANDAR,943.0,"""ISCO IRON"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Download PDF - PPID Kemendagri,https://ppid.kemendagri.go.id/storage/dokumen/HhGTu39uD6HTUxVDV2K2n5uaM5b44PtoSUJsxFeO.pdf,"... Limbah dan Daur Ulang. 7,23. 5,54. 8,58. 0,88. 13,42. 6. Konstruksi. 10,12. 8,43. 8 ... (AMDAL / DELH, UKL-UPL / DPLH, SPPL dan. PPLH). 5 Jenis. 265,003,150. 5 ..."
INTI KARYA POLMAN,KAB. POLEWALI MANDAR,776.06,"""INTI KARYA POLMAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",GUBERNUR SULAWESI BARAT SALINAN - Peraturan BPK,https://peraturan.bpk.go.id/Download/242585/PERGUB%20NOMOR%209%20TAHUN%202022.pdf,... Amdal di Sulawesi Barat Tahun 2014–2018. Sumber: Dinas Lingkungan Hidup ... limbah bahan berbahaya dan beracun (B3) medis yang dapat menimbulkan ...
ISCO POLMAN RESOURCES,KAB. POLEWALI MANDAR,199.0,"""ISCO POLMAN RESOURCES"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ANEKA BARA LESTARI,KAB. MAMUJU,183.2,"""ANEKA BARA LESTARI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",GUBERNUR SULAWESI BARAT,https://www.jdih.sulbarprov.go.id/view/download.php?page=rancangan&id=28,"Aneka Bara Lestari di Kabupaten Mamuju; ... (1) Sistem Pengelolaan Limbah Bahan Berbahaya dan Beracun (B3) sebagaimana dimaksud dalam Pasal 25 ayat (1) huruf b, ..."
MANAKARRA MULTI MINING,KAB. MAMUJU,132.0,"""MANAKARRA MULTI MINING"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
MANDAR PRIMA AGUNG,KAB. POLEWALI MANDAR,98.2,"""MANDAR PRIMA AGUNG"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
BONEHAU PRIMA COAL,KAB. MAMUJU,98.0,"""BONEHAU PRIMA COAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",PERCEPATANPEMBANGUNANI...,https://ppid.kemendagri.go.id/storage/dokumen/wImDORTBgI2qNicJGSWnUbmLEZGtUyAAV7Nt5biG.pdf,"... limbah dan daur ulang; 0,16%. Jasa Perusahaan;. 0,06%. Jasa Lainnya; 1,74%. Page ... Amdal di Sulawesi Barat, 2014-2018. Sumber : Dinas Lingkungan Hidup ..."
