id,Tanggal / Waktu Kejadian,Minggu,Bulan,Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Kode Jenis Kejadian,Nama Kejadian,Jenis Bencana,is_bencana,Jumlah Kejadian,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
0f1c4386-95b5-412d-ba5a-3547479b7233,2025-12-28 20:20:00.548,52,12,2025,71,Sulawesi Utara,71.71,Kota Manado,2020,Kebakaran Gedung dan Permukiman,Kebakaran permukiman,True,1.0,16,0,9,0,0,0,0,0,0,0,0,0,0
dfab02d8-1551-4534-a0d2-778648d286ab,2025-12-22 13:17:00.869,52,12,2025,73,Sulawesi Selatan,73.08,Bone,1040,Cuaca Ekstrem,Cuaca ekstrem,True,1.0,0,0,0,105,0,0,21,0,2,0,0,0,0
04bad9aa-2358-4400-99a7-4a13e694a296,2025-12-21 01:00:00.609,51,12,2025,13,Sumatera Barat,13.08,Pasaman,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,200,0,0,0,40,0,0,0,0,0
8a350333-4281-4dc5-94f5-8c21ae8c1bf0,2025-12-20 15:30:00.292,51,12,2025,71,Sulawesi Utara,71.01,Bolaang Mongondow,1010,Banjir,Banjir,True,1.0,0,0,0,67,0,0,0,18,0,0,0,0,0
88db9a64-df15-4be3-93ff-9df91570f8e6,2025-12-20 08:00:00.784,51,12,2025,12,Sumatera Utara,12.04,Nias,1012,Banjir Bandang,Banjir,True,1.0,0,0,0,70,0,0,0,14,0,0,0,0,0
9ad3f16c-32dd-4d1b-bfbe-e34d2e0082bd,2025-12-18 18:00:00.998,51,12,2025,73,Sulawesi Selatan,73.14,Sidenreng Rappang,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,1414,0,0,0,0,0,0,0,0,0
89e2d123-9ec3-4cd0-a7f6-aa16360936c8,2025-12-14 16:00:00.917,50,12,2025,16,Sumatera Selatan,16.02,Ogan Komering Ilir,1010,Banjir,Banjir,True,1.0,0,0,0,855,0,0,0,164,0,0,0,0,0
7cba83c2-9fb4-4526-9e74-7faac0e254e8,2025-12-14 13:36:00.485,50,12,2025,73,Sulawesi Selatan,73.15,Pinrang,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,280,17,17,22,0,2,0,0,0,0
6f59c4c3-5ca8-4b38-bb44-fdc93411e1e0,2025-12-13 15:00:00.591,50,12,2025,16,Sumatera Selatan,16.12,Penukal Abab Lematang Ilir,1010,Banjir,Banjir,True,1.0,0,0,0,1875,0,0,0,510,0,0,0,0,0
12bb565e-c32a-441e-b94a-6405a39e9f34,2025-12-13 10:00:00.585,50,12,2025,73,Sulawesi Selatan,73.11,Barru,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,50,0,0,10,0,0,0,0,0,0
a3c1bf92-8b33-429a-962c-fca6ba3c10f5,2025-12-13 08:00:00.527,50,12,2025,16,Sumatera Selatan,16.03,Muara Enim,1010,Banjir,Banjir,True,1.0,0,0,0,310,0,0,0,88,0,0,0,0,0
bd5f6baf-79e5-4247-9ee4-2928c059c6b4,2025-12-11 15:00:00.314,50,12,2025,16,Sumatera Selatan,16.02,Ogan Komering Ilir,1010,Banjir,Banjir,True,1.0,0,0,0,150,0,0,0,0,0,0,0,0,0
38ad47dc-2572-45e5-becc-d2128b4e68d6,2025-12-10 10:00:00.335,50,12,2025,12,Sumatera Utara,12.14,Nias Selatan,1010,Banjir,Banjir,True,1.0,0,0,0,918,1,0,0,86,0,0,0,0,0
c3406ca6-57a0-468c-95b2-06964235c206,2025-12-10 06:00:00.827,50,12,2025,16,Sumatera Selatan,16.06,Musi Banyuasin,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,30,0,0,0,0,0
0c25fdd3-2e2e-4285-9222-cfa25d1a9a03,2025-12-09 01:00:00.253,50,12,2025,74,Sulawesi Tenggara,74.06,Bombana,1010,Banjir,Banjir,True,1.0,0,0,0,120,0,0,0,24,0,0,0,0,0
3515d35b-702f-4137-89fb-4f14b425b2e7,2025-12-07 16:00:00.070,49,12,2025,72,Sulawesi Tengah,72.08,Parigi Moutong,1011,Banjir Rob,Banjir,True,0.5,0,0,0,161,0,0,1,40,0,0,0,0,0
18b2c716-9052-4d05-b8d3-c565ddefde6b,2025-12-06 16:00:00.609,49,12,2025,72,Sulawesi Tengah,72.08,Parigi Moutong,1011,Banjir Rob,Banjir,True,1.0,0,0,0,230,0,0,27,0,0,0,0,0,0
be23d52f-d707-4db2-940f-c927cd5ebe55,2025-12-06 15:30:00.174,49,12,2025,72,Sulawesi Tengah,72.09,Tojo Una Una,1011,Banjir Rob,Banjir,True,1.0,0,0,0,160,0,0,0,32,0,0,0,0,0
5a19ef61-3cb6-40a3-88bc-a49de4cc01f7,2025-12-06 10:35:00.692,49,12,2025,72,Sulawesi Tengah,72.04,Toli Toli,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,26,0,0,8,0,0,0,0,0,0
5b5c85b1-88ec-4ce3-b239-3550dca931c7,2025-12-05 13:30:00.479,49,12,2025,73,Sulawesi Selatan,73.16,Enrekang,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,50,0,4,1,0,0,0,0,0,0
5a511961-0f1c-43cb-914d-4c5601c6bcd7,2025-12-03 14:30:00.323,49,12,2025,73,Sulawesi Selatan,73.22,Luwu Utara,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,35,0,0,12,0,0,0,0,0,0
af03a882-71f8-4e87-a5b8-b1a5aefd1e4e,2025-12-03 13:00:00.477,49,12,2025,73,Sulawesi Selatan,73.17,Luwu,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,10,0,1,1,0,0,0,0,0,0
9a8f1ecd-7f82-4682-bc7b-ad406ccdb091,2025-12-03 03:00:00.567,49,12,2025,74,Sulawesi Tenggara,74.06,Bombana,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
57f694c5-5199-4f67-b836-6b5c09546dd6,2025-11-30 22:00:00.662,48,11,2025,73,Sulawesi Selatan,73.24,Luwu Timur,1040,Cuaca Ekstrem,Cuaca ekstrem,True,1.0,0,0,0,0,10,10,0,0,0,0,0,0,0
1cc11a27-211a-4c2f-9f9c-505d2ca2a7bc,2025-11-30 13:45:00.922,48,11,2025,73,Sulawesi Selatan,73.03,Bantaeng,1010,Banjir,Banjir,True,1.0,0,0,0,2385,0,0,0,477,0,0,0,0,0
