provinsi,tahun,jenis_penyakit,jumlah_kasus,satuan
Aceh,2014,Malaria,42352,Kasus
Aceh,2015,Malaria,53921,Kasus
Aceh,2014,TB Paru,4070,Kasus
Aceh,2015,TB Paru,4023,Kasus
Aceh,2014,Pneumonia,1369,Kasus
Aceh,2015,Pneumonia,1129,Kasus
Aceh,2014,Kusta,583,Kasus
Aceh,2015,Kusta,524,Kasus
Aceh,2014,Tetanus Neonatorum,7,Kasus
Aceh,2015,Tetanus Neonatorum,0,Kasus
Aceh,2014,Campak,1749,Kasus
Aceh,2015,Campak,14,Kasus
Aceh,2014,DBD,2208,Kasus
Aceh,2015,DBD,1509,Kasus
Sumatera Utara,2014,Malaria,88205,Kasus
Sumatera Utara,2015,Malaria,87177,Kasus
Sumatera Utara,2014,TB Paru,15031,Kasus
Sumatera Utara,2015,TB Paru,16955,Kasus
Sumatera Utara,2014,Pneumonia,27273,Kasus
Sumatera Utara,2015,Pneumonia,17226,Kasus
Sumatera Utara,2014,Kusta,176,Kasus
Sumatera Utara,2015,Kusta,197,Kasus
Sumatera Utara,2014,Tetanus Neonatorum,1,Kasus
Sumatera Utara,2015,Tetanus Neonatorum,0,Kasus
Sumatera Utara,2014,Campak,150,Kasus
Sumatera Utara,2015,Campak,80,Kasus
Sumatera Utara,2014,Diare,157,Kasus
Sumatera Utara,2015,Diare,490,Kasus
Sumatera Utara,2014,DBD,5378,Kasus
Sumatera Utara,2015,DBD,5274,Kasus
Sumatera Barat,2014,Malaria,4182,Kasus
Sumatera Barat,2015,Malaria,6404,Kasus
Sumatera Barat,2014,TB Paru,4712,Kasus
Sumatera Barat,2015,TB Paru,4561,Kasus
Sumatera Barat,2014,Pneumonia,13384,Kasus
Sumatera Barat,2015,Pneumonia,15373,Kasus
Sumatera Barat,2014,Kusta,159,Kasus
Sumatera Barat,2015,Kusta,54,Kasus
Sumatera Barat,2014,Tetanus Neonatorum,1,Kasus
Sumatera Barat,2015,Tetanus Neonatorum,3,Kasus
Sumatera Barat,2014,Campak,417,Kasus
Sumatera Barat,2015,Campak,425,Kasus
Sumatera Barat,2014,DBD,2328,Kasus
Sumatera Barat,2015,DBD,3806,Kasus
Riau,2014,Malaria,13441,Kasus
Riau,2015,Malaria,15649,Kasus
Riau,2014,TB Paru,3564,Kasus
Riau,2015,TB Paru,4065,Kasus
Riau,2014,Pneumonia,10367,Kasus
Riau,2015,Pneumonia,9552,Kasus
Riau,2014,Kusta,120,Kasus
Riau,2015,Kusta,108,Kasus
Riau,2014,Tetanus Neonatorum,5,Kasus
Riau,2015,Tetanus Neonatorum,0,Kasus
Riau,2014,Campak,297,Kasus
Riau,2015,Campak,18,Kasus
Riau,2014,DBD,2342,Kasus
Riau,2015,DBD,3261,Kasus
Jambi,2014,Malaria,32484,Kasus
Jambi,2015,Malaria,34944,Kasus
Jambi,2014,TB Paru,2688,Kasus
Jambi,2015,TB Paru,3266,Kasus
Jambi,2014,Pneumonia,5499,Kasus
Jambi,2015,Pneumonia,7114,Kasus
Jambi,2014,Kusta,78,Kasus
Jambi,2015,Kusta,72,Kasus
Jambi,2014,Tetanus Neonatorum,3,Kasus
Jambi,2015,Tetanus Neonatorum,2,Kasus
Jambi,2014,Campak,579,Kasus
Jambi,2015,Campak,491,Kasus
Jambi,2014,DBD,1308,Kasus
Jambi,2015,DBD,1354,Kasus
