provinsi,tahun,indikator,nilai
Aceh,2018,Kasus Diare Dilayani,72805
Bali,2018,Kasus Diare Dilayani,58064
Banten,2018,Kasus Diare Dilayani,236699
Bengkulu,2018,Kasus Diare Dilayani,21093
DI Yogyakarta,2018,Kasus Diare Dilayani,67580
DKI Jakarta,2018,Kasus Diare Dilayani,305638
Gorontalo,2018,Kasus Diare Dilayani,20801
Jambi,2018,Kasus Diare Dilayani,74741
Jawa Barat,2018,Kasus Diare Dilayani,803533
Jawa Tengah,2018,Kasus Diare Dilayani,573625
Jawa Timur,2018,Kasus Diare Dilayani,742060
Kalimantan Barat,2018,Kasus Diare Dilayani,64731
Kalimantan Selatan,2018,Kasus Diare Dilayani,67818
Kalimantan Tengah,2018,Kasus Diare Dilayani,39450
Kalimantan Timur,2018,Kasus Diare Dilayani,71401
Kalimantan Utara,2018,Kasus Diare Dilayani,14770
Kepulauan Bangka Belitung,2018,Kasus Diare Dilayani,19455
Kepulauan Riau,2018,Kasus Diare Dilayani,25073
Lampung,2018,Kasus Diare Dilayani,133916
Maluku,2018,Kasus Diare Dilayani,5902
Maluku Utara,2018,Kasus Diare Dilayani,15403
Nusa Tenggara Barat,2018,Kasus Diare Dilayani,133779
Nusa Tenggara Timur,2018,Kasus Diare Dilayani,70236
Papua,2018,Kasus Diare Dilayani,43229
Papua Barat,2018,Kasus Diare Dilayani,9956
Riau,2018,Kasus Diare Dilayani,80498
Sulawesi Barat,2018,Kasus Diare Dilayani,36616
Sulawesi Selatan,2018,Kasus Diare Dilayani,167900
Sulawesi Tengah,2018,Kasus Diare Dilayani,59544
Sulawesi Tenggara,2018,Kasus Diare Dilayani,32359
Sulawesi Utara,2018,Kasus Diare Dilayani,20626
Sumatera Barat,2018,Kasus Diare Dilayani,122201
Sumatera Selatan,2018,Kasus Diare Dilayani,164934
Sumatera Utara,2018,Kasus Diare Dilayani,128088
Aceh,2018,Kasus ISPA/Pneumonia,2741
Bali,2018,Kasus ISPA/Pneumonia,4777
Banten,2018,Kasus ISPA/Pneumonia,33775
Bengkulu,2018,Kasus ISPA/Pneumonia,958
DI Yogyakarta,2018,Kasus ISPA/Pneumonia,6021
