Jenis Pendapatan Pemerintah,Realisasi Pendapatan Pemerintah (Juta Rupiah),,,,
,2015,2016,2017,2018,2019
1.Pendapatan Asli Daerah (PAD),289557.16,310630.62,348267.67,384435.31,436272.45
a. Pajak Daerah,260996.26,280594.55,309671.37,350425.92,387323.02
b. Retribusi Daerah,4072.22,6081.26,5561.76,11499.5,19483.31
c. Hasil BUMD dan Pengelolaan Kekayaan Daerah,3181.28,2101.31,2772.05,4347.4,5679.9
d. Lain-lain PAD Yang Sah,21307.4,21853.5,30262.5,18162.5,23786.21
2. Dana Perimbangan,934046.39,1232732.15,1416764.28,1398182.15,1495024.22
a. Bagi Hasil Pajak dan Bukan Pajak,20766.78,27939.24,26007.71,21620.42,18033.61
b. Dana Alokasi Umum,845395.65,884797.75,997598.87,1006924.71,1043127
c. Dana Alokasi Khusus,67883.96,319995.16,393157.69,369637.03,436112
3. Lain-lain Pendapatan Yang Sah,165720.67,40352.25,8015.37,17584.24,11234
a. Dana Penguatan Infrastruktur dan Prasarana Daerah,-,-,-,-,-
b. Dana Penyesuaian & Otonomi Khusus,165068.18,39804.24,7500,17000,10289
c. Hibah,652.49,548.01,515.37,584.24,945
Jumlah,1389324.22,1583715.02,1773047.31,1800201.7,1942530
,,,,,
Catatan,"Sumber: BPS Provinsi Gorontalo, Survei Statistik Keuangan Daerah/",,,,
