Jenis Pendapatan,Realisasi Pendapatan Daerah Pemerintah Provinsi Sulawesi Utara Menurut Jenis Pendapatan (Ribu Rupiah),,,,,
,2016,2017,2018,2019,2020,2021
Pendapatan Asli Daerah (PAD),981044550,1146674828,1253804978,1286006930,1172932102,1311932122
- Pajak Daerah,838345527,983887128,1052296155,1050089444,898701050,1075616467
- Restribusi Daerah,65162587,75742955,85580013,102640757,114783974,114465563
- Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan,21330625,31361351,52876760,64886989,4225754,51195170
- Lain-lain PAD yang Sah,56205811,55683393,63052050,68389740,117191323,70654921
Dana Pertimbangan,1880906287,2508041622,2505226773,2605769430,2519010936,2536952088
- Bagi Hasil Pajak,91228190,78413110,78154252,54248230,112524194,219809369
- Bagi Hasil Bukan Pajak/Sumber Daya Alam,11493268,31147506,42604269,43868261,-,-
- Dana Alokasi Umum,1065545204,1390272639,1427544997,1463436158,1335813209,1330463660
- Dana Alokasi Khusus,712639625,1008208366,956923256,1044216781,1070673532,986679059
Transfer Pemerintah Pusat Lainnya,-,0,-,-,-,-
Lain-Lain Pendapatan yang Sah,15250000,77185233,20749970,48386602,46670790,20931389
- Pendapatan Hibah,0,11345500,0,744604,20302891,20931389
- Dana Darurat,15250000,0,0,-,-,-
- Dana Bagi Hasil Pajak dan Provinsi dan Pemerintah Daerah Lainnya,0,0,0,-,-,-
- Dana Penyesuaian dan Otonomi Daerah,7985274,50839733,8750000,35641998,26367899,-
- Bantuan Keuangan dari Provinsi,0,15000000,11999970,12000000,-,-
- Lainnya,0,0,0,-,-,-
Jumlah,2885186111,3731901683,3779781721,3940162962,3738613828,3923344821
