Jenis Pendapatan dan belanja,"Pendapatan dan Belanja Pemerintah Desa, Kabupaten Buton Menurut Jenis Pendapatan dan Belanja (ribu rupiah)",,
,Realisasi 2022,Realisasi 2023,Anggaran 2024
,2024,2024,2024
Pendapatan,101023401.1,105450294.5,98496364.44
Pendapatan Asli Desa,46263.83,20634.14,-
Pendapatan Transfer,100928317.7,105367658.3,98410055.28
Dana Desa,63130759.17,63531764.19,63893841
Bagian dari hasil Pajak dan Retribusi Daerah Kabupaten/Kota,2391132.42,2219176.42,2237477.05
Alokasi Dana Desa,35406426.11,39616717.67,32278737.23
Bantuan Keuangan Provinsi,-,-,-
Bantuan Keuangan Kabupaten/Kota,-,-,-
Pendapatan Lain-lain,48819.57,62002.14,86309.16
Belanja,100175655.5,104221734.7,100453765.3
Bidang Penyelenggaraan Pemerintah Desa,30901688.1,36127436.18,33606022.38
Bidang Pelaksanaan Pembangunan Desa,22928024.13,36832593.02,35096245.79
Bidang Pembinaan Masyarakat,5869000.42,10070150.62,6704362.72
Bidang Pemberdayaan Masyarakat,13568370.42,10752144.43,15050579.15
"Bidang Penanggulangan Bencana, Keadaan Darurat dan Mendesak",26908572.42,10439410.46,9996555.23
,,,
Catatan,"Sumber: Badan Pusat Statistik, Statistik Keuangan Pemerintah Desa Provinsi Sulawesi Tenggara 2024		",,
